timestamp,dataset_name,training_rmse,validation_rmse,test_rmse,execution_type,
2025-08-31 13:17:53,airfoil,tensor(61.7228),tensor(59.8017),59.707359313964844,149,slim
2025-08-31 13:18:01,airfoil,tensor(4.5664),tensor(4.6702),4.586550712585449,167,slim oms
2025-08-31 13:19:01,airfoil,tensor(6.0595),tensor(6.0260),5.944978713989258,187,slim oms pareto
2025-08-31 13:19:08,airfoil,5.557402610778809,tensor(5.3799),5.436518669128418,198,slim linear scaling
2025-08-31 13:19:18,airfoil,5.3786091804504395,tensor(5.2085),5.250554084777832,61,slim linear scaling oms
2025-08-31 13:20:05,airfoil,5.310384273529053,tensor(5.2217),5.436583042144775,50,slim linear scaling oms pareto
2025-08-31 13:20:12,bike_sharing,tensor(0.1276),tensor(0.1320),0.13868218660354614,124,slim
2025-08-31 13:20:18,bike_sharing,tensor(0.0669),tensor(0.0639),0.15674884617328644,133,slim oms
2025-08-31 13:21:11,bike_sharing,tensor(0.0111),tensor(0.0096),0.011335721239447594,121,slim oms pareto
2025-08-31 13:21:19,bike_sharing,0.1416216939687729,tensor(0.1439),0.17965684831142426,103,slim linear scaling
2025-08-31 13:21:30,bike_sharing,0.21418774127960205,tensor(0.2444),1.9532052278518677,20,slim linear scaling oms
2025-08-31 13:22:23,bike_sharing,0.14210936427116394,tensor(0.1532),0.16429488360881805,29,slim linear scaling oms pareto
2025-08-31 13:22:31,bioavailability,tensor(44.1938),tensor(41.1070),47.65617752075195,124,slim
2025-08-31 13:22:37,bioavailability,tensor(26.0913),tensor(30.7426),28.762744903564453,124,slim oms
2025-08-31 13:23:47,bioavailability,tensor(27.6920),tensor(29.5193),27.455821990966797,124,slim oms pareto
2025-08-31 13:23:58,bioavailability,28.697959899902344,tensor(34.7715),28.054046630859375,124,slim linear scaling
2025-08-31 13:24:07,bioavailability,29.19893455505371,tensor(34.7922),27.854097366333008,14,slim linear scaling oms
2025-08-31 13:24:55,bioavailability,28.921772003173828,tensor(34.6800),26.666736602783203,36,slim linear scaling oms pareto
2025-08-31 13:25:02,boston,tensor(8.3874),tensor(8.1577),8.813081741333008,144,slim
2025-08-31 13:25:09,boston,tensor(4.9061),tensor(5.3066),5.132218360900879,152,slim oms
2025-08-31 13:26:08,boston,tensor(4.8257),tensor(5.0747),4.775976181030273,125,slim oms pareto
2025-08-31 13:26:15,boston,5.482861518859863,tensor(6.6450),5.418278694152832,135,slim linear scaling
2025-08-31 13:26:24,boston,5.727240562438965,tensor(5.4456),5.875044345855713,100,slim linear scaling oms
2025-08-31 13:27:07,boston,6.026899337768555,tensor(15.6266),6.6519060134887695,33,slim linear scaling oms pareto
2025-08-31 13:27:14,breast_cancer,tensor(0.2779),tensor(0.2971),0.33667847514152527,121,slim
2025-08-31 13:27:20,breast_cancer,tensor(0.2369),tensor(0.2883),0.29258647561073303,134,slim oms
2025-08-31 13:28:12,breast_cancer,tensor(0.2562),tensor(0.2946),0.3135073184967041,123,slim oms pareto
2025-08-31 13:28:18,breast_cancer,0.27325955033302307,tensor(0.2950),0.3165436387062073,116,slim linear scaling
2025-08-31 13:28:26,breast_cancer,0.2653554379940033,tensor(0.2912),0.31320270895957947,95,slim linear scaling oms
2025-08-31 13:29:15,breast_cancer,0.27069196105003357,tensor(0.2911),0.31940191984176636,47,slim linear scaling oms pareto
2025-08-31 13:29:22,concrete_slump,tensor(9.7712),tensor(9.8414),8.339773178100586,149,slim
2025-08-31 13:29:29,concrete_slump,tensor(6.4757),tensor(11.2000),5.210314750671387,179,slim oms
2025-08-31 13:30:26,concrete_slump,tensor(7.3614),tensor(9.2324),6.9131669998168945,90,slim oms pareto
2025-08-31 13:30:34,concrete_slump,7.677091121673584,tensor(7.6061),5.5844316482543945,35,slim linear scaling
2025-08-31 13:30:43,concrete_slump,7.686198711395264,tensor(8.0285),5.947302341461182,20,slim linear scaling oms
2025-08-31 13:31:32,concrete_slump,7.764375686645508,tensor(7.9911),5.339880466461182,29,slim linear scaling oms pareto
2025-08-31 13:31:38,concrete_strength,tensor(23.7527),tensor(23.3527),24.117046356201172,121,slim
