run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,64.38475,64.16467,63.64915,73,15,65.60605,65.38927,64.87003,45,15,67.56707,67.35517,66.83104,27,11
2,44,55.53418,52.80658,52.86839,69,15,56.09673,53.33484,53.33221,49,13,56.84235,54.04636,53.97961,43,13
3,45,34.85929,33.71365,33.98632,63,15,35.64440,34.37032,34.75241,41,13,36.19439,34.83969,35.29152,31,12
4,46,67.46201,69.07990,67.68765,57,15,68.40481,70.02248,68.63055,43,14,69.30052,70.91751,69.52631,39,14
5,47,57.81605,55.87294,55.90471,59,15,59.03370,57.08776,57.14022,45,14,60.48484,58.52806,58.57279,35,12
6,48,62.43561,64.64839,60.79018,65,15,63.44872,65.66711,61.79335,49,14,64.76274,66.98763,63.09473,35,12
7,49,61.95580,61.63688,61.04900,49,15,63.72844,63.44724,62.82931,37,14,65.79093,65.50671,64.90372,25,11
8,50,35.92785,37.79033,35.16185,67,15,36.38845,38.31868,35.65450,53,14,36.95710,38.96369,36.25982,45,13
9,51,33.73827,32.58127,32.81148,61,15,34.09772,33.00358,33.37028,45,14,34.59561,33.57447,34.09388,35,12
10,52,68.36770,66.82829,70.22937,59,15,69.34557,67.79630,71.20719,47,14,70.38666,68.82843,72.24547,37,13
11,53,36.48528,36.42720,36.14216,67,15,36.97372,36.97096,36.63456,49,14,38.37732,38.51678,38.05884,39,13
12,54,53.38057,52.05603,52.88672,65,15,54.74386,53.40847,54.24686,37,14,56.04150,54.69562,55.53523,29,12
13,55,34.85343,33.62355,34.83342,63,15,35.52494,34.14328,35.54976,45,14,35.72292,34.29517,35.75006,41,13
14,56,36.55003,35.71737,33.36188,57,15,37.39688,36.45989,34.25493,43,13,37.98677,36.98448,34.87524,37,13
15,57,68.26055,68.01114,68.23857,71,15,68.96693,68.71365,68.93784,47,15,70.96934,70.71896,70.94234,33,12
16,58,34.59605,34.39367,35.36444,53,15,35.18319,35.02354,36.02057,43,14,35.63855,35.50662,36.52545,35,13
17,59,53.41016,49.07177,56.08882,75,15,53.44617,49.09689,56.12436,65,13,53.52406,49.13359,56.19730,57,12
18,60,56.19882,56.38476,57.80531,67,15,56.92066,57.08744,58.53446,53,15,58.82566,58.98058,60.44173,39,12
19,61,63.18874,62.37149,62.96845,67,15,64.02805,63.21205,63.80534,51,14,65.86638,65.05341,65.64500,35,12
20,62,34.75441,34.23033,33.61996,53,15,35.18995,34.62616,34.08011,45,14,36.24552,35.59755,35.19104,35,12
21,63,50.33511,51.21423,49.46470,39,15,50.72210,51.62945,49.80506,33,14,51.43684,52.42921,50.41700,25,12
22,64,32.91038,32.49882,32.26982,59,15,33.20850,32.70439,32.47197,51,14,33.47423,32.89778,32.66360,39,13
23,65,68.08480,67.67297,68.68763,51,15,69.44098,69.02827,70.05050,35,14,70.36620,69.95281,70.97962,31,13
24,66,63.55909,63.51237,62.06942,67,15,64.48363,64.43014,62.98937,49,14,66.13689,66.08060,64.64051,43,13
25,67,51.91813,50.45675,51.59710,55,15,52.38295,50.97405,52.08902,39,13,52.38295,50.97405,52.08902,39,13
26,68,34.61278,35.55207,35.22737,77,15,35.14235,36.10623,35.71490,49,14,35.82557,36.81695,36.34498,35,14
27,69,51.16724,50.52626,48.24935,43,15,51.61213,50.95284,48.62802,33,14,52.35196,51.66581,49.28147,27,14
28,70,34.43733,35.27742,33.26885,59,15,34.86958,35.77441,33.66592,43,14,35.80441,36.84511,34.53215,31,12
29,71,47.40522,47.13751,46.69537,55,15,47.96922,47.70782,47.25089,43,14,49.32475,49.06939,48.59308,35,13
30,72,60.50434,59.71896,60.38332,55,15,61.90837,61.13032,61.80206,45,14,62.99798,62.22490,62.90042,41,12
