run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,5.52551,5.42912,5.58405,57,15,5.55081,5.45122,5.60967,23,11,5.58899,5.48845,5.64708,3,2
2,44,6.05103,5.78814,6.04958,75,15,6.05162,5.78883,6.05032,39,13,6.05344,5.79148,6.05279,11,5
3,45,5.47742,5.77736,5.71728,71,15,5.47816,5.77804,5.71797,43,12,5.47913,5.77876,5.71905,23,5
4,46,5.52047,5.34946,5.69527,43,14,5.53578,5.36862,5.70731,27,12,5.58200,5.42694,5.73076,3,2
5,47,5.57456,6.29091,5.99805,47,15,5.57736,6.29333,6.00058,25,10,5.58150,6.29693,6.00443,7,3
6,48,5.57504,5.47174,5.48228,43,15,5.58921,5.48468,5.50058,29,13,5.62445,5.51943,5.54612,3,2
7,49,5.65956,5.24596,5.42860,43,15,5.68409,5.26895,5.46096,21,10,5.70660,5.28814,5.48789,3,2
8,50,4.14147,4.24691,4.39378,103,15,4.76029,4.69933,4.72895,75,11,5.23817,5.05457,5.13373,61,6
9,51,5.73276,6.07439,5.74369,45,15,5.73604,6.07843,5.74782,21,10,5.73983,6.08329,5.75275,3,2
10,52,5.33637,5.84960,5.56676,75,15,5.35093,5.85962,5.58271,37,10,5.38320,5.89228,5.61743,15,4
11,53,5.49910,5.94135,5.11769,57,15,5.52603,5.98193,5.13824,21,10,5.55963,6.02705,5.16995,3,2
12,54,5.58510,5.65492,5.30690,43,15,5.60538,5.67417,5.33405,21,10,5.61933,5.68899,5.35528,7,3
13,55,4.59132,5.04855,4.76198,43,14,4.73053,5.15844,4.90266,19,9,5.08377,5.64676,5.24811,7,4
14,56,5.58100,5.42303,5.46135,51,15,5.59960,5.44103,5.47442,25,11,5.64110,5.48092,5.49638,3,2
15,57,5.76177,6.03764,5.67412,63,15,5.76656,6.04381,5.67950,27,10,5.77092,6.04941,5.68438,3,2
16,58,4.90094,4.97602,5.03993,85,14,5.10971,5.20765,5.23516,39,9,5.53845,5.65840,5.36514,31,5
17,59,5.30538,5.04931,5.51493,39,15,5.30589,5.04964,5.51534,19,12,5.30649,5.04991,5.51589,7,4
18,60,5.47773,5.53740,5.73455,47,15,5.49493,5.55384,5.75184,19,12,5.52040,5.58160,5.77372,3,2
19,61,4.92496,4.79624,4.82133,51,15,5.09838,4.93117,4.99232,19,9,5.29227,5.13307,5.15967,5,3
20,62,5.48111,5.77842,5.42103,37,15,5.50559,5.80293,5.44434,21,12,5.53395,5.83095,5.47209,3,2
21,63,5.25296,6.14312,5.72523,59,15,5.27674,6.16594,5.74640,23,11,5.30181,6.18449,5.77292,5,4
22,64,4.71622,5.12637,4.88746,83,15,4.79577,5.20019,4.88822,47,11,4.95708,5.51785,5.15438,15,4
23,65,5.54147,5.41057,5.56056,41,15,5.57392,5.44401,5.59054,21,11,5.60337,5.47757,5.62003,3,2
24,66,5.76723,5.98912,5.73546,47,15,5.76987,5.99212,5.73784,25,11,5.77478,5.99769,5.74219,3,2
25,67,5.47021,5.49292,5.64778,63,15,5.49490,5.51724,5.66595,27,11,5.54369,5.56121,5.70840,3,2
26,68,5.50566,5.51720,5.57821,41,15,5.54114,5.55039,5.61335,17,11,5.56448,5.57579,5.63584,3,2
27,69,5.84306,5.87321,5.59525,87,15,5.84391,5.87455,5.59635,57,11,5.84454,5.87555,5.59719,31,5
28,70,5.65119,5.43620,5.29486,43,14,5.67631,5.45447,5.30870,23,11,5.70744,5.47681,5.32481,5,4
29,71,5.54415,5.39184,5.58104,49,15,5.56981,5.42550,5.60394,25,12,5.60185,5.46309,5.63392,3,2
30,72,5.40521,5.94120,5.40824,85,15,5.41142,5.94998,5.41098,51,12,5.42150,5.96696,5.41677,27,5
