run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,4.83165,4.81939,4.83356,139,15,4.97935,4.88160,5.04971,90,12,5.20634,5.18335,5.22229,63,10
2,44,5.13315,4.37968,4.33816,150,15,5.48862,4.68666,4.75865,99,12,98.09862,98.29436,97.87131,66,11
3,45,4.51389,4.93611,4.67206,108,15,5.14787,5.45359,5.30153,74,11,6.80394,6.73705,6.93998,63,10
4,46,4.93315,4.93103,5.00168,163,15,5.55874,5.50560,5.44017,107,12,27.66847,27.88363,27.27311,103,13
5,47,4.28209,4.76930,4.75302,137,15,4.38424,4.87245,4.82841,97,13,5.46080,6.31359,6.08654,63,11
6,48,4.82002,4.69830,4.75229,154,15,4.93744,4.87082,4.93803,108,13,5.18052,5.16039,5.03871,80,11
7,49,5.03462,4.83694,4.86874,156,15,5.40710,5.39009,5.23082,120,13,5.76320,5.49028,5.45083,99,12
8,50,5.19871,5.17253,5.30955,124,15,5.24198,5.19596,5.27736,107,14,5.30026,5.25120,5.44164,82,13
9,51,5.02272,5.25223,4.79866,145,15,5.60380,5.87291,5.37689,84,12,31.13464,31.03507,30.52540,82,13
10,52,4.29179,4.44203,4.33310,167,15,4.63652,4.82645,4.55542,103,11,6.66143,7.23650,6.69707,95,12
11,53,5.20855,5.30352,4.85629,156,15,5.44254,5.45352,5.08764,113,12,24.96879,25.16056,25.72829,88,12
12,54,4.69684,4.59197,4.67697,117,15,4.94079,4.88470,4.90189,80,12,29.30246,28.88885,29.49663,69,11
13,55,4.58076,4.66790,4.68354,149,15,4.76971,4.98891,4.87713,119,13,5.16771,5.40941,5.27869,89,11
14,56,4.86500,4.80640,5.26115,149,15,4.96486,4.83882,5.40313,118,14,5.69718,5.38557,5.79700,101,13
15,57,4.98602,4.86212,4.79200,133,15,4.99663,4.87014,4.79722,114,14,5.55199,5.45588,5.36527,76,12
16,58,4.98573,5.11385,4.90508,118,15,5.23814,5.47172,5.06832,90,13,5.55580,5.70584,5.25976,69,10
17,59,4.41105,4.66037,4.87270,139,15,5.58613,5.78554,6.38647,78,12,25.95087,25.85847,25.68596,73,13
18,60,4.69433,4.52282,4.67407,156,15,5.14177,5.00483,5.12520,122,14,5.68949,5.68531,5.70665,67,10
19,61,4.95395,4.88980,4.86584,91,14,30.82453,30.82071,31.07124,30,11,114.34751,114.28073,114.71967,18,8
20,62,4.66411,4.69015,4.71553,106,15,9.34536,10.00099,9.51944,46,9,58.70855,58.29602,59.05439,45,12
21,63,4.75682,5.19642,5.06117,108,15,5.37198,5.77602,6.07805,78,13,6.81966,7.43081,7.50894,42,9
22,64,5.13125,5.11301,4.89753,170,15,5.87151,5.80893,5.53042,97,13,59.90297,59.44961,59.35272,88,12
23,65,4.45648,4.33128,4.33105,112,15,5.78784,5.71179,5.51387,63,12,26.08217,25.99961,25.74081,52,11
24,66,5.33673,5.75676,5.55718,133,15,5.40528,5.78197,5.65107,118,14,6.12362,6.27039,6.56113,72,11
25,67,4.56553,4.98379,4.97002,142,15,4.85992,5.28439,5.40603,114,13,5.47786,5.82077,5.69664,86,11
26,68,4.69226,4.75605,4.86735,146,15,5.21081,5.16712,5.37677,100,13,99.34442,99.86859,99.36604,79,13
27,69,4.81549,4.66686,4.71771,170,15,5.99286,5.41549,6.03855,119,10,6.77361,6.46903,7.15175,102,9
28,70,4.43879,4.28086,4.46087,164,15,5.04473,4.89233,4.95534,101,13,6.50077,6.19066,6.22084,99,14
29,71,4.84664,4.64068,4.95080,116,15,5.65808,5.26894,5.79801,82,13,6.93054,6.49528,7.21018,48,11
30,72,4.86721,5.17132,5.07948,138,15,5.07071,5.46429,5.26841,91,12,99.80388,99.49443,99.44145,76,11
