run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,5.64059,5.71645,5.97256,135,15,16.28031,16.05103,16.33080,20,7,72.01933,71.80991,71.27904,7,3
2,44,4.52173,4.13549,4.14021,121,15,7.07161,6.49701,6.73378,57,11,59.68541,56.75889,56.51462,5,3
3,45,5.00580,5.39965,5.26598,129,15,6.87823,7.06072,7.24377,37,9,39.22272,37.51873,38.27113,3,2
4,46,5.66957,6.20341,6.00586,102,15,16.08531,16.83002,15.81029,16,7,75.24135,76.82716,75.43964,3,2
5,47,4.79451,5.20869,5.10308,138,15,17.98136,17.95639,17.87421,20,7,65.48592,63.52837,63.56523,7,3
6,48,5.88432,5.89900,5.88702,110,15,18.07190,18.05426,19.21406,18,7,69.61910,71.86413,67.90974,5,3
7,49,6.30482,5.90980,6.09811,98,15,18.17944,18.38230,16.69488,16,7,69.78295,69.45235,68.91801,3,2
8,50,5.39142,5.42354,5.39650,127,15,6.93267,6.81281,7.06801,48,11,40.64150,43.02166,40.14493,17,5
9,51,5.07545,5.30511,4.77695,105,15,6.67417,6.90391,6.69761,39,11,36.20488,35.36846,36.24348,5,3
10,52,4.91946,5.16004,5.01519,93,15,15.51158,17.72045,16.78676,16,7,75.54623,73.95461,77.37888,3,2
11,53,5.03824,5.11630,4.78783,148,15,16.47735,15.58668,15.93133,16,7,74.48797,75.44083,74.86903,3,2
12,54,5.51285,5.33397,5.17327,126,15,20.86002,21.33773,21.21104,18,7,61.15732,59.77804,60.63245,5,3
13,55,5.43747,6.05672,5.63721,146,15,6.82644,7.26350,6.82891,46,9,39.05157,37.06582,39.22820,3,2
14,56,4.81453,4.71620,5.06663,135,15,7.07183,6.41656,7.04344,46,9,41.39252,40.08844,38.45224,5,3
15,57,5.24931,5.22209,4.89266,139,15,16.23852,15.76396,16.26827,16,7,75.91647,75.67403,75.89475,3,2
16,58,4.91973,5.23679,4.65504,121,15,5.73836,5.81461,5.74176,71,11,38.46594,38.47532,39.59381,7,3
17,59,4.90085,5.04239,5.28105,108,15,6.82397,6.72158,7.11777,33,10,125.05604,125.13419,124.82692,3,2
18,60,5.34073,5.29335,5.12184,159,15,18.32402,18.20782,18.26418,20,7,63.54417,63.64843,65.17216,7,3
19,61,5.12244,5.20623,5.25944,136,15,16.33227,15.95427,16.18510,16,7,71.06042,70.25433,70.84349,3,2
20,62,5.07245,4.95800,5.04065,176,15,10.24244,11.89028,9.83023,112,11,39.04458,38.22672,38.11556,3,2
21,63,5.33553,5.81567,5.83966,142,15,9.38957,9.54010,10.50126,29,8,54.04112,55.13283,52.80659,3,2
22,64,5.35826,5.33884,5.20814,82,13,6.97261,7.25806,6.97293,29,8,35.61606,34.65068,34.40799,7,3
23,65,5.44176,5.35143,5.34051,138,15,16.36175,16.50512,15.28285,16,7,75.81977,75.40311,76.45387,3,2
24,66,5.33877,5.63316,5.49249,162,15,15.92727,16.26942,16.64857,24,7,71.16985,71.11218,69.64428,11,4
25,67,4.87778,5.36240,5.23781,142,15,12.78966,13.29050,12.39732,16,7,108.89393,109.80847,108.77605,3,2
26,68,5.21192,5.21217,5.37132,119,15,6.96207,6.52704,6.97166,29,8,38.40953,39.48022,38.76795,3,2
27,69,5.47491,5.29129,5.32955,132,15,15.48019,16.33138,15.37763,16,7,54.82641,54.07861,51.44906,3,2
28,70,6.11549,6.27717,6.12216,144,15,29.04807,29.39648,28.85043,16,7,118.45110,118.62478,118.25209,3,2
29,71,5.19846,5.21596,5.26803,137,15,6.62248,6.63829,6.54569,37,9,53.44217,54.63868,55.10466,3,2
30,72,5.02752,5.12511,5.19060,118,15,27.53833,26.81525,27.65878,20,7,125.25619,124.50989,124.81652,5,3
