run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,7.39110,6.97826,6.85041,57,15,7.72823,7.28874,7.19978,49,14,8.53986,8.05403,8.01804,35,11
2,44,2553.81055,2403.78101,2611.01343,57,15,2554.47119,2404.43457,2611.66675,49,14,2556.65186,2406.59204,2613.82812,41,11
3,45,1076.88220,997.16791,1163.72266,53,15,1077.60205,997.87836,1164.41382,45,14,1078.79211,999.05701,1165.56592,35,12
4,46,1064.03906,1010.24646,1203.01782,43,15,1065.32727,1011.56641,1204.31055,35,13,1065.80261,1012.04956,1204.79053,31,13
5,47,1136.19019,969.73291,1044.99329,57,15,1136.92957,970.47388,1045.76453,43,14,1138.18420,971.72083,1047.06958,33,12
6,48,1062.60596,1101.32092,1127.35901,55,15,1063.41260,1102.12732,1128.19421,41,14,1064.69214,1103.40649,1129.52026,35,12
7,49,1073.38049,1029.47510,1167.61780,47,15,1073.93884,1030.05225,1168.19861,41,15,1074.69226,1030.83606,1168.94678,33,13
8,50,2.42901,2.29980,2.34812,61,15,2.67721,2.54419,2.70530,51,14,3.24628,3.14326,3.33731,43,12
9,51,1043.76917,1109.71240,1128.57104,71,15,1045.07556,1111.08972,1129.86682,59,13,1045.83130,1111.88513,1130.61646,55,12
10,52,1035.56226,1116.09863,1192.21106,45,15,1036.05359,1116.59021,1192.71252,37,14,1037.41089,1117.94800,1194.09778,27,12
11,53,4.51584,4.25552,4.27146,65,15,5.01722,4.73044,4.77460,55,15,6.45509,6.11517,6.19738,37,12
12,54,2064.80444,2087.21094,2037.72717,35,15,2064.93115,2087.34644,2037.82141,33,14,2065.11377,2087.55249,2038.01978,31,13
13,55,1108.35901,1075.76404,1008.16461,57,15,1109.16003,1076.57434,1008.97064,41,14,1110.43103,1077.85693,1010.25000,33,12
14,56,1080.98572,1164.65747,981.26245,55,15,1081.89844,1165.58313,982.19263,45,14,1082.41931,1166.10876,982.72174,37,13
15,57,1029.83911,1169.47559,1154.06458,43,15,1030.66748,1170.31555,1154.89429,37,14,1031.65125,1171.30725,1155.87634,33,13
16,58,1076.13330,1049.01453,1157.32861,61,15,1076.31921,1049.19641,1157.51978,43,15,1077.59570,1050.42969,1158.81445,33,13
17,59,2.27988,2.31355,2.21598,67,15,2.97693,3.03723,2.95754,59,14,3.78538,3.86016,3.79299,55,13
18,60,1092.10754,1063.59619,1090.42261,55,15,1092.88965,1064.40955,1091.23645,39,14,1094.25708,1065.83203,1092.66016,33,13
19,61,1105.38635,1063.19873,1039.57959,53,15,1106.19287,1064.00452,1040.37024,33,13,1107.68970,1065.52209,1041.88708,27,12
20,62,1084.84644,1113.92896,1051.60681,47,15,1085.85364,1114.89636,1052.59363,37,14,1087.07544,1116.06958,1053.79077,29,12
21,63,1058.13110,1129.75537,1115.33337,51,15,1058.91541,1130.51074,1116.09094,39,14,1060.40845,1131.94885,1117.53320,29,12
22,64,1124.36462,1028.45569,1036.59424,39,15,1125.02722,1029.10559,1037.26794,35,14,1125.65076,1029.71375,1037.90149,31,13
23,65,1068.10815,1144.51294,1065.32812,45,15,1068.88391,1145.29016,1066.10413,37,14,1070.32190,1146.73083,1067.54248,27,12
24,66,0.06037,0.06287,0.06200,47,15,0.08274,0.08353,0.08313,29,12,0.45306,0.47754,0.43071,27,10
25,67,1107.10352,1122.01746,959.08667,47,15,1107.77148,1122.68872,959.78583,37,14,1109.14771,1124.08423,961.19977,29,12
26,68,7.48944,7.71643,6.85003,97,15,7.67991,8.03189,7.12153,87,13,8.05011,8.44394,7.50221,81,12
27,69,1108.69641,909.44391,1171.53540,53,15,1109.51001,910.26794,1172.36450,41,14,1110.73755,911.53479,1173.63184,33,12
28,70,1111.19336,1043.14709,1026.63684,41,15,1111.89026,1043.84863,1027.34326,35,13,1113.37671,1045.31714,1028.85718,25,11
29,71,1243.09009,1245.13501,1430.92737,55,15,1243.62891,1245.72449,1431.45374,45,14,1244.27930,1246.43591,1432.08923,39,12
30,72,1052.28931,1125.55371,1111.74255,49,15,1052.81262,1126.08618,1112.26196,43,14,1054.26819,1127.56689,1113.70654,31,12
