run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,6.17732,6.02219,5.87439,57,15,6.39387,6.21011,5.95433,43,12,7.19545,6.97776,6.78893,15,4
2,44,630.82861,618.20825,666.39636,41,14,630.94250,618.30774,666.50153,11,7,630.96118,618.32202,666.51782,7,3
3,45,0.02796,0.02442,0.02680,35,13,0.07132,0.07951,0.06869,19,9,0.21627,0.25288,0.21697,7,3
4,46,612.68817,565.04987,725.52692,45,15,614.07147,566.35852,726.98596,25,12,615.22937,567.46277,728.21460,5,3
5,47,659.58075,589.36127,563.01282,41,15,660.96375,590.63818,564.25238,25,11,663.25775,592.66803,566.30139,3,2
6,48,0.07368,0.08008,0.08367,57,15,0.27090,0.34728,0.29580,21,8,0.48371,0.67759,0.52592,15,4
7,49,629.13153,571.56055,684.47540,57,15,629.43542,571.81592,684.81458,23,11,630.25250,572.58258,685.77582,3,2
8,50,2.22615,2.05218,2.09547,59,14,3.08055,2.94122,3.10166,29,10,3.83327,3.73155,3.87783,15,4
9,51,305.81094,337.03021,339.16785,73,15,305.94235,337.12839,339.27371,41,12,306.58496,337.84900,339.80292,15,4
10,52,606.65845,638.17389,685.60687,47,15,607.93530,639.66333,686.98700,19,11,609.03467,640.88458,688.18530,3,2
11,53,1.87109,1.98434,1.86146,57,15,2.00532,2.11675,1.99887,27,9,2.60602,2.70975,2.49919,15,4
12,54,598.12030,635.60748,702.60187,47,15,599.04980,636.48560,703.53937,27,12,600.97223,638.50659,705.75549,3,2
13,55,399.47870,389.44580,376.40308,55,15,400.07983,390.01889,377.05066,29,9,400.67325,390.57623,377.62589,15,4
14,56,633.58356,683.20740,554.81067,55,15,634.28082,683.97406,555.46136,17,10,634.80927,684.56134,555.95349,3,2
15,57,593.35925,688.72797,677.49316,51,15,594.03540,689.51331,678.36182,13,9,594.60529,690.18719,679.04962,3,2
16,58,616.35614,608.99640,678.08612,55,15,617.29730,610.01605,679.08777,33,10,618.71204,611.55078,680.58789,15,4
17,59,0.96446,0.95943,0.90843,71,15,1.38659,1.35080,1.25404,45,10,1.90308,1.82118,1.68102,25,5
18,60,648.99890,585.68842,610.02850,39,15,649.47864,586.09827,610.50122,19,10,650.26196,586.75110,611.26105,3,2
19,61,640.09967,614.31488,604.43085,41,15,641.83179,615.99664,606.06201,13,8,642.75165,616.88312,606.90656,3,2
20,62,623.88025,661.01379,613.66797,63,15,624.08911,661.25293,613.88177,33,13,624.80756,661.96906,614.56525,3,2
21,63,597.30157,681.71228,667.00446,41,15,597.69952,682.11774,667.45319,21,10,598.54272,682.93146,668.37891,3,2
22,64,658.34015,577.13171,571.85504,51,15,661.06616,579.39032,574.92694,19,9,663.25610,581.48236,577.11511,7,4
23,65,627.18652,665.14294,597.03937,51,15,627.74792,665.76691,597.60968,25,10,628.41705,666.59186,598.32281,3,2
24,66,0.00948,0.01925,0.01387,49,14,0.02305,0.03035,0.01984,15,8,0.36908,0.35575,0.36602,7,3
25,67,647.02246,655.73962,540.99622,51,15,647.35229,656.12109,541.19653,37,14,648.25977,657.01086,541.92261,7,3
26,68,6.14828,6.31285,5.43541,91,15,6.62893,6.79853,5.90116,69,9,7.04858,7.27080,6.27142,57,6
27,69,646.49359,506.87442,684.93103,47,15,647.23798,507.49640,685.73712,17,9,647.59479,507.79803,686.10211,7,3
28,70,653.17480,623.80457,551.15942,45,15,653.77710,624.34259,551.73907,25,12,655.65430,626.06042,553.57159,3,2
29,71,603.95630,632.22375,695.66095,45,15,605.39929,633.58728,697.16724,15,9,606.51251,634.55548,698.14319,3,2
30,72,612.00446,640.59766,663.94641,67,15,612.20929,640.81000,664.15570,45,11,612.90387,641.44501,664.87567,25,5
