run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,2.13053,2.18947,2.02417,140,15,2.39425,2.41218,2.36439,108,13,4.09734,4.28782,3.96467,97,12
2,44,1909.45654,1773.31360,1978.45264,150,15,1987.19226,1848.13257,2051.75220,129,14,2053.26660,1916.05396,2120.58203,114,13
3,45,624.47211,596.64526,718.06677,124,15,682.45496,633.73914,781.38239,96,13,723.49847,667.01385,828.94604,85,12
4,46,619.38739,561.15021,713.52698,128,15,680.56573,619.28931,794.15631,98,13,734.13287,681.57623,852.37958,87,12
5,47,677.99377,555.38165,575.22119,134,15,737.56372,594.67627,637.95831,98,14,820.12164,666.64453,714.77942,72,12
6,48,620.20270,640.63904,631.99890,132,15,655.68500,682.28516,672.62738,113,14,691.78491,721.18494,718.99109,100,13
7,49,622.64172,572.07593,682.85968,132,15,653.75372,599.98267,718.11353,113,14,725.62537,669.14423,804.08606,89,12
8,50,1.34561,1.09646,1.63440,150,15,1.51268,1.35819,1.70562,92,11,1.69375,1.59229,1.86847,82,11
9,51,609.98865,612.44971,684.31891,156,15,643.67474,659.17249,720.32245,139,14,707.38397,737.46942,791.25635,109,12
10,52,601.89667,666.52075,717.32977,124,15,631.12933,693.34497,749.85492,109,14,706.46283,777.37323,841.82947,81,12
11,53,0.83922,0.95519,0.93219,121,15,1.29079,1.31785,1.37873,75,11,9.87029,9.45875,9.62611,73,11
12,54,1843.15063,1841.96436,1819.64575,124,15,1897.23230,1901.27625,1870.31738,94,13,1922.32544,1933.01660,1894.59448,81,12
13,55,650.51959,623.52771,573.02289,128,15,685.69269,654.04156,602.92889,109,14,760.13031,730.56305,665.55737,89,12
14,56,625.88678,679.41907,546.48022,140,15,661.82001,720.18188,577.24658,117,14,747.52051,818.19531,654.91772,85,12
15,57,589.79657,679.36926,679.08466,132,15,646.41595,761.53583,755.32898,106,13,690.89941,814.13947,806.35803,89,12
16,58,618.53149,625.23950,658.61975,130,15,651.21570,655.49518,698.79272,113,14,706.04541,701.37683,759.85809,98,13
17,59,0.78018,0.79460,0.83879,150,15,0.78952,0.79677,0.85794,137,14,0.85440,0.87351,0.88679,109,12
18,60,646.82452,614.27600,604.03107,124,15,675.08533,636.02332,637.58026,111,14,707.13159,664.47882,674.71094,98,13
19,61,650.12592,605.39111,596.28729,136,15,677.87616,633.15601,620.71545,115,14,718.09741,673.05896,658.61713,98,13
20,62,617.28223,672.22498,612.66449,134,15,686.04944,736.16528,667.89148,98,13,759.65942,805.14062,728.31653,85,12
21,63,597.37177,684.14368,665.85895,148,15,626.69220,714.23505,692.16296,117,14,708.98358,794.03223,773.74268,91,12
22,64,657.60675,605.10516,573.18353,140,15,699.61102,641.29419,613.69147,111,14,808.45935,727.00757,722.91364,78,11
23,65,617.91376,658.64282,618.98584,144,15,658.89240,708.41992,657.51404,107,14,745.81580,817.65961,744.97577,87,13
24,66,0.04399,0.04917,0.05017,106,14,0.06816,0.06171,0.06367,91,13,1.13407,1.14008,1.13418,48,10
25,67,655.68896,664.80396,537.56335,134,15,692.80219,699.03168,557.15802,111,14,771.40277,780.77924,628.26367,91,14
26,68,3.09491,2.85530,2.76719,182,15,3.32168,2.98563,2.89521,156,13,5.99144,6.01461,5.64416,141,12
27,69,653.98474,495.64169,679.90607,130,15,688.15796,519.96930,720.99176,115,14,736.14587,553.09216,776.69312,102,13
28,70,653.76971,622.35950,593.20001,126,15,713.90063,668.52655,635.69263,96,13,770.26312,721.37201,695.47455,85,12
29,71,835.44550,770.93451,1008.60657,152,15,873.51013,818.01447,1050.50659,123,14,922.75836,871.11462,1105.87378,99,12
30,72,611.55536,671.12610,666.59253,136,15,671.23761,723.29352,723.04376,102,13,738.33765,811.79480,785.25250,91,12
