run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,2.91326,2.86386,2.63942,112,13,4.20519,3.98344,3.88792,41,8,11.56771,11.01342,11.07504,15,4
2,44,1946.61243,1812.76831,2010.77881,142,15,2197.59009,2053.78540,2256.91260,82,11,2560.13428,2410.02856,2617.26221,15,4
3,45,613.38641,583.30957,705.23431,190,15,815.04968,744.01807,912.14923,117,10,1089.75183,1009.62970,1175.90808,63,6
4,46,632.11902,580.43286,736.44244,132,15,802.22223,741.48462,934.16473,59,12,1070.46021,1016.82434,1209.46021,3,2
5,47,685.14258,562.28253,595.64740,130,15,878.07605,716.82013,770.74298,63,12,1141.08032,974.62164,1050.09351,3,2
6,48,640.95587,668.07556,651.16632,146,15,800.88232,837.54883,847.46228,69,12,1069.05200,1107.76465,1134.03406,7,3
7,49,634.07916,586.78772,691.65857,126,15,790.59119,731.88092,870.68909,68,11,1079.76489,1036.10559,1174.09155,3,2
8,50,1.58929,1.41559,1.65736,116,15,2.21297,2.05549,2.18006,41,8,5.83923,5.77227,6.13255,15,4
9,51,625.60388,636.84454,703.49261,152,15,799.80713,845.64899,885.13934,83,10,1049.96497,1116.23315,1134.71826,31,5
10,52,602.19635,655.96869,706.51343,132,15,738.77838,812.68829,875.08789,72,11,1041.61426,1122.15234,1198.38647,3,2
11,53,0.85738,0.93960,0.84995,142,15,1.41898,1.47562,1.44726,28,7,10.27723,9.89749,10.01021,15,4
12,54,1855.23975,1878.81396,1831.39917,104,15,1938.83630,1960.05688,1908.02307,57,11,2066.23804,2088.68848,2039.30811,3,2
13,55,672.66486,643.75330,590.70575,146,15,805.74866,770.43933,708.31311,74,12,1114.36975,1081.83777,1014.21973,3,2
14,56,641.59113,699.34375,557.48853,132,15,833.07953,908.91791,731.06525,59,12,1087.25439,1171.01111,987.64709,3,2
15,57,597.95270,688.89319,684.56775,124,15,786.16272,919.46106,907.28644,55,10,1036.77271,1176.46545,1161.01770,3,2
16,58,623.47797,628.96185,666.21948,130,15,759.37360,751.71960,828.09143,72,11,1082.49036,1055.15649,1163.77832,7,3
17,59,0.65710,0.64248,0.65519,168,15,1.57578,1.65571,1.51722,44,7,9.82019,9.91226,9.87107,31,5
18,60,652.27167,612.89502,611.93994,132,15,831.89453,788.88293,813.73059,55,10,1097.62903,1069.33923,1096.16968,3,2
19,61,658.76196,612.11090,601.18872,128,15,800.07855,752.28027,734.41431,70,11,1112.19128,1070.06873,1046.45801,3,2
20,62,626.17505,680.01642,615.22162,124,15,874.86505,914.22559,847.84576,42,9,1091.24805,1120.07800,1057.87976,3,2
21,63,607.70178,696.47632,676.99451,130,15,735.59875,820.66626,806.78986,72,12,1064.08044,1135.48633,1121.08069,3,2
22,64,662.90546,606.95227,575.46271,122,15,870.37451,785.13153,778.75629,55,10,1130.62170,1034.58105,1042.95667,3,2
23,65,629.95905,677.32452,630.08368,140,15,862.19653,936.54297,859.48041,46,10,1074.26868,1150.68433,1071.49011,3,2
24,66,0.05685,0.06801,0.05917,106,15,0.24535,0.25697,0.23770,48,9,1.14627,1.16323,1.06139,7,3
25,67,652.35675,656.98608,531.49670,128,15,856.24274,864.92169,701.82501,57,10,1113.38940,1128.37329,965.58527,3,2
26,68,3.64103,3.10657,3.04569,170,15,6.71263,6.46114,5.99658,89,8,10.28254,10.68653,10.12796,63,6
27,69,652.40015,493.66812,678.25549,138,15,875.65149,672.72272,924.18793,59,10,1115.03064,915.93341,1178.03955,7,3
28,70,653.38312,619.37024,589.01605,134,15,856.25806,796.17566,768.98157,55,10,1116.89734,1048.80481,1032.44348,3,2
29,71,843.95233,775.01056,1013.12891,146,15,978.35352,942.87445,1166.18640,80,11,1247.82324,1250.36096,1435.57544,15,4
30,72,623.53754,665.85425,671.72437,130,15,746.48419,806.66101,808.52460,74,11,1058.62769,1132.00122,1118.03296,3,2
