run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,28.96714,31.03685,26.20239,39,15,29.26420,30.96971,26.57154,19,10,29.72453,31.16798,27.16255,3,2
2,44,27.43622,36.36540,26.95150,51,15,28.57661,34.04757,25.41558,27,9,29.48893,33.98672,25.39146,15,4
3,45,29.35019,28.57599,31.87479,39,15,29.49824,28.76645,31.72956,23,11,29.72189,29.13828,31.23380,3,2
4,46,28.16497,27.58801,28.50788,43,15,29.22297,26.79204,29.68491,19,10,30.39972,27.19501,28.98764,7,3
5,47,26.95045,34.43261,31.13335,41,15,27.41529,33.98351,30.00298,11,8,27.88796,33.09321,29.32286,3,2
6,48,28.13976,28.86023,26.96203,49,15,28.76248,28.97897,27.04120,29,10,29.85647,29.39892,28.25257,15,4
7,49,25.59821,33.64592,31.20750,67,15,25.81784,33.39041,29.80557,55,12,27.41104,34.25479,32.24147,31,5
8,50,25.57656,34.46651,30.44182,41,15,26.28713,35.32899,30.27260,19,10,27.87018,32.46498,29.45611,3,2
9,51,27.80969,27.80117,34.73997,35,14,28.31814,28.59754,33.78725,11,8,28.62867,28.62753,33.01570,3,2
10,52,27.76698,34.01992,27.24328,69,15,27.97090,33.76440,27.15233,47,10,28.36839,33.28398,27.34878,29,5
11,53,27.00787,31.62209,29.91324,43,15,27.39143,31.93682,29.72140,27,11,28.34629,33.24206,30.01233,7,3
12,54,28.97339,29.42893,28.48473,49,15,29.14073,29.66277,28.49760,29,10,29.42474,29.98109,28.51509,13,4
13,55,28.82621,30.92843,30.59107,39,15,29.00244,30.75300,30.10020,15,9,29.14806,30.57620,29.66273,3,2
14,56,26.87931,32.39394,29.60749,43,15,28.37315,31.16116,29.90972,19,9,29.88835,29.54284,30.85338,3,2
15,57,26.37290,31.54498,36.98866,39,15,26.57496,31.37517,37.41909,23,11,27.31676,31.19681,38.00506,3,2
16,58,26.92349,27.92865,29.59227,49,15,27.38751,28.51808,28.33768,29,10,28.64340,29.79055,28.86075,13,4
17,59,28.50949,34.00579,30.57701,39,15,28.70134,33.24072,30.54834,11,8,28.82362,32.92615,30.37732,3,2
18,60,25.36725,33.01985,32.36526,39,15,27.13787,30.45815,31.70089,15,9,28.98911,30.03687,30.20562,3,2
19,61,27.78889,30.74864,33.96232,65,15,27.94604,30.73042,33.75651,43,10,28.22849,30.57752,33.54704,27,5
20,62,27.62529,32.43709,30.95811,97,15,28.15771,32.91474,30.61786,73,9,28.51181,32.54214,30.98593,61,6
21,63,27.09028,29.00234,35.93098,39,15,27.31870,28.91551,35.55400,23,11,28.06598,28.64033,34.50414,3,2
22,64,27.11026,26.30379,29.02616,63,15,27.44052,25.95562,29.25491,47,11,29.74925,26.54845,31.10268,29,5
23,65,28.69899,30.22899,26.70192,39,15,29.26975,30.34878,26.22814,17,9,29.68897,30.25516,26.18398,3,2
24,66,27.08548,37.33129,31.96742,51,15,27.33019,37.34272,32.29612,37,12,28.29062,34.87744,31.02304,15,4
25,67,27.95891,29.30890,27.65043,39,15,28.62841,29.64951,27.77649,19,10,29.83471,29.42271,28.12654,3,2
26,68,27.79958,29.35707,33.07601,65,15,28.01596,29.49205,33.38539,47,10,28.46476,29.65907,33.23667,31,5
27,69,27.08372,29.62953,28.67119,41,15,27.60335,29.56476,28.77855,17,9,28.64019,30.12171,29.58492,5,3
28,70,27.73379,31.71492,27.02281,39,15,28.41748,31.38925,27.36753,15,9,29.08449,31.85046,27.98846,3,2
29,71,29.03012,30.67123,27.83071,41,15,29.08875,30.76494,28.00444,21,10,29.16304,30.87868,28.15199,7,3
30,72,28.47868,25.14190,26.28189,53,15,29.15296,25.07320,26.99837,25,10,30.29737,26.08083,28.83080,15,4
