run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,27.34625,30.83090,26.97879,120,15,27.87839,31.30382,26.94613,94,13,33.96410,29.18285,32.51791,81,12
2,44,27.04057,30.15475,25.71582,148,15,27.31309,30.31404,25.17476,122,13,28.16795,30.25736,25.65307,96,11
3,45,27.36996,29.34523,27.95392,126,15,27.64967,28.87070,28.31486,98,13,28.64297,29.62957,29.16365,85,12
4,46,26.62276,26.98104,31.77528,120,15,27.21886,25.79811,30.80178,94,13,28.31533,26.63505,32.38722,81,12
5,47,26.61716,31.31901,30.54447,111,15,27.00890,30.81026,30.33865,85,13,29.31944,33.24360,34.10271,70,12
6,48,26.96995,29.36621,30.42150,150,15,27.12776,29.67292,30.57470,135,14,28.24238,30.67811,27.87593,122,13
7,49,24.96838,32.62405,30.49059,120,15,25.32801,32.79445,30.56338,94,13,69.55726,66.66973,67.54918,81,12
8,50,25.32496,34.93929,30.39681,122,15,26.77212,34.63398,29.85910,81,12,68.62514,71.97692,72.85104,68,11
9,51,27.30331,26.26427,28.75872,120,15,28.10312,26.62063,27.82163,81,12,73.30751,69.38616,76.42301,42,9
10,52,26.32981,34.63500,28.29072,120,15,26.53306,33.78205,26.90646,94,13,27.67821,33.28917,27.97087,81,12
11,53,25.39884,32.99700,31.49137,120,15,25.87436,32.99700,31.49137,94,13,75.51191,71.55165,71.06736,81,12
12,54,27.28869,30.03606,29.05370,122,15,28.10966,28.53083,28.59719,83,12,29.21893,31.18052,29.39225,68,11
13,55,27.60520,30.28136,26.60668,124,15,27.93811,29.89140,26.76445,94,13,28.62949,29.98663,28.05419,68,11
14,56,25.75109,35.04088,29.60480,120,15,26.58528,34.33326,28.97709,81,12,64.77875,64.93709,61.93163,68,11
15,57,25.44432,35.42768,33.05899,120,15,25.72579,33.47408,31.88841,94,13,27.74363,34.15323,32.76079,68,11
16,58,26.03751,28.91196,30.54327,150,15,26.67700,29.12225,29.56901,124,13,27.43362,30.75729,30.10940,109,12
17,59,26.80577,26.49594,32.22335,109,15,27.75991,26.49594,32.22335,83,13,28.77337,28.12864,31.25585,70,12
18,60,26.07094,30.28325,32.11921,122,15,26.59365,30.19817,30.15395,96,13,27.37924,30.95567,30.55377,81,12
19,61,26.11284,30.64431,28.91022,120,15,26.70068,30.11116,28.84984,94,13,27.68830,31.10357,28.83488,81,12
20,62,26.01981,30.88097,29.05117,122,15,26.29459,30.28723,29.80099,94,13,29.61345,34.90108,31.69509,83,12
21,63,25.78752,30.63378,32.15484,120,15,26.23972,29.39067,32.56983,94,13,26.72076,29.11729,32.01145,81,12
22,64,27.38369,28.62996,31.76078,132,15,27.81547,28.97971,31.69316,106,13,29.36733,29.87045,31.01457,93,12
23,65,26.41421,31.45148,26.93954,120,15,26.87118,30.94934,26.47144,94,13,27.51627,32.85958,27.23483,81,12
24,66,25.15750,31.91666,31.57378,122,15,25.50808,31.84706,31.02966,107,14,72.65495,75.28006,69.61578,83,12
25,67,26.63621,28.50489,27.29908,148,15,27.72575,28.63914,26.98205,109,12,71.94499,69.42028,72.40657,96,11
26,68,26.94215,33.49664,38.63522,120,15,27.18021,33.02942,37.94151,94,13,29.23724,35.84275,40.54197,81,12
27,69,25.96331,29.40686,28.30295,120,15,26.25751,29.72196,28.27752,94,13,65.63118,69.07163,64.14896,81,12
28,70,27.02119,29.96761,26.42381,120,15,27.18463,30.26134,26.91842,107,14,27.64848,30.53837,27.05292,81,12
29,71,26.09978,31.40907,29.94536,120,15,27.29676,31.18236,27.97988,68,11,28.94199,31.85470,31.63177,55,10
30,72,28.50454,26.99686,27.64613,134,15,28.69666,26.58346,28.24202,121,14,29.47574,27.00789,27.57826,93,12
