run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,28.46655,30.72440,27.47942,120,15,30.57427,32.24641,28.90497,28,7,59.56954,73.07417,54.46426,3,2
2,44,28.46318,32.53221,24.75096,120,15,30.52067,32.80897,27.66732,42,9,59.74291,63.74269,59.78644,3,2
3,45,27.82088,28.82398,25.96150,120,15,31.86739,32.87326,33.53681,16,7,58.00640,58.74043,60.74109,3,2
4,46,27.80446,25.96431,29.05760,120,15,31.54149,27.72253,31.12906,16,7,47.36204,46.00689,45.41093,3,2
5,47,25.97777,30.96095,29.99820,120,15,29.59331,31.96653,31.89391,29,8,43.43743,46.91150,43.44260,3,2
6,48,28.55617,29.24731,26.00113,120,15,30.17970,30.42914,28.18595,29,8,68.92374,71.85947,68.09780,3,2
7,49,25.93017,33.98424,30.31474,148,15,27.92476,34.69474,33.00436,44,7,51.84809,49.52646,51.14599,31,5
8,50,26.20357,35.62188,29.72066,120,15,29.72902,33.68820,29.82693,29,8,46.96322,47.42892,47.96736,3,2
9,51,27.93002,28.63733,29.18092,120,15,31.72829,30.89594,30.78155,16,7,47.23908,46.42970,48.84237,3,2
10,52,27.16601,32.69661,28.18153,120,15,30.48274,32.93028,29.18993,16,7,49.85085,44.82457,49.00442,3,2
11,53,26.53430,32.00171,29.71866,120,15,28.37612,32.30595,29.20876,16,7,54.92495,54.99825,52.26507,3,2
12,54,27.80153,29.60519,29.41984,120,15,34.99234,34.89263,32.09734,16,7,55.24749,53.08365,53.41615,3,2
13,55,28.19461,30.10600,27.30711,120,15,32.38337,32.09467,30.14460,16,7,62.13144,61.99609,64.46803,3,2
14,56,26.97668,34.90691,29.77668,126,15,29.00858,32.24040,29.59098,33,8,45.62284,41.59907,40.28298,3,2
15,57,26.04996,33.35443,32.24276,120,15,27.41773,31.49152,32.88666,68,11,28.92986,31.98021,33.02563,16,7
16,58,26.87805,29.57618,29.34654,120,15,30.34943,31.37027,29.93776,29,8,48.75264,46.03859,47.41301,3,2
17,59,28.14057,27.28422,29.93745,120,15,29.29142,27.66150,29.90578,81,12,30.92887,27.55003,29.39019,55,10
18,60,27.01971,31.63073,31.82329,132,15,29.95650,30.08298,30.11080,28,7,55.71952,58.58820,55.86172,15,4
19,61,27.88989,30.68129,27.60760,124,15,30.59589,31.12496,28.64425,33,8,52.56232,48.34324,53.15202,15,4
20,62,26.29377,30.39459,30.42300,122,15,31.88624,34.48843,34.44848,18,7,58.76593,50.65938,59.35081,5,3
21,63,26.49964,29.53371,32.44841,120,15,29.84929,30.23882,33.50131,42,9,74.10765,70.27081,67.85900,3,2
22,64,27.79661,28.14513,31.82713,120,15,31.22079,27.26867,31.51483,42,9,48.22630,49.44804,45.57003,3,2
23,65,26.26159,32.10205,28.41053,120,15,31.64982,30.48223,25.44148,16,7,52.31780,49.25642,50.69034,3,2
24,66,26.04264,30.21209,31.84024,111,15,30.57353,30.70298,30.11396,18,8,58.10594,58.25010,53.90976,3,2
25,67,27.58047,30.95650,27.67329,120,15,30.07325,31.39699,28.44612,16,7,70.43204,68.98367,70.85735,3,2
26,68,27.85295,29.67484,31.00321,120,15,29.99887,30.97786,31.58208,55,10,43.65299,45.29367,48.80506,7,3
27,69,27.22749,30.37212,31.90125,134,15,29.48129,31.93087,32.39129,28,7,46.16053,46.17953,42.78139,15,4
28,70,27.41395,32.74872,29.29416,120,15,29.06341,31.10983,28.99346,42,9,67.26810,70.60678,70.11109,3,2
29,71,27.03274,29.32348,28.42335,124,15,31.16756,33.79461,35.39169,16,7,59.00647,57.75727,58.74753,3,2
30,72,28.87312,26.62605,27.60680,122,15,30.92989,28.06657,30.55074,42,9,61.01249,58.05826,66.73917,3,2
