run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,9.87000,8.58027,8.15243,43,15,9.95731,8.69372,8.26145,37,14,10.17307,8.98716,8.54162,29,12
2,44,9.32215,10.17860,8.55299,57,15,10.05135,10.86692,9.21048,37,14,10.91800,11.69792,10.03641,27,12
3,45,7.33584,6.82151,6.69687,47,15,7.58340,7.19622,7.09384,33,13,7.74070,7.42025,7.31331,29,12
4,46,9.32970,10.08146,8.56869,43,15,9.52180,10.22750,8.77195,33,13,9.78171,10.63932,9.09977,29,12
5,47,8.91357,8.59869,10.77779,43,15,9.17924,8.88620,11.14084,35,14,9.66731,9.47003,11.67428,23,11
6,48,7.03016,7.87851,8.40241,49,15,7.16592,8.16725,8.74360,39,14,7.32512,8.25980,8.84150,29,11
7,49,8.35928,10.63652,10.22539,45,15,8.47252,10.74907,10.33808,35,14,8.75529,11.00780,10.59711,23,12
8,50,9.46838,8.19659,9.43295,45,15,9.62828,8.36530,9.50325,35,13,9.85932,8.51094,9.96106,25,11
9,51,9.48737,9.10191,9.41980,45,15,9.82324,9.44300,9.72785,35,13,10.14610,9.67898,9.97921,29,12
10,52,10.06844,10.61874,10.77619,41,15,10.37172,10.87062,11.09943,35,14,10.95490,11.36501,11.69868,27,12
11,53,6.79945,6.66373,5.94097,51,15,7.07266,6.90644,6.34669,33,14,7.35282,7.22023,6.61919,21,11
12,54,7.26187,6.44204,7.46112,45,15,7.52595,6.67806,7.57999,35,14,8.62496,7.78897,8.39410,29,12
13,55,8.41129,9.24256,10.47605,45,15,8.62987,9.55128,10.73621,37,13,8.92671,9.86273,11.15491,25,11
14,56,6.75699,5.94284,6.68747,45,15,6.83752,5.92934,6.76580,33,13,7.09780,6.11799,7.08451,27,12
15,57,6.79883,7.85451,7.57786,55,15,6.97676,8.10785,7.78783,39,13,7.53927,8.71769,8.36931,27,11
16,58,9.39719,11.15674,9.15987,59,15,9.67028,11.43815,9.50918,43,13,9.84937,11.68713,9.75863,39,13
17,59,10.89473,9.27419,10.97283,45,15,11.64274,10.06282,11.68925,37,14,12.33613,10.80613,12.34790,31,13
18,60,8.73254,9.17572,7.55823,43,15,8.84085,9.17052,7.75067,33,14,8.99051,9.23485,7.99265,29,13
19,61,9.58554,9.77810,8.64100,49,15,9.80110,9.93874,8.63594,35,14,10.19506,10.22892,8.87090,29,12
20,62,9.31135,7.08585,9.92243,49,15,9.47472,7.28259,10.10938,33,13,9.62998,7.25175,10.26124,27,12
21,63,7.01714,5.13656,6.85859,45,15,7.03498,5.14009,6.84694,41,15,7.26325,5.27337,6.92872,31,12
22,64,7.18394,7.53560,7.94782,39,15,7.47378,7.95269,8.36186,27,14,8.32136,9.01352,9.37546,23,12
23,65,9.05992,7.79444,8.00224,49,15,9.15223,7.98126,8.17952,39,14,9.49879,8.42555,8.61359,29,12
24,66,9.47418,9.06140,8.52530,45,15,9.50260,9.01268,8.50218,41,14,9.70715,9.37864,8.83821,27,12
25,67,9.08818,10.05053,9.99949,45,15,9.25602,10.19226,10.21362,35,14,9.66044,10.51213,10.59868,27,12
26,68,7.67872,8.43010,8.59057,41,15,8.03229,8.68817,8.98081,37,14,8.96677,9.44772,9.95862,29,12
27,69,6.36999,7.65674,7.80046,49,15,6.60751,7.76202,7.99098,41,13,6.90740,7.88683,8.19101,31,12
28,70,8.85991,8.43439,9.44480,47,15,8.98147,8.63578,9.63176,37,14,9.25891,9.17695,10.08208,29,12
29,71,8.15093,7.50064,8.52192,51,15,8.35560,7.67248,8.74544,37,13,8.70347,7.93502,9.06059,25,11
30,72,9.33887,9.33536,7.46313,53,15,9.48402,9.54870,7.59522,37,13,9.51164,9.56882,7.66181,35,13
