run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,6.24192,6.11202,5.08633,39,15,6.35210,6.20808,5.20190,19,10,6.52156,6.25146,5.23859,3,2
2,44,6.22472,6.57522,5.01529,45,14,6.29045,6.63866,5.08739,25,11,6.35140,6.71248,5.13322,7,3
3,45,6.04468,5.80636,5.31864,37,15,6.19293,5.91820,5.32383,21,10,6.43850,6.16351,5.48148,3,2
4,46,5.86729,6.33853,5.87615,51,15,5.94691,6.41960,5.89933,29,13,6.15092,6.61660,5.95501,3,2
5,47,5.33692,6.29256,6.61768,49,15,5.41196,6.26836,6.68453,23,12,5.55304,6.33924,6.87484,3,2
6,48,5.04405,6.02344,6.62523,55,15,5.12848,6.12520,6.76052,21,11,5.28740,6.22328,6.86996,5,3
7,49,3.69046,5.97442,4.96781,53,15,4.27316,6.31949,5.22902,19,10,5.16052,6.81062,6.53189,3,2
8,50,5.64587,6.72145,5.99715,47,15,5.81712,6.79803,6.26547,25,12,6.13631,6.80795,6.71853,3,2
9,51,4.66357,5.19074,5.68204,43,14,5.14575,5.69256,6.38829,11,8,6.19371,6.89622,7.45509,3,2
10,52,5.47916,5.75398,5.75373,49,15,5.60882,5.87373,5.90395,11,8,5.69972,5.92928,5.97752,3,2
11,53,4.66485,5.35224,4.68367,27,11,4.86307,5.21981,4.67457,13,8,5.40766,5.92426,5.58772,3,2
12,54,5.73336,6.35423,6.75595,71,15,5.74133,6.35722,6.76263,47,10,5.75113,6.36249,6.76878,31,5
13,55,4.10734,4.29935,6.07288,25,11,4.16941,4.32253,6.15193,21,10,5.73404,6.32627,7.44058,3,2
14,56,6.09571,5.69029,6.36378,57,15,6.10804,5.68309,6.36999,23,10,6.12070,5.68217,6.38060,7,3
15,57,5.21623,5.92595,6.11594,57,15,5.28145,6.00809,6.26257,25,11,5.42697,6.26104,6.41118,5,3
16,58,4.20849,5.70549,4.32652,53,15,4.65950,6.03198,4.47393,19,11,5.31331,6.75539,4.92165,3,2
17,59,5.71420,4.76006,6.42277,39,15,5.87408,4.88462,6.55726,23,11,6.18651,5.15412,6.80626,3,2
18,60,4.75855,8.38995,5.42485,39,15,5.21337,8.58054,5.75485,11,9,5.91226,8.66685,6.44896,3,2
19,61,5.53510,6.53609,6.47060,47,15,5.63691,6.59659,6.55831,25,11,6.09845,6.84063,6.85229,3,2
20,62,4.55870,3.89001,5.56151,49,15,4.78486,3.99827,5.76132,21,10,5.33543,4.48469,6.10360,3,2
21,63,4.91751,3.75622,4.49493,39,15,5.17001,3.82913,4.38754,11,8,5.83658,4.91416,5.24253,3,2
22,64,5.35389,4.98792,6.19521,43,14,5.57585,5.22993,6.52123,21,10,6.07564,5.95204,6.81190,3,2
23,65,6.12514,5.47718,5.35484,55,15,6.20489,5.56003,5.36999,25,12,6.50710,5.86570,5.56929,3,2
24,66,4.67523,5.13036,4.41973,29,13,4.94217,5.18729,4.90240,13,9,6.49532,6.83844,6.74210,3,2
25,67,4.47891,5.39890,4.21413,39,15,4.74970,5.42880,4.33903,21,11,5.71669,5.99493,6.33714,3,2
26,68,5.23131,5.89325,5.89810,47,15,5.30574,5.97603,5.99478,21,11,5.49793,6.23425,6.18040,3,2
27,69,4.65673,7.19408,6.70993,51,15,4.93501,7.58532,6.95514,21,10,5.76122,7.98639,7.50969,3,2
28,70,5.88609,5.64046,6.67131,41,15,5.97091,5.71786,6.82846,23,11,6.15672,5.69193,6.81241,3,2
29,71,4.81469,4.84064,6.21216,45,14,5.31904,5.38883,6.91003,7,7,5.94347,5.85768,7.96229,3,2
30,72,5.30453,4.69093,6.46210,47,15,5.40888,4.87126,6.66875,23,11,6.39319,6.38410,5.78303,3,2
