run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,4.92376,4.52605,4.24576,130,15,5.09574,4.47133,4.19925,100,13,5.41717,4.99241,4.68992,83,12
2,44,5.51989,4.39225,4.72537,100,15,5.60645,4.52612,4.77474,87,14,6.68163,6.22605,6.06957,59,12
3,45,4.66217,4.84655,4.25268,128,15,4.97347,4.58073,4.29965,89,12,6.63752,6.19485,6.23036,85,12
4,46,4.90852,5.05655,5.90094,140,15,5.52671,6.17312,6.04778,78,11,7.34417,7.58809,7.90452,67,10
5,47,4.56079,4.57318,5.45691,136,15,4.64565,4.65344,5.44628,119,14,5.30041,5.37974,6.55857,87,12
6,48,4.72443,5.82541,6.24326,132,15,4.77409,5.91013,6.32755,113,14,4.92889,5.95796,6.33235,87,12
7,49,4.58167,7.08525,5.96336,132,15,4.73526,7.17597,6.20270,85,12,6.08893,8.45045,7.13125,57,10
8,50,4.54652,5.73658,5.02775,134,15,6.61207,6.97649,6.84414,85,12,19.61075,19.76612,18.74841,80,12
9,51,4.57630,5.50712,5.36595,134,15,7.42038,7.69088,8.07966,76,11,18.36873,18.15798,19.01955,59,11
10,52,5.23157,5.23614,8.01845,140,15,5.80296,6.02024,8.62369,76,12,24.17650,24.09583,24.38212,61,12
11,53,4.56483,4.82794,4.57611,138,15,4.61287,4.84248,4.55921,95,12,4.95278,5.13463,5.00573,63,10
12,54,4.86357,4.33454,5.84320,124,15,5.36307,4.64415,6.66811,83,12,7.40471,6.79876,8.48009,57,10
13,55,4.97511,5.37771,7.54528,152,15,5.37226,5.81123,8.06337,124,13,5.73618,5.79945,8.61769,109,12
14,56,4.99333,3.72708,4.59978,124,15,5.09082,3.75899,4.66878,98,13,5.29888,3.88600,4.74009,81,12
15,57,4.45200,4.88783,5.91294,120,15,4.58272,5.09569,5.96769,81,12,4.81123,5.19132,6.09613,68,11
16,58,4.52752,5.81994,4.57321,120,15,4.58623,5.86936,4.68779,107,14,5.54649,6.66104,5.78889,81,12
17,59,5.10848,4.70424,6.32963,134,15,5.39413,4.91669,6.81163,106,13,5.63450,5.13379,6.91733,89,12
18,60,4.87611,5.46009,4.38302,132,15,5.01163,5.47187,4.54832,104,13,5.66915,5.78167,5.14552,78,11
19,61,5.35889,5.82460,6.70179,115,15,5.47490,6.04371,6.86109,70,12,18.32309,18.45985,18.48850,57,10
20,62,4.75971,3.75947,5.97486,140,15,5.04098,3.95568,6.01832,84,13,5.50284,4.23100,6.76664,71,12
21,63,4.80605,3.63618,4.91015,128,15,5.03199,3.74053,5.13406,98,13,5.26641,3.68661,5.12805,85,12
22,64,4.62689,3.96153,5.46228,128,15,4.77628,3.91005,5.59816,89,12,4.90654,4.13367,5.70498,74,11
23,65,5.68977,5.10653,5.08366,128,15,7.73084,7.02864,6.69489,83,12,22.63135,23.25455,22.95624,76,12
24,66,5.13426,4.96057,4.67204,126,15,5.84241,5.46442,5.29952,85,12,8.91839,9.43908,9.29142,72,11
25,67,4.81734,5.64721,4.80259,126,15,5.11174,6.26842,5.05764,85,12,5.34412,6.54375,5.24996,70,11
26,68,4.76303,5.32461,5.19110,130,15,5.06795,5.61258,5.52224,91,12,5.21561,6.04834,5.47549,70,11
27,69,4.75898,6.21383,15.23596,106,15,5.71952,6.67178,15.04272,63,12,17.12597,17.01138,20.39649,46,9
28,70,5.34836,5.37526,6.24405,117,15,5.36339,5.28304,6.22408,100,14,5.92798,5.56484,6.51956,74,11
29,71,4.89122,5.52192,5.77281,124,15,5.41494,5.88692,6.08003,83,12,9.19223,8.38017,9.33653,70,11
30,72,4.96183,4.94000,4.97677,127,15,5.17712,5.23702,5.25143,95,13,6.56319,6.75427,6.50496,74,12
