run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,5.79142,5.98482,5.09512,109,14,6.41255,6.01112,5.04552,29,8,11.60231,10.63691,10.25679,3,2
2,44,5.01673,4.87891,4.68011,132,15,7.38552,7.72781,7.13717,29,8,14.26633,14.96388,13.33452,3,2
3,45,5.23596,4.99052,4.59561,116,15,5.65971,5.08706,4.58533,35,10,8.85332,8.50520,8.36017,3,2
4,46,5.23749,5.32270,4.72253,128,15,5.92844,6.67115,5.68619,74,11,10.60943,11.34656,10.07741,3,2
5,47,5.35624,6.04542,5.49871,126,15,5.77939,6.24919,5.59457,57,10,10.71413,10.59908,12.87105,3,2
6,48,5.63990,6.25340,7.09440,112,13,6.12457,6.15897,7.01847,48,11,7.82859,8.99602,9.53686,3,2
7,49,5.29972,7.50560,6.62350,82,15,6.50480,8.36816,7.22157,41,12,9.89119,11.91570,11.51666,3,2
8,50,5.33318,6.54795,5.16112,119,15,6.58449,7.39704,6.72259,18,8,10.71782,9.19136,11.02303,3,2
9,51,4.93833,5.47722,5.45005,113,14,7.68205,8.64880,8.94717,16,7,11.58949,10.86359,11.30069,7,3
10,52,5.73424,6.11302,5.97898,123,15,7.68189,8.14074,8.77591,42,9,13.67274,13.83944,14.35488,3,2
11,53,4.63237,4.75439,4.55882,128,15,5.23514,5.35215,5.19276,29,8,8.10866,7.96723,7.43822,3,2
12,54,4.62887,4.35323,5.61865,112,15,6.22154,5.38606,6.97560,16,7,11.72952,10.91584,11.07623,3,2
13,55,5.00463,5.59424,7.04530,128,15,5.34649,5.98750,7.58998,59,10,10.21776,11.43182,12.40387,5,3
14,56,5.14908,3.93130,4.94942,132,15,5.98257,4.87825,5.81591,16,7,8.06056,7.24520,8.28564,3,2
15,57,4.34613,4.74627,5.66753,111,15,5.42486,5.76941,6.55699,16,7,8.28734,9.48008,9.03101,3,2
16,58,5.12445,6.34649,5.08183,98,15,6.49359,7.81423,6.27213,46,11,11.44657,13.64089,11.15038,7,3
17,59,4.97232,4.86016,6.62493,134,15,6.82217,5.98961,8.96569,33,9,23.55309,22.71033,23.67143,3,2
18,60,4.37457,7.54823,4.90002,113,15,6.63297,8.07778,7.07313,18,8,10.34864,10.21972,9.86032,3,2
19,61,5.33222,5.67010,6.55020,124,15,6.24024,7.05646,7.18463,16,7,18.79328,18.53391,18.85512,3,2
20,62,4.72305,3.97191,5.64612,113,15,5.34007,4.20005,6.37437,18,8,10.77787,8.58593,11.39884,3,2
21,63,4.76812,3.53555,4.71539,134,15,5.44061,3.95980,4.90820,33,9,8.35227,6.42962,8.08664,3,2
22,64,4.67057,3.98104,5.28984,115,15,6.44632,6.21346,7.20923,16,7,10.94619,12.05802,12.24361,3,2
23,65,5.25967,5.20087,4.92068,130,15,5.58706,5.17087,5.24653,55,10,11.48369,10.85541,11.04414,3,2
24,66,5.49993,4.74959,5.03248,120,15,8.90816,8.26986,7.84584,16,7,10.31812,9.90897,9.61309,3,2
25,67,5.20546,5.60421,5.47023,118,15,7.47899,7.68754,7.93773,16,7,11.27332,12.04611,12.20629,3,2
26,68,4.71127,4.99163,4.86925,109,15,7.73100,8.33330,9.36299,16,7,12.71031,12.93412,13.66509,3,2
27,69,4.56754,5.87609,6.07119,121,15,6.09864,7.53170,7.83277,35,10,8.32329,8.92628,9.48448,3,2
28,70,5.64587,4.97254,5.86589,127,15,6.76658,6.35204,7.27163,33,9,10.27984,10.24484,11.34513,3,2
29,71,4.72482,4.88911,4.99815,111,14,5.25443,5.31237,5.52444,44,9,9.68174,8.79602,9.69137,3,2
30,72,4.62237,4.64896,5.34462,132,15,6.92260,6.12482,6.06815,29,8,10.69988,11.05519,9.21561,3,2
