run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,0.40640,0.35078,0.40381,19,10,0.43469,0.39689,0.43368,11,8,0.43469,0.39689,0.43368,11,8
2,44,0.30021,0.31228,0.31343,39,13,0.35392,0.34770,0.35460,31,12,0.46392,0.45612,0.45973,21,11
3,45,0.29376,0.29731,0.32546,35,13,0.41231,0.40381,0.39585,23,10,0.55598,0.58645,0.59918,21,10
4,46,0.29966,0.29914,0.28798,37,13,0.32103,0.30106,0.30615,23,10,0.49737,0.54716,0.47412,19,9
5,47,0.29272,0.34766,0.31296,51,14,0.36710,0.39073,0.38670,33,10,0.59022,0.55687,0.57179,25,9
6,48,0.28556,0.29493,0.28524,25,11,0.29883,0.31814,0.30228,17,9,0.39289,0.38894,0.39497,13,8
7,49,0.31358,0.28755,0.28732,35,15,0.35366,0.32594,0.30080,25,12,0.39349,0.37617,0.41210,11,8
8,50,0.31215,0.33199,0.27866,41,12,0.34757,0.37007,0.36691,35,11,0.53393,0.53703,0.55604,25,9
9,51,0.31651,0.28647,0.28177,43,15,0.32839,0.29715,0.29280,25,11,0.51125,0.51469,0.50935,15,9
10,52,0.31080,0.31400,0.33705,33,13,0.33478,0.31195,0.34488,17,10,0.35949,0.31694,0.36875,13,9
11,53,0.27926,0.28072,0.29227,47,13,0.32520,0.31235,0.34332,19,7,0.44407,0.41428,0.45089,15,4
12,54,0.29046,0.26232,0.31607,39,15,0.39209,0.35345,0.42048,23,11,0.58662,0.53915,0.57795,15,9
13,55,0.30417,0.30707,0.31140,43,15,0.34864,0.35695,0.37121,29,12,0.53945,0.55174,0.62030,19,10
14,56,0.29496,0.30664,0.28736,71,15,0.30314,0.30591,0.29593,57,12,0.40208,0.39350,0.39723,43,10
15,57,0.29437,0.29925,0.32543,37,14,0.32798,0.33958,0.37901,29,12,0.44683,0.44885,0.40469,25,11
16,58,0.30905,0.29340,0.25416,35,14,0.33487,0.31714,0.28696,17,10,0.40798,0.39466,0.39733,3,2
17,59,0.30743,0.34958,0.30728,65,15,0.32730,0.37296,0.32298,39,12,0.43306,0.40276,0.42868,27,9
18,60,0.26601,0.29309,0.25588,37,15,0.28516,0.31250,0.27813,29,13,0.34002,0.36077,0.33436,19,11
19,61,0.31580,0.28078,0.29670,37,14,0.31743,0.28257,0.29782,29,13,0.40120,0.38375,0.39342,13,9
20,62,0.32314,0.32781,0.34778,49,15,0.48720,0.46053,0.52654,25,10,0.84131,0.87930,0.79091,23,10
21,63,0.31454,0.35325,0.30094,39,14,0.35004,0.37306,0.35388,23,10,0.46687,0.46165,0.47597,19,9
22,64,0.29200,0.29228,0.28512,33,12,0.43574,0.39840,0.41526,15,9,0.79294,0.84415,0.81324,13,9
23,65,0.29310,0.35686,0.31868,29,12,0.36902,0.42514,0.39156,15,9,0.67886,0.69237,0.71025,3,2
24,66,0.39290,0.40682,0.36901,19,10,0.42223,0.43980,0.37482,11,8,0.47030,0.47789,0.44146,3,2
25,67,0.30953,0.27935,0.33521,39,15,0.33821,0.31557,0.35839,25,12,0.42560,0.41206,0.39689,13,9
26,68,0.29979,0.30050,0.35592,27,12,0.55793,0.53079,0.59145,19,10,0.78755,0.80948,0.76246,7,7
27,69,0.30787,0.30045,0.29962,73,14,0.38513,0.36503,0.37119,53,11,0.46832,0.46453,0.45288,47,10
28,70,0.34811,0.34575,0.35005,11,8,0.35690,0.35960,0.36834,7,7,0.41475,0.43620,0.40708,3,2
29,71,0.30040,0.33938,0.34874,43,14,0.30748,0.35299,0.35693,23,11,0.50566,0.51804,0.55066,7,7
30,72,0.28216,0.37278,0.36819,45,15,0.30273,0.38964,0.37648,31,13,0.32896,0.41606,0.41487,23,11
