run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,0.25472,0.24468,0.25199,39,14,0.26616,0.24995,0.24865,9,8,0.29890,0.29258,0.28304,3,2
2,44,0.24748,0.25497,0.25413,43,15,0.25954,0.26692,0.26940,11,8,0.28328,0.30597,0.30081,3,2
3,45,0.24410,0.24380,0.26522,37,14,0.26407,0.26723,0.29565,13,8,0.28763,0.28641,0.31909,5,3
4,46,0.24048,0.27706,0.24568,37,14,0.25763,0.28993,0.24930,11,8,0.29397,0.30883,0.27951,3,2
5,47,0.23937,0.26491,0.26313,43,13,0.25789,0.28716,0.27034,27,10,0.32685,0.31934,0.32547,15,4
6,48,0.24145,0.24825,0.26799,33,14,0.26441,0.29230,0.29368,7,7,0.29503,0.31275,0.32484,3,2
7,49,0.27520,0.25202,0.24372,43,15,0.27976,0.25857,0.24857,15,9,0.30389,0.27517,0.26431,3,2
8,50,0.29561,0.32232,0.27546,43,15,0.29661,0.32323,0.27558,19,9,0.29931,0.32627,0.27784,7,3
9,51,0.28977,0.32063,0.29175,53,15,0.29002,0.32080,0.29197,35,11,0.29034,0.32120,0.29237,15,4
10,52,0.23194,0.26710,0.27381,41,15,0.25777,0.29214,0.29080,17,10,0.28959,0.31682,0.31456,3,2
11,53,0.24187,0.24074,0.27371,39,15,0.24993,0.24827,0.27714,23,11,0.29905,0.28549,0.32098,3,2
12,54,0.25815,0.22475,0.26556,41,15,0.26899,0.22891,0.28113,19,9,0.30118,0.25924,0.30349,3,2
13,55,0.23906,0.25857,0.26864,45,15,0.25363,0.26235,0.27693,15,9,0.28745,0.30147,0.30882,3,2
14,56,0.24025,0.28530,0.23078,31,13,0.25687,0.29375,0.24735,15,10,0.28507,0.33249,0.28460,3,2
15,57,0.24439,0.25440,0.24561,47,15,0.25929,0.26397,0.25387,21,11,0.29477,0.30086,0.31886,3,2
16,58,0.28815,0.30582,0.24194,41,15,0.28935,0.30797,0.24370,21,10,0.29082,0.31048,0.24552,7,3
17,59,0.26418,0.31509,0.24709,41,15,0.26827,0.31875,0.25089,21,11,0.27849,0.32828,0.25756,3,2
18,60,0.26084,0.25697,0.25685,35,15,0.26610,0.26302,0.26399,29,13,0.30280,0.31063,0.28720,3,2
19,61,0.25682,0.23126,0.23135,49,15,0.28478,0.24174,0.25865,13,8,0.30843,0.25831,0.28444,5,3
20,62,0.24528,0.22113,0.25789,39,15,0.26017,0.25096,0.27955,11,8,0.29732,0.28783,0.31743,3,2
21,63,0.24202,0.26766,0.25640,49,15,0.26009,0.28234,0.26090,15,9,0.27789,0.31440,0.28708,3,2
22,64,0.24034,0.22576,0.24478,45,15,0.25704,0.24896,0.25011,15,9,0.29797,0.29126,0.28718,3,2
23,65,0.23532,0.26088,0.25034,43,15,0.25548,0.28017,0.28376,15,10,0.28977,0.31460,0.33697,3,2
24,66,0.25015,0.26440,0.22570,31,14,0.25806,0.27173,0.24146,15,10,0.29146,0.31681,0.28096,3,2
25,67,0.24762,0.25317,0.27392,49,15,0.25958,0.25513,0.29018,21,10,0.29155,0.28132,0.31553,3,2
26,68,0.24447,0.24575,0.23792,47,15,0.27410,0.25240,0.27009,11,8,0.33142,0.30441,0.32022,3,2
27,69,0.23831,0.24794,0.25672,43,15,0.25987,0.25920,0.28029,7,7,0.28179,0.30853,0.31177,3,2
28,70,0.25162,0.25613,0.24139,39,15,0.26317,0.26077,0.24325,15,9,0.29748,0.29245,0.28662,3,3
29,71,0.21855,0.27602,0.25349,45,15,0.23978,0.28849,0.27903,15,9,0.27701,0.33132,0.30587,3,2
30,72,0.24283,0.29459,0.25977,47,15,0.25712,0.30230,0.27579,11,8,0.28455,0.32334,0.28950,3,2
