run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,0.25440,0.24995,0.24901,126,15,0.25580,0.25218,0.24949,111,14,0.25938,0.25714,0.25366,83,12
2,44,0.24480,0.25765,0.25205,124,15,0.29172,0.32410,0.30132,81,12,0.67254,0.67391,0.68715,70,11
3,45,0.26095,0.26321,0.30197,126,15,0.27389,0.27735,0.31331,83,12,0.30821,0.29639,0.32042,81,12
4,46,0.26892,0.28634,0.28226,124,15,0.27496,0.28464,0.29142,96,13,0.29214,0.33092,0.29229,94,13
5,47,0.25454,0.26996,0.25899,126,15,0.26867,0.27848,0.27993,70,11,0.34862,0.38046,0.37098,68,11
6,48,0.24657,0.24804,0.25251,132,15,0.25184,0.25203,0.25604,106,13,0.29177,0.30400,0.29201,72,11
7,49,0.25515,0.23991,0.23634,126,15,0.27491,0.25456,0.23263,83,12,0.31103,0.29358,0.29328,68,11
8,50,0.26402,0.28411,0.25111,138,15,0.26758,0.28709,0.25367,110,13,0.28400,0.29825,0.27883,101,12
9,51,0.25880,0.23548,0.24794,150,15,0.26899,0.24506,0.25432,109,12,0.68354,0.68594,0.69777,98,11
10,52,0.26770,0.26474,0.27936,124,15,0.27415,0.27108,0.28486,96,13,0.45618,0.42697,0.44792,83,12
11,53,0.29967,0.31592,0.35386,124,15,0.30470,0.32185,0.35942,96,13,0.31078,0.32932,0.36900,70,11
12,54,0.25311,0.22494,0.27328,128,15,0.25846,0.22704,0.28348,98,13,0.29206,0.27787,0.29896,85,12
13,55,0.22883,0.22519,0.25938,134,15,0.24361,0.24812,0.28897,100,13,0.26633,0.26473,0.29536,96,13
14,56,0.24085,0.24681,0.24217,117,15,0.24895,0.24941,0.24766,74,12,0.27609,0.26428,0.27688,72,12
15,57,0.26855,0.29001,0.27188,130,15,0.28482,0.31256,0.27519,85,12,0.38098,0.37972,0.34388,59,11
16,58,0.25798,0.24093,0.21301,112,15,0.26168,0.24389,0.22102,73,12,0.61307,0.61678,0.65150,69,10
17,59,0.24332,0.26967,0.24773,142,15,0.25686,0.27584,0.26347,101,13,0.30213,0.29202,0.31029,82,11
18,60,0.25162,0.26623,0.24798,121,15,0.26211,0.27319,0.25527,76,12,0.27793,0.28097,0.26802,59,10
19,61,0.27690,0.24919,0.25595,115,15,0.28742,0.25811,0.26511,87,13,0.29623,0.27347,0.27757,81,12
20,62,0.24831,0.30701,0.30594,126,15,0.25231,0.28468,0.29445,100,13,0.27602,0.33749,0.34355,74,11
21,63,0.24124,0.26389,0.24913,128,15,0.24682,0.26759,0.24795,98,13,0.25285,0.26590,0.25237,85,12
22,64,0.24943,0.24754,0.24443,109,15,0.26938,0.25964,0.26337,70,12,2.44685,2.37468,2.40375,68,11
23,65,0.23212,0.25761,0.27209,128,15,0.23642,0.25859,0.27327,98,13,0.25111,0.27209,0.27990,72,11
24,66,0.23772,0.27993,0.21240,128,15,0.24546,0.29299,0.22942,85,12,0.25765,0.29806,0.24151,72,11
25,67,0.26011,0.25795,0.28711,115,15,0.28153,0.27896,0.31713,87,13,0.31539,0.30655,0.33701,72,11
26,68,0.23925,0.22903,0.25139,134,15,0.24484,0.22829,0.25575,93,12,0.27825,0.27268,0.32902,91,13
27,69,0.27016,0.26686,0.26175,126,15,0.29633,0.28103,0.28307,83,12,0.49380,0.49933,0.50880,72,11
28,70,0.27622,0.28005,0.26657,113,15,0.28013,0.28211,0.27527,100,14,0.32180,0.32458,0.34061,85,13
29,71,0.27613,0.31600,0.30777,104,15,0.28359,0.33132,0.32719,76,13,0.32408,0.36419,0.37399,48,11
30,72,0.24418,0.28061,0.26920,128,15,0.24916,0.28946,0.27346,89,12,0.37401,0.39873,0.38962,76,11
