run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,0.29222,0.26935,0.28107,113,15,0.33620,0.31010,0.34156,44,9,0.57373,0.56465,0.57983,3,2
2,44,0.27356,0.30133,0.28165,130,15,0.32285,0.36096,0.32823,46,9,0.54258,0.56109,0.50848,3,2
3,45,0.25129,0.24831,0.30061,128,15,0.29813,0.29340,0.32175,29,8,0.55877,0.56572,0.59117,3,2
4,46,0.25491,0.27853,0.24785,126,15,0.30004,0.31233,0.31591,46,10,0.47840,0.51345,0.45897,5,3
5,47,0.25476,0.26705,0.28057,134,15,0.28506,0.28142,0.30923,57,10,0.54269,0.56318,0.55186,3,2
6,48,0.28046,0.28222,0.33211,128,15,0.30959,0.31949,0.35045,29,8,0.51757,0.54816,0.53014,3,2
7,49,0.26905,0.25689,0.25635,122,15,0.31548,0.32277,0.31511,29,8,0.60082,0.59199,0.62890,3,2
8,50,0.28220,0.30787,0.25787,127,15,0.31973,0.34318,0.31993,43,9,0.55166,0.55990,0.59930,7,3
9,51,0.28158,0.25574,0.30962,156,15,0.29226,0.25509,0.26650,31,9,0.51358,0.51445,0.51471,3,2
10,52,0.28597,0.28788,0.29622,111,15,0.33152,0.31595,0.33190,31,9,0.48557,0.43796,0.47702,3,2
11,53,0.24748,0.25275,0.27695,131,14,0.25791,0.26061,0.27539,41,8,0.44407,0.41428,0.45089,15,4
12,54,0.26214,0.23316,0.29148,109,14,0.29448,0.26162,0.31670,29,8,0.49330,0.46700,0.50481,3,2
13,55,0.25288,0.23902,0.29431,132,15,0.28343,0.27199,0.31063,44,9,0.53281,0.54179,0.52547,5,3
14,56,0.25662,0.27183,0.25641,132,15,0.29551,0.30385,0.30727,29,8,0.44868,0.46448,0.45808,3,2
15,57,0.26940,0.25838,0.25500,111,15,0.32129,0.31460,0.32573,18,8,0.48327,0.50545,0.53681,3,2
16,58,0.28367,0.26769,0.22928,122,15,0.33452,0.31989,0.26985,29,8,0.40798,0.39466,0.39733,3,2
17,59,0.26182,0.30743,0.29252,140,15,0.29864,0.35044,0.31142,41,8,0.46782,0.47084,0.51364,7,3
18,60,0.25290,0.27428,0.26221,124,15,0.26309,0.29022,0.26094,18,8,0.56847,0.59086,0.58785,3,2
19,61,0.27370,0.27583,0.26503,128,15,0.31702,0.30237,0.31135,42,9,0.58027,0.61320,0.58908,3,2
20,62,0.24740,0.24639,0.26979,117,15,0.28325,0.28639,0.31813,31,9,0.56911,0.56787,0.55013,3,2
21,63,0.25095,0.26869,0.26958,124,15,0.27978,0.28931,0.27742,20,8,0.43794,0.43324,0.43522,5,3
22,64,0.26943,0.28229,0.27931,124,15,0.29293,0.25763,0.28718,29,8,0.58014,0.60392,0.59905,3,2
23,65,0.25119,0.28129,0.29395,111,15,0.28389,0.32217,0.31084,42,9,0.60703,0.60773,0.61806,3,2
24,66,0.26176,0.26992,0.24759,83,12,0.27592,0.28789,0.25045,44,9,0.47030,0.47789,0.44146,3,2
25,67,0.27629,0.25444,0.28282,126,15,0.29276,0.28437,0.27718,29,8,0.52309,0.52330,0.52384,3,2
26,68,0.26151,0.24405,0.27235,128,15,0.33002,0.30934,0.34192,18,7,0.52674,0.68930,0.59911,3,2
27,69,0.28538,0.28492,0.29182,122,15,0.32578,0.33497,0.31730,55,10,0.43185,0.43199,0.43573,5,3
28,70,0.28614,0.27723,0.25527,124,15,0.30063,0.28835,0.26753,70,11,0.41475,0.43620,0.40708,3,2
29,71,0.26087,0.31313,0.28845,126,15,0.28336,0.32452,0.28742,42,9,0.51425,0.52887,0.55891,3,2
30,72,0.24477,0.27324,0.24427,124,15,0.31523,0.34665,0.32696,18,8,0.54648,0.54084,0.55255,3,2
