run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,8.05829,8.77077,9.07981,47,15,8.14460,8.87875,9.17246,27,13,8.31297,9.12834,9.40892,19,11
2,44,9.34559,9.06357,10.24457,55,15,9.44656,9.01666,10.00328,43,14,9.67788,8.72295,9.95017,35,13
3,45,10.71408,11.97854,10.14082,55,15,10.77464,11.99424,10.14496,45,15,10.92541,12.03210,10.21074,31,12
4,46,9.73106,8.24495,10.47811,49,15,10.10606,8.98163,10.94877,41,14,10.96861,10.40289,11.94904,31,12
5,47,8.24012,8.67509,8.22330,51,15,8.41484,8.79965,8.29616,35,12,8.55794,8.94993,8.37427,27,12
6,48,9.70458,10.19368,8.97986,57,15,9.74487,10.32942,9.05358,43,14,10.00255,10.86414,9.54012,35,12
7,49,10.38236,11.00387,9.78372,59,15,10.89616,11.44346,10.70313,41,14,11.84563,12.28377,12.18006,35,13
8,50,9.89440,8.56151,8.89596,61,14,9.91441,8.39777,8.76745,49,14,9.99568,8.68585,9.11388,37,12
9,51,8.95689,8.13622,8.72120,47,15,9.35007,8.50151,8.67760,37,14,10.05769,9.20896,8.96597,27,12
10,52,8.77368,8.54238,9.38648,47,15,8.99231,9.04965,9.44047,35,14,9.46486,9.30626,9.79772,29,12
11,53,10.32025,10.36263,13.02483,43,15,10.38530,10.11635,13.12285,35,14,10.44203,10.48105,13.17479,29,12
12,54,8.19401,7.77016,9.48528,49,15,8.28088,7.81398,9.49919,39,14,8.46300,7.76011,9.57059,27,12
13,55,10.28403,9.93085,9.31100,75,15,10.85720,10.33988,9.70735,49,14,11.69210,10.96431,10.42334,37,13
14,56,8.64945,11.51749,9.16163,53,15,8.84613,11.29048,9.22223,43,13,9.15472,11.61605,9.48010,37,12
15,57,10.44481,10.97053,9.96910,45,15,11.56732,11.99890,11.11001,35,13,12.12090,12.49574,11.68539,33,12
16,58,11.66022,11.09294,11.80742,65,15,12.50301,12.06603,12.64329,49,14,13.43894,12.96531,13.54569,41,13
17,59,8.71291,10.80949,10.15997,59,15,8.75731,10.76101,10.28668,37,14,8.75731,10.76101,10.28668,37,14
18,60,9.64128,12.02137,8.43610,53,15,9.86790,12.23667,9.10364,43,14,10.36660,12.68591,10.16404,31,13
19,61,9.41822,8.58619,10.21581,49,15,9.53676,8.77544,10.29532,37,13,9.64075,8.88455,10.34699,33,12
20,62,8.38199,9.67656,7.34269,47,15,8.50082,9.79556,7.20896,27,12,8.70131,9.80516,7.73447,23,11
21,63,9.80365,8.62204,10.08163,55,15,9.85379,8.59379,10.05661,41,14,9.96439,8.66644,10.29000,33,13
22,64,8.79773,11.45468,9.00126,51,15,8.84421,11.30222,9.07093,35,14,9.07973,10.98952,9.51457,27,12
23,65,8.21473,7.67683,9.45444,45,15,8.27509,7.74712,9.45392,33,13,8.38600,7.82740,9.46831,29,12
24,66,7.71278,13.79139,16.68775,45,15,7.75370,13.87197,16.71703,35,14,7.81052,13.84057,16.79303,31,13
25,67,13.67372,20.50200,19.26404,51,15,14.38199,20.94543,19.30123,35,13,14.89778,21.52970,19.49012,31,12
26,68,10.01888,8.47848,9.26141,41,15,10.11256,8.72834,9.35567,37,14,10.28102,9.08113,9.55124,31,13
27,69,9.74757,12.40068,12.74952,49,15,9.78973,12.35062,12.73587,39,14,9.90823,12.59352,12.96091,17,10
28,70,9.18276,10.34815,8.62181,49,15,9.30735,10.12034,8.87743,35,14,9.54223,10.30138,9.22227,31,13
29,71,8.19611,7.34525,9.75421,47,15,8.27860,7.53517,9.90362,39,14,8.33836,7.33563,9.92396,33,14
30,72,10.20231,8.46603,14.23355,55,15,10.36221,8.06562,14.79094,37,14,10.46490,8.49636,14.73227,33,12
