run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,7.07837,8.09572,8.91497,43,15,7.11976,8.12002,8.95626,23,10,7.17640,8.11511,9.00435,3,2
2,44,6.67514,7.25242,7.49806,39,15,6.89510,7.23659,7.26207,23,12,7.50538,7.63728,8.19647,3,2
3,45,7.78541,7.42227,7.31238,45,15,7.80389,7.43585,7.34170,27,11,7.86930,7.45028,7.42521,5,3
4,46,7.43857,7.74826,8.40427,57,15,7.48624,7.64403,8.40782,31,12,7.58520,7.46653,8.42472,3,2
5,47,7.28404,7.73276,8.37184,37,14,7.31403,7.80516,8.32439,17,10,7.36696,7.85023,8.28499,3,2
6,48,7.06744,5.84601,7.63999,51,14,7.39765,6.34953,7.17539,31,10,7.91828,6.87336,7.24811,15,4
7,49,7.81309,7.95640,6.91394,47,15,7.85471,8.01239,6.87395,15,9,7.90144,8.08199,6.82892,1,3
8,50,8.34943,7.31792,8.63515,43,13,8.37599,7.28530,8.61107,23,8,8.38940,7.27011,8.59972,15,4
9,51,7.54981,7.84344,7.80825,49,14,7.59280,7.88461,7.85903,21,10,7.63134,7.91467,7.92811,3,2
10,52,7.29656,7.23280,8.93678,43,15,7.57511,7.52634,9.50468,19,7,8.02387,8.22541,10.44324,15,5
11,53,8.11950,9.01227,6.83221,37,14,8.11956,9.01227,6.83221,19,10,8.11961,9.01226,6.83222,7,3
12,54,7.18036,8.42234,10.36907,53,15,7.18041,8.42236,10.36912,31,11,7.18047,8.42237,10.36916,3,2
13,55,7.36958,7.29195,9.05220,43,15,7.40033,7.25124,9.06594,19,10,7.43438,7.23095,9.08405,3,2
14,56,7.70169,7.37969,7.77583,37,15,7.72291,7.39607,7.81177,13,8,7.74629,7.43290,7.84887,3,2
15,57,7.77682,7.68940,7.21378,47,15,7.81301,7.71275,7.24896,19,9,7.86151,7.75238,7.26789,5,3
16,58,6.81646,7.92666,7.57574,71,15,7.09111,8.29341,7.67731,35,7,7.34609,8.38416,8.02190,31,5
17,59,7.72661,7.79393,7.41567,61,15,7.74960,7.85638,7.33684,23,11,7.78119,7.98301,7.24814,3,2
18,60,7.78077,8.11689,7.40997,55,15,7.78653,8.12865,7.40763,29,11,7.79461,8.14162,7.40814,7,3
19,61,7.62870,7.30278,9.84049,85,15,7.63425,7.31831,9.84074,53,11,7.64081,7.31690,9.84046,31,5
20,62,6.84123,9.88562,7.28144,99,15,7.00266,10.36399,7.23761,71,9,7.77765,9.53616,6.98452,61,6
21,63,7.20217,5.95554,6.79790,41,14,7.87597,6.56974,7.32885,11,8,8.07191,6.55396,7.16727,3,2
22,64,7.28123,8.99958,7.21113,47,15,7.30535,9.03295,7.22521,19,11,7.32859,9.07776,7.24580,3,2
23,65,6.69631,8.29536,9.17191,43,14,6.74965,8.40352,9.07344,21,9,7.30519,8.96822,9.35191,9,4
24,66,5.63567,9.60060,9.96298,41,15,5.74900,9.66481,10.43382,23,12,5.96179,9.45314,10.80210,3,3
25,67,6.12088,10.57497,9.67590,47,15,6.14347,10.65266,9.71088,25,11,6.19082,10.66442,9.70910,3,2
26,68,6.38783,18.50471,8.60484,43,15,6.94638,17.90481,8.87160,21,12,7.62811,7.38340,7.02840,7,7
27,69,7.19713,9.07031,7.57649,69,15,7.21353,9.10145,7.57222,41,13,7.27293,9.08260,7.53526,7,3
28,70,7.00191,8.33087,8.07212,49,13,7.10203,8.43889,7.93604,25,11,7.29385,8.70740,7.96834,3,2
29,71,7.66765,7.40321,7.99841,47,15,7.68080,7.39432,8.00667,27,12,7.71859,7.37151,8.03994,3,4
30,72,6.22633,7.07526,7.43578,37,15,6.67915,6.70448,8.26745,13,9,7.30335,7.35461,8.60995,3,2
