run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,6.91792,7.80007,8.02341,126,15,7.14547,8.00869,7.77431,100,13,7.70111,8.29302,8.98808,87,12
2,44,6.99555,9.28967,9.04466,111,15,7.13829,9.49111,9.68322,83,13,20.72054,19.01451,19.82942,74,11
3,45,6.78595,6.00604,6.78693,190,15,6.93445,5.98997,6.86504,151,12,7.45156,6.80845,8.18255,134,11
4,46,7.78955,7.33039,8.40797,106,15,8.18450,7.65305,8.56153,58,13,9.02777,6.54670,9.56938,41,12
5,47,6.88366,7.77629,8.43837,103,15,7.28354,8.12616,8.55706,56,12,16.87846,17.13259,17.55805,52,11
6,48,7.52921,6.34192,6.98699,140,15,7.70452,6.16816,6.88679,102,13,8.04099,5.94074,7.09630,95,12
7,49,7.54013,7.89902,5.11121,95,12,7.54018,7.89958,5.11260,85,12,7.99316,8.26116,4.69719,50,12
8,50,7.19712,6.29764,6.28591,148,15,7.36860,6.34678,6.13377,114,15,7.67601,6.40560,6.03373,91,12
9,51,7.26486,6.77604,7.33973,128,15,7.38867,7.15106,7.53985,94,13,7.93828,6.76259,8.05146,83,12
10,52,7.43365,7.61294,7.54140,123,15,7.56864,7.44681,7.49970,95,13,7.84851,9.57170,8.96478,84,12
11,53,7.14269,5.12631,7.24910,138,15,7.27016,5.74382,7.01549,104,13,7.75947,5.38527,7.00776,74,11
12,54,6.75295,7.73026,8.71178,126,15,6.97941,7.31042,8.98913,98,13,7.19086,7.59020,9.63470,82,11
13,55,6.40278,8.91638,6.85402,136,15,6.58207,8.91990,7.19434,100,13,6.84442,8.91112,6.70527,87,12
14,56,7.00134,6.63421,8.21770,177,15,7.20576,7.38149,8.28519,136,12,8.28036,8.42023,9.19170,106,10
15,57,7.45807,7.96430,7.65631,139,15,7.60955,8.05706,8.25563,105,13,7.82676,8.19404,8.35714,75,11
16,58,6.75311,7.88184,6.92917,123,15,6.84553,7.83685,6.91011,95,13,7.57832,8.07401,7.52101,71,11
17,59,7.02573,8.45123,7.52462,150,15,7.19299,8.54946,7.89149,103,12,7.42042,8.67290,8.22289,101,12
18,60,7.22725,8.01596,5.76353,108,15,7.68988,8.94326,6.30115,65,12,19.91037,20.25612,21.46634,57,8
19,61,6.65954,7.48341,7.96394,129,15,6.79749,7.12211,8.26869,87,13,26.55378,25.33371,25.19965,78,13
20,62,6.51276,8.49424,7.17065,89,14,7.05752,8.55580,7.28886,79,13,7.32836,8.95535,7.46554,60,12
21,63,7.29815,5.52639,6.90739,125,15,7.41349,5.89366,6.81922,91,13,8.03789,5.85540,6.95146,76,12
22,64,6.37859,9.62609,7.67611,116,15,7.05426,11.55297,8.49642,79,13,17.37875,14.82338,18.15670,77,14
23,65,6.83660,6.99873,7.88473,128,15,6.98459,6.88298,8.10839,98,13,7.36822,7.33826,8.24098,72,11
24,66,5.63307,10.39505,10.06348,119,15,5.68834,10.17972,9.65802,87,13,5.87019,10.54251,10.70580,70,11
25,67,5.80805,8.93217,8.57282,117,15,6.09338,9.48988,9.38566,74,12,6.71609,11.05929,10.64712,68,11
26,68,7.43545,6.76336,7.67436,122,15,7.62738,6.85275,8.09993,81,13,8.21623,7.83555,9.64927,67,12
27,69,7.02467,9.05457,8.08167,108,15,8.28340,10.21019,8.67503,56,12,15.92318,16.99916,18.86646,39,10
28,70,6.49472,8.17801,8.50789,119,15,6.58385,8.41390,8.52550,76,13,6.91266,8.26322,8.39849,72,11
29,71,7.16930,7.33367,8.76889,132,15,7.17671,7.23833,8.93777,87,12,7.41939,7.49484,9.81832,72,11
30,72,6.49419,6.67870,8.10941,144,15,6.77887,6.32007,8.83932,106,13,7.55161,5.39656,9.74532,74,11
