run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,6.23307,8.54326,8.46952,122,15,6.50034,8.61142,8.66409,67,12,8.55768,9.25193,9.65677,3,2
2,44,7.48491,7.80893,9.44240,135,15,8.19252,8.54945,10.23184,18,8,11.30753,9.29513,10.08477,3,2
3,45,7.83382,6.54542,8.11213,133,15,8.17066,7.03272,8.65349,46,10,11.32920,12.12452,10.51854,3,2
4,46,7.29953,7.84964,8.17186,142,15,9.16780,6.33524,9.51011,16,7,14.52039,15.01527,15.74216,3,2
5,47,7.38927,6.23899,7.78521,126,15,8.04127,7.18590,7.67612,57,10,8.94917,9.30406,8.42559,3,2
6,48,7.30933,6.21694,7.63312,129,15,8.44438,8.60372,8.81908,35,9,11.85742,13.64559,11.96210,3,2
7,49,7.82472,8.45773,5.93520,97,15,9.15277,10.21770,6.17386,20,7,16.03662,16.18870,17.52122,7,4
8,50,7.91106,6.94050,7.19225,138,15,8.78662,7.12449,8.31462,28,7,10.90392,10.49512,10.22537,3,2
9,51,7.55514,6.71801,9.89045,171,15,10.16207,8.05699,11.07719,16,7,12.70700,10.18994,13.67011,3,2
10,52,7.27457,7.51483,7.21056,125,15,8.39832,7.58851,9.12407,16,7,12.47009,13.22797,12.10036,3,2
11,53,7.90392,6.02713,7.40180,108,15,8.35971,5.67653,7.56404,65,12,10.82734,10.61919,13.45580,3,2
12,54,6.79946,6.80245,8.96479,119,15,7.75187,7.49232,8.73474,41,9,9.68121,8.67691,10.26417,5,3
13,55,6.72280,8.76486,7.12075,142,15,7.91688,9.63441,8.32984,16,7,16.31788,24.18116,18.74064,3,2
14,56,7.01554,7.47305,8.22280,102,15,8.57437,9.03366,8.74707,18,7,15.80944,15.98446,14.97727,5,3
15,57,7.66954,7.20801,7.45151,108,15,8.52682,9.07032,8.19309,20,7,16.22403,16.37254,15.87953,7,3
16,58,7.05903,8.00259,7.79467,132,15,8.68332,8.33717,8.39756,48,11,17.43516,17.27276,17.35476,5,3
17,59,7.55637,8.43234,7.67266,152,15,8.62893,9.30632,8.99269,16,7,16.37779,16.09031,18.61096,3,2
18,60,7.70050,8.07927,5.95557,127,15,9.19264,11.53890,7.24048,16,7,13.63528,15.60829,14.85511,3,2
19,61,7.56961,7.35018,8.46405,123,15,8.75193,7.82879,9.46006,20,9,11.15781,10.72978,11.55658,3,2
20,62,6.78623,8.71661,7.19231,123,15,7.51614,9.25899,7.19687,44,9,9.17428,10.08697,8.40554,5,3
21,63,8.16881,7.01301,7.05305,133,15,9.60370,8.43581,9.19895,30,11,10.78903,10.41762,11.74573,7,4
22,64,6.46435,9.55121,8.09348,136,15,8.09960,11.27495,8.67108,44,9,10.49819,10.51994,11.44243,3,2
23,65,6.77835,6.10081,7.73319,130,15,7.60961,6.94662,8.68066,63,11,8.80810,8.06004,10.07162,5,3
24,66,5.80400,10.66152,10.25091,128,15,6.88267,10.75965,11.89333,22,8,8.80988,13.33855,15.34487,3,2
25,67,6.23772,10.03994,9.04919,104,15,6.58549,10.53948,9.51077,46,11,20.55162,16.81269,16.77088,3,2
26,68,7.66819,6.46734,7.23305,125,15,8.70401,7.79778,8.83609,16,7,12.38534,12.36281,11.76638,3,2
27,69,7.23153,8.95020,7.67888,128,15,8.43095,9.85390,8.58263,29,8,10.11562,12.82623,13.15042,3,2
28,70,7.07040,9.07822,7.73515,114,15,8.32023,9.40267,7.30260,20,9,20.26604,18.11825,20.48956,3,2
29,71,7.43077,7.86372,9.59227,130,15,7.98404,8.12961,9.79417,29,8,8.92204,8.75595,10.54218,3,2
30,72,7.22568,7.02152,9.39168,126,15,7.87936,6.72081,10.08481,35,8,10.77695,8.69955,14.94567,3,2
