run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,15.64711,15.55523,17.23054,47,15,15.95882,15.87122,17.57749,39,14,16.75971,16.68299,18.43344,29,12
2,44,18.71266,18.30109,17.46895,53,15,19.01509,18.72099,17.70721,41,14,19.90904,19.67012,18.87562,33,11
3,45,22.68817,22.79052,22.90524,65,15,23.57656,23.71171,23.87215,45,14,25.48980,25.68501,25.92811,33,13
4,46,16.58867,16.89955,15.99194,45,15,16.93765,17.22092,16.37942,39,14,17.31465,17.57202,16.79304,35,13
5,47,19.61724,20.23355,18.72069,55,15,20.24025,20.88924,19.37181,41,14,21.17278,21.84862,20.34255,37,13
6,48,18.46864,19.23218,18.70256,49,15,18.86413,19.68516,19.10487,33,13,19.35338,20.28683,19.63170,23,11
7,49,22.38457,21.38110,24.33063,53,15,23.25342,22.23578,25.17575,45,14,23.82285,22.80833,25.72195,37,13
8,50,27.80210,26.47803,28.90340,59,15,27.89164,26.57440,29.04156,43,15,28.20432,27.02157,29.36824,33,12
9,51,25.20089,25.80600,22.97471,55,15,25.49462,26.06402,23.29177,39,15,26.72929,27.17371,24.61605,31,12
10,52,22.97731,21.28838,21.23243,49,15,23.68647,21.89722,21.83880,37,14,24.38173,22.50090,22.44661,33,13
11,53,21.27264,21.85926,20.58777,55,15,21.67787,22.29275,21.08156,43,14,22.09737,22.73881,21.58014,39,13
12,54,21.76317,22.81682,21.98407,67,15,22.54516,23.64138,22.73301,45,14,23.68179,24.84426,23.80674,37,13
13,55,26.19805,26.88816,24.42176,63,15,26.91420,27.62387,25.15668,47,14,27.72339,28.43975,25.97574,39,13
14,56,22.32739,22.62519,22.10840,59,15,22.97002,23.27549,22.72288,41,14,24.20081,24.51867,23.90639,33,12
15,57,27.82656,27.45473,28.75741,57,15,28.74712,28.37424,29.66968,45,14,30.16915,29.86205,31.13340,33,13
16,58,23.73271,23.39569,23.11502,61,15,24.06133,23.79070,23.61384,43,14,24.51813,24.35426,24.34182,35,12
17,59,22.35961,23.16527,20.69381,45,15,22.95732,23.69522,21.28568,39,14,24.08885,24.71223,22.41265,31,12
18,60,26.81428,23.64047,27.53152,51,15,27.23543,24.07169,27.99901,43,15,27.91483,24.65577,28.68902,37,13
19,61,22.20132,22.30684,24.96843,53,15,22.42951,22.39220,25.15211,41,14,22.58799,22.59674,25.32586,35,13
20,62,23.51050,24.55473,23.57462,47,15,23.79552,24.91476,23.96837,37,14,24.07937,25.24517,24.28554,31,13
21,63,24.29536,24.69607,23.50353,61,15,24.54992,24.92555,23.74385,43,15,26.03953,26.36596,25.10769,29,13
22,64,17.33255,18.92847,18.03026,69,15,17.53646,19.15454,18.24476,47,15,18.22486,19.84320,18.92994,35,13
23,65,16.05028,16.73237,16.54848,49,15,16.17123,16.90422,16.68660,35,13,16.70901,17.68332,17.29608,25,11
24,66,16.79436,16.86270,15.71091,53,15,17.37144,17.32379,16.24761,45,14,18.26196,18.05801,17.12479,39,13
25,67,24.08762,22.82347,21.90007,51,15,24.70253,23.44976,22.43101,37,14,25.68726,24.49435,23.39040,27,12
26,68,28.39576,26.05692,28.78000,67,15,28.60309,26.08899,29.02253,45,14,28.90262,26.43828,29.33806,25,13
27,69,24.63258,21.50433,22.56638,55,15,24.83682,21.71506,22.86224,45,14,25.16452,22.06096,23.30931,37,12
28,70,18.79542,17.45702,16.73950,61,15,19.00906,17.77264,17.07965,43,14,19.56059,18.34295,17.70369,23,12
29,71,21.11567,20.92930,22.46818,41,15,21.52040,21.38610,22.88486,35,14,22.40650,22.35719,23.79915,27,12
30,72,27.45138,28.19010,19.35328,51,15,27.81243,28.63517,20.20128,39,13,28.01928,28.85078,20.46670,35,13
