run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,13.19129,13.48897,12.68961,49,15,13.23950,13.52393,12.72859,29,13,13.41900,13.65736,12.89359,3,2
2,44,7.90227,7.07256,7.14631,63,15,8.56550,7.91497,8.13198,13,9,13.91245,13.90898,12.32726,3,2
3,45,8.86148,11.97379,7.95746,61,15,12.01889,14.96914,10.10879,41,8,13.79095,18.54451,12.23439,31,5
4,46,13.11981,13.67038,12.88055,41,15,13.18829,13.71651,12.92446,23,11,13.28862,13.80076,13.00091,5,3
5,47,9.23008,10.19378,8.86741,67,15,9.53254,10.46412,8.69725,49,11,14.05538,14.65474,13.53756,3,2
6,48,8.91520,9.66825,8.94437,47,15,10.97872,11.18189,11.01675,13,8,13.78963,14.32454,13.55074,5,3
7,49,13.41232,13.28597,15.68254,69,15,13.41233,13.28599,15.68255,61,14,13.41263,13.28631,15.68290,23,5
8,50,8.57464,9.66225,9.66998,39,14,9.82553,11.17911,10.99592,17,9,14.05549,13.71692,13.25668,3,2
9,51,9.06227,8.00327,8.09959,51,15,11.59042,10.71112,10.41284,23,8,13.93292,12.38661,12.81970,15,4
10,52,13.39819,12.59764,13.01509,51,15,13.45868,12.65600,13.08857,27,12,13.62974,12.79911,13.27928,3,2
11,53,13.04180,12.69204,12.87552,43,15,13.09972,12.74946,12.93782,19,9,13.15061,12.79822,12.99208,5,3
12,54,7.67115,7.14707,8.23313,37,13,9.60263,9.77763,10.39253,11,8,13.08647,13.41844,14.10324,3,2
13,55,7.29187,7.54623,6.57952,53,15,10.39731,10.28896,9.90471,19,11,13.83006,13.97627,12.55198,3,2
14,56,9.72303,9.59310,10.34523,71,15,11.99444,13.10638,12.51278,27,10,13.13475,13.77769,13.61586,5,3
15,57,13.97152,13.17307,13.66119,45,15,14.01589,13.21986,13.72210,25,11,14.06262,13.26681,13.77820,7,4
16,58,9.78159,8.80295,9.21138,45,14,11.32845,10.46970,10.72860,15,8,13.76733,12.88495,13.81189,7,3
17,59,10.45386,10.55044,10.88121,53,15,11.28799,11.33198,11.80480,23,10,13.73503,13.98194,12.74535,15,4
18,60,7.64335,7.48400,7.89724,45,15,9.39684,8.32441,9.20094,13,8,14.06548,12.89287,12.92503,3,2
19,61,8.51622,8.88376,8.94880,53,15,8.88672,9.12063,9.09730,23,11,13.69029,13.23439,14.82355,3,2
20,62,13.24283,14.39137,14.64237,49,15,13.26627,14.41905,14.67127,21,11,13.30830,14.47065,14.72168,3,2
21,63,11.19667,11.44804,11.58761,49,15,11.32969,11.56869,11.73504,21,8,11.40019,11.63313,11.80568,13,4
22,64,12.71144,13.80476,14.05598,51,15,12.74450,13.84522,14.08606,37,12,12.85890,13.97546,14.19490,3,2
23,65,12.71528,14.08200,15.08675,41,15,12.72854,14.09453,15.08677,29,12,12.78756,14.15541,15.09561,5,3
24,66,8.49695,9.50641,8.63465,39,15,9.29094,10.13480,9.16820,25,12,14.28572,14.98802,13.88785,9,7
25,67,12.27167,12.53427,12.76711,51,15,12.33469,12.60896,12.83973,27,12,12.50456,12.81383,13.01243,7,3
26,68,7.87948,8.05342,8.48285,41,14,8.65478,8.56582,8.69879,25,11,11.25080,10.77294,10.87740,7,7
27,69,12.88490,13.14412,11.85566,53,15,12.89175,13.15123,11.85868,33,13,12.90732,13.17140,11.86812,7,3
28,70,8.98461,9.36266,8.72336,43,15,9.84414,9.74871,9.59366,21,10,14.04304,13.47959,12.00162,5,3
29,71,8.09684,7.44786,7.80216,37,15,8.79299,8.04614,8.51551,19,11,13.35106,13.75335,14.27216,3,2
30,72,9.46353,9.32955,9.75286,71,14,10.05294,9.89648,10.39962,57,12,13.77880,14.15872,13.63378,3,2
