run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,8.88494,8.45568,9.49791,112,15,9.53796,9.17014,10.06080,97,14,10.67982,10.30472,11.09398,69,12
2,44,9.33654,8.72270,7.98457,167,15,10.17495,9.82395,8.93902,131,13,11.31161,11.00598,9.92698,108,12
3,45,8.73523,8.22756,7.59784,124,15,9.67903,9.30060,8.80938,68,11,11.13563,9.69987,9.55294,42,9
4,46,8.66069,8.46286,7.61445,124,15,9.47502,9.12510,8.34036,98,13,12.82717,12.43652,11.99960,61,10
5,47,7.92545,8.57333,7.90795,140,15,9.11522,9.52664,8.36601,85,12,10.60330,11.12478,10.15204,68,11
6,48,8.33305,8.54998,8.20381,124,15,8.95650,9.22287,9.16973,96,13,12.88659,13.53711,13.24364,83,12
7,49,7.65572,7.38149,8.10831,136,15,8.32644,8.43025,9.03282,87,12,12.69517,13.05242,14.57450,42,9
8,50,7.83863,8.49850,7.83094,132,15,8.13407,8.84500,8.13059,102,13,9.54718,10.22298,9.24346,89,12
9,51,8.46824,8.30958,7.78174,127,15,9.15425,8.98011,8.51952,97,13,10.90683,9.69438,9.66596,84,12
10,52,8.57669,9.61122,9.39608,92,15,13.24404,13.62648,13.95425,47,12,34.67046,32.18745,32.32876,22,7
11,53,9.15791,9.08038,8.21951,120,15,10.64217,10.84305,9.57611,94,13,11.67518,12.06042,10.76494,81,12
12,54,8.14221,8.16312,8.64315,130,15,8.53955,8.82532,9.01595,102,13,10.86344,11.26270,11.62087,78,11
13,55,9.33226,10.03154,9.66045,138,15,10.19476,10.95766,10.33688,102,13,39.27816,39.86709,37.17300,97,13
14,56,8.16252,9.00468,8.75747,144,15,8.37189,9.55433,9.15856,106,13,11.68452,12.94342,12.48951,93,12
15,57,8.18672,8.08356,8.08945,88,15,9.38824,9.14885,9.40033,60,13,13.70639,12.33672,13.02085,33,9
16,58,9.22655,8.70659,9.39754,144,15,9.52135,9.02177,9.55388,119,14,10.21245,10.03491,9.90047,95,12
17,59,8.97697,8.68390,8.22511,120,15,10.82881,10.92045,9.70111,73,13,15.16980,15.16904,14.49619,42,9
18,60,7.69602,8.07516,8.12004,112,15,8.96289,9.19866,9.90932,84,13,10.15804,10.76915,10.50309,67,12
19,61,8.49721,8.39948,8.64669,136,15,8.64576,8.39724,9.02450,108,13,9.69322,9.42792,10.08727,87,12
20,62,8.81276,8.74006,8.70580,119,15,9.76442,9.33252,9.70549,85,13,13.66886,14.64424,14.54710,57,11
21,63,8.70003,9.58822,8.84994,130,15,9.69196,10.42515,10.45770,96,13,12.23816,13.24554,12.60093,85,12
22,64,9.45858,9.91809,9.88166,124,15,12.12371,13.12766,12.61628,63,12,41.96178,43.02101,42.57069,57,10
23,65,8.16484,8.21529,8.35416,132,15,8.80417,9.03599,9.07934,106,13,9.29252,9.45675,9.32639,91,12
24,66,8.48331,9.31114,8.52012,128,15,9.75903,10.49946,9.75495,98,13,11.57644,12.30560,11.56205,72,11
25,67,9.81335,9.69622,10.91928,128,15,10.89207,10.64700,11.95093,102,13,12.27937,11.81600,13.06627,83,12
26,68,9.57400,8.88023,9.75010,116,15,10.57605,9.59806,10.63660,87,13,13.26816,12.28288,13.56879,61,11
27,69,9.22007,9.19251,8.56469,125,15,9.64540,9.43048,9.13934,102,14,40.21452,40.92363,38.78479,76,11
28,70,9.80885,9.47998,8.86811,140,15,10.99090,10.39708,9.44218,104,13,12.54172,12.72196,11.72593,76,12
29,71,8.28830,7.41835,8.34061,126,15,9.04032,8.06663,9.21996,98,13,9.87514,9.19094,9.11224,83,12
30,72,8.20391,8.17210,7.23974,134,15,14.46254,14.81701,14.10692,89,12,38.95085,40.76638,38.74011,61,9
