run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,9.51265,9.27680,10.69647,101,15,11.74155,11.25121,13.12409,37,11,19.85569,19.80674,21.60547,5,3
2,44,10.43513,9.50057,9.53547,120,15,12.99467,12.60831,12.75748,42,9,21.78621,21.79342,20.90090,7,4
3,45,9.20967,8.82907,8.01951,124,15,13.78897,12.45228,12.10790,16,7,29.29908,29.59333,29.95013,3,2
4,46,8.64469,8.15508,7.64573,131,15,13.24540,12.30605,13.00214,22,8,20.99060,21.14658,20.68789,7,3
5,47,8.07358,7.84619,7.70064,147,15,14.23573,13.55824,13.11414,16,7,25.18919,25.97099,24.48556,3,2
6,48,11.29440,10.73817,11.44260,116,15,14.45051,13.70109,13.78063,50,11,20.77577,22.01833,21.17377,3,2
7,49,8.98843,9.09446,9.67165,115,15,14.80383,14.37355,16.76575,31,8,27.76524,28.36946,28.65281,3,2
8,50,9.92875,10.79318,10.22734,125,15,14.25698,14.94942,12.82082,18,8,28.89945,27.50614,30.17401,3,2
9,51,9.43652,9.69275,8.80493,119,15,14.28615,13.50834,13.22105,33,9,30.32718,30.49306,28.43233,3,2
10,52,10.15366,11.29916,9.91250,88,15,14.96443,16.58121,16.18581,16,7,29.38612,27.01822,27.00642,3,2
11,53,9.44824,9.58574,8.80770,119,15,15.14746,15.77898,13.49971,31,9,25.83542,26.59165,25.83499,3,2
12,54,9.27633,9.15248,9.95725,132,15,13.96559,13.81703,15.15676,18,7,28.11673,29.41800,28.11514,5,3
13,55,9.41078,9.56808,8.82689,123,15,15.51379,15.68147,14.17223,20,7,33.37590,34.09812,31.68160,7,4
14,56,9.01223,9.89725,9.54742,115,15,12.82821,12.95495,13.71723,31,9,28.47140,28.81963,28.06299,3,2
15,57,8.59366,8.23550,8.55816,122,15,15.86279,14.80775,16.10823,18,8,34.75281,34.54184,35.75723,3,2
16,58,9.41648,8.68758,9.49933,119,15,16.16069,16.15333,15.33484,39,12,26.11480,26.03836,26.34202,3,2
17,59,8.66722,8.59934,8.34549,171,15,16.03136,16.27375,14.25209,33,8,27.98935,28.31409,26.33183,7,4
18,60,8.50683,8.44920,8.34664,134,15,13.43144,14.17516,12.93431,29,8,38.85003,36.26498,38.60424,3,2
19,61,8.85025,8.47945,9.36794,119,15,13.57186,12.90850,14.13164,31,9,38.64434,38.26339,39.91642,3,2
20,62,8.96500,8.14731,8.72620,110,15,15.17494,15.55307,15.35453,37,10,25.73897,27.12793,26.35220,3,2
21,63,8.57803,9.50734,8.47781,127,15,15.43686,16.04089,16.49100,16,7,31.09129,31.30098,29.83762,3,2
22,64,8.40655,8.77582,8.26421,124,15,13.34608,14.26404,13.21917,16,7,21.86401,23.39231,22.49899,3,2
23,65,8.60421,8.71941,9.04093,136,15,11.35310,12.53319,11.86371,60,10,17.56417,18.76740,18.21874,3,2
24,66,9.80801,10.46541,9.27985,86,15,11.60902,13.00562,11.63632,33,8,21.94026,21.32970,20.66737,7,3
25,67,10.44033,9.86780,10.64210,162,15,14.56492,14.91778,15.12978,44,7,28.29938,27.02048,24.88253,5,3
26,68,9.31763,8.90464,9.86525,119,15,11.77096,10.44780,10.88012,57,11,29.23333,27.01624,29.64716,3,2
27,69,10.20139,10.13856,10.47899,123,15,11.37351,11.85062,11.26014,59,11,27.04121,23.93992,25.51558,3,2
28,70,9.53170,9.50999,9.14643,124,15,10.74052,10.79682,10.00906,42,9,21.51742,20.77807,20.18186,3,2
29,71,8.92842,8.88593,8.81234,121,15,14.76237,14.78313,15.42416,33,9,25.66323,25.80130,27.11933,3,2
30,72,9.45210,9.31900,8.78487,134,15,14.18851,15.00966,13.58250,16,7,30.15976,31.19857,23.90825,3,2
