run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,140.45224,146.64195,147.71898,95,15,141.28056,147.48375,148.54877,87,14,142.73314,148.96916,150.01465,77,12
2,44,154.81903,156.68098,167.93901,53,15,155.53658,157.37697,168.61476,41,14,156.60963,158.47182,169.80791,31,12
3,45,167.12660,146.94003,155.60889,57,15,168.47720,148.32451,156.98422,35,13,169.42004,149.25597,157.92075,29,12
4,46,102.97507,102.50115,113.47153,51,15,103.46646,103.00168,113.97781,37,13,104.56368,104.09106,115.12357,27,12
5,47,153.32770,152.28600,144.29869,53,15,154.03839,152.90019,145.01245,37,13,155.94389,154.83356,146.84875,23,11
6,48,157.21141,168.71713,165.46777,47,15,158.41048,169.89941,166.64151,33,13,159.50867,170.98508,167.72092,25,11
7,49,157.16008,157.75783,156.61491,79,15,158.56702,159.15115,158.03737,61,13,159.06985,159.64325,158.53871,57,12
8,50,160.41898,158.20364,151.38269,53,15,161.06941,158.87256,152.03448,47,14,162.53976,160.38338,153.53421,39,12
9,51,155.13751,167.47211,164.57339,75,15,156.56827,168.95659,166.03201,61,13,157.54306,169.95680,167.02924,53,11
10,52,154.06451,156.58269,166.62833,47,15,154.99522,157.50415,167.55759,33,14,156.02670,158.52153,168.58780,25,11
11,53,142.24297,144.40082,164.61761,51,15,143.23172,145.38472,165.60762,35,13,143.85150,146.01866,166.25154,33,13
12,54,160.15160,165.00511,156.89511,49,15,161.11426,165.96733,157.85172,33,14,163.00702,167.83533,159.71085,23,12
13,55,156.30438,161.72015,167.17200,41,15,157.52454,162.95441,168.40721,33,13,158.95442,164.40984,169.87418,25,11
14,56,94.08491,86.02288,80.76779,67,15,94.48592,86.37384,81.15983,51,14,94.94458,86.77537,81.59121,41,13
15,57,159.95555,159.40878,151.59918,117,15,160.69830,160.13879,152.30290,109,14,161.72360,161.17157,153.30988,95,12
16,58,146.42342,142.30081,133.98888,39,15,147.25072,143.12596,134.79349,29,13,148.17438,144.05113,135.68898,21,12
17,59,155.39558,164.73689,160.13106,59,15,156.61925,165.95659,161.37383,45,13,157.92784,167.26932,162.68935,41,11
18,60,158.12930,154.46872,156.37781,65,15,158.87802,155.21248,157.11269,51,14,159.56183,155.86163,157.77112,47,14
19,61,157.41205,152.96899,167.19919,51,15,157.94374,153.47861,167.71762,45,14,159.21039,154.71184,168.98039,31,13
20,62,158.16760,163.76880,167.26176,47,15,158.75963,164.36249,167.86670,39,14,159.71959,165.30132,168.83066,29,12
21,63,155.33792,160.97667,163.84843,149,15,155.77986,161.43021,164.28081,119,15,157.77267,163.48174,166.28378,103,11
22,64,159.57417,146.51802,179.94106,59,15,160.02223,146.98642,180.41980,45,15,161.34416,148.35065,181.78030,27,11
23,65,153.64943,148.79756,146.48581,61,15,154.18111,149.33600,146.99316,49,14,154.85429,150.01810,147.65965,41,13
24,66,160.04269,146.26683,150.79980,43,15,160.90605,147.11836,151.63507,35,14,161.73482,147.93578,152.46368,25,13
25,67,156.08565,177.19507,156.98746,57,15,157.38875,178.49762,158.29916,41,14,158.25395,179.36578,159.16933,29,12
26,68,159.46089,148.65005,160.06392,35,15,160.31367,149.50572,160.89192,29,13,160.55197,149.74904,161.14134,25,12
27,69,150.56969,157.51314,148.85982,57,15,151.43359,158.35091,149.71883,45,14,152.72964,159.62115,151.02235,35,12
28,70,159.12299,168.66809,156.57307,41,15,160.35437,169.87541,157.80826,31,13,161.35498,170.87074,158.81100,25,12
29,71,164.57982,143.01614,152.42381,47,15,165.23587,143.66364,153.06677,39,14,166.38823,144.82233,154.19220,29,13
30,72,155.60123,158.34425,166.97783,47,15,156.43509,159.15837,167.82344,35,13,157.46516,160.26453,168.84633,29,12
