run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,55.78612,57.05704,59.78035,47,15,57.05051,58.09777,60.67071,11,9,61.39699,65.04842,68.08610,3,2
2,44,56.96246,57.47743,55.60187,53,15,59.12052,57.69127,56.48696,21,8,62.28169,60.50798,58.43222,15,4
3,45,57.74640,53.13285,59.67116,21,10,58.28896,54.06123,59.66028,9,7,62.77625,62.54177,62.07659,5,3
4,46,54.86788,55.60012,56.51246,41,15,56.86181,56.24060,55.30069,9,8,60.37009,61.99113,60.57012,3,2
5,47,53.27026,64.01178,60.15866,45,15,55.89925,65.50790,60.14520,15,9,59.30383,68.69913,64.22395,5,3
6,48,51.50721,57.90442,56.23589,35,12,53.05546,55.44731,59.04106,15,9,55.43242,56.88089,60.59357,3,2
7,49,53.00953,55.90487,55.90279,33,13,55.70323,58.26135,61.19753,13,9,60.17857,64.47553,66.72079,3,2
8,50,56.45371,60.94467,56.71873,39,15,59.81121,62.32959,56.65870,11,8,65.06717,64.41666,57.84706,3,2
9,51,50.63453,60.68472,64.57790,39,15,50.89770,61.65145,64.90251,23,11,54.15455,59.57771,62.12087,3,2
10,52,52.28448,64.56641,60.08881,47,15,54.21703,65.12195,62.00442,29,11,57.13156,68.39556,66.33536,5,3
11,53,53.69362,52.11663,63.17554,55,15,57.44301,55.84547,61.14310,17,9,60.18119,61.24341,67.00211,7,3
12,54,52.56399,61.69760,60.36438,55,15,55.08630,67.21352,73.04984,29,10,59.02843,65.88012,65.02076,13,4
13,55,51.97253,64.14988,56.09362,41,15,53.65636,68.29771,60.02784,23,11,59.85600,65.80663,61.82893,3,2
14,56,57.82471,52.26595,50.42721,51,15,60.67397,52.20274,48.80790,15,8,63.02232,53.78834,50.43770,7,3
15,57,55.34190,55.53766,61.31170,49,15,56.66985,56.76685,63.18774,19,10,60.84804,60.27484,67.17277,3,2
16,58,57.22140,57.57191,54.47498,39,15,59.48130,60.65496,56.54393,15,10,61.34488,63.06769,60.06154,3,2
17,59,57.97824,64.62909,64.45905,49,15,60.18024,56.77611,63.05396,15,9,62.52143,57.78402,61.91273,3,2
18,60,57.66803,50.48358,54.27030,39,14,59.69659,52.07926,56.02964,9,8,63.08443,57.77678,60.58427,3,2
19,61,54.05246,49.82626,65.74074,45,15,55.17674,51.71365,64.39737,17,10,61.32145,56.75634,70.86714,3,2
20,62,55.29126,61.83570,56.15963,33,15,56.46917,63.17266,57.56030,23,12,60.10188,67.80786,61.60329,3,2
21,63,54.30475,63.38380,59.92666,51,15,56.06675,60.38516,58.65678,21,12,60.90866,66.34941,69.10567,3,2
22,64,54.20811,73.87443,61.79353,43,15,57.85355,58.90676,66.57003,7,7,60.24713,60.50682,70.44870,3,2
23,65,55.59386,56.95747,53.60881,45,15,57.36107,57.62571,56.56842,19,9,58.89867,59.56403,57.00390,7,3
24,66,55.09212,58.91912,57.15859,47,15,55.68650,60.36536,57.70629,33,12,62.52957,59.17952,60.79488,3,2
25,67,53.27045,64.73958,53.09064,37,14,54.27320,61.17667,55.21039,11,8,55.33783,61.17012,56.69633,3,2
26,68,52.52808,56.95200,61.87878,47,15,54.06361,56.47683,61.66575,17,9,55.97293,57.20864,62.22306,5,3
27,69,54.26654,55.48717,60.86663,47,15,57.81036,55.37778,60.61030,13,8,62.36930,58.38910,67.33935,7,4
28,70,57.17633,61.11371,50.45414,45,15,59.69328,64.79333,51.56325,19,9,63.19218,64.24167,58.17923,3,2
29,71,56.49801,53.32005,59.48993,37,14,60.10212,55.81620,62.38544,7,7,64.48658,58.10324,65.95481,3,2
30,72,52.76479,49.80992,59.55317,41,14,55.99582,50.42371,58.71878,11,8,57.83352,51.17172,58.41856,3,2
