run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,66.47366,69.82074,73.36496,192,15,67.73649,70.31944,74.57544,162,13,68.94116,71.91261,76.02750,153,12
2,44,67.34106,70.03830,66.95196,114,15,70.16808,69.48756,68.27052,82,13,73.98685,71.89788,72.11819,63,12
3,45,69.99429,67.06624,67.65490,148,15,71.67899,65.45641,66.25750,102,13,76.58061,72.14375,72.90749,84,12
4,46,66.30695,71.02876,74.43479,138,15,68.01431,69.23119,73.64427,102,13,70.07520,71.55007,76.27154,91,12
5,47,66.30995,72.25497,71.16994,134,15,69.62572,72.98967,73.72572,74,11,73.38538,76.70868,77.98277,72,11
6,48,63.25193,71.87414,72.56878,156,15,65.26618,72.20967,75.04865,113,12,66.29423,73.72368,76.20890,100,11
7,49,64.22215,67.30759,69.09398,121,15,66.35931,68.18062,70.25536,93,13,71.14175,72.42882,75.30740,74,12
8,50,67.74017,65.84060,62.69501,130,15,68.25436,66.24731,64.47532,115,14,124.57754,125.49054,119.16574,89,12
9,51,70.45462,78.68504,72.43095,136,15,72.52159,75.69730,74.69218,93,13,74.26093,79.27551,76.55990,78,12
10,52,64.76725,72.16061,72.16138,150,15,66.99280,73.12896,74.69891,109,12,69.56564,74.35928,75.37800,99,12
11,53,66.28939,67.45940,77.29632,131,15,68.89753,69.96181,78.77703,76,13,124.40708,126.77215,146.96381,69,12
12,54,66.96273,72.05479,69.60112,168,15,67.87700,72.58900,70.09571,155,14,69.86324,73.96590,71.95128,136,11
13,55,65.08058,68.35357,71.92544,149,15,71.34571,73.57104,71.99352,73,11,95.14399,99.75912,107.38110,65,12
14,56,70.77576,64.67506,62.74092,162,15,72.27435,66.47793,65.48504,136,14,75.56485,71.32668,66.31909,117,12
15,57,70.02964,69.70319,72.22956,140,15,71.40212,70.67881,73.42601,108,13,74.92822,73.34583,76.37256,91,13
16,58,70.70108,71.00076,68.41863,106,15,74.22356,74.34593,73.13431,72,13,77.11857,75.98791,76.22418,47,9
17,59,63.87825,68.64594,65.78610,142,15,72.71993,75.65820,72.59709,91,13,160.12956,170.00243,166.41463,86,13
18,60,69.39880,68.60883,72.50285,134,15,70.06136,69.32375,72.91425,102,13,71.72067,71.68557,75.20105,95,12
19,61,64.37804,70.16404,75.98657,132,15,66.19647,71.98830,78.76923,102,13,68.46635,71.48975,78.96548,87,12
20,62,65.40393,69.80051,62.90162,132,15,66.73343,71.75595,64.85582,104,13,69.64941,77.56106,72.16004,74,11
21,63,68.37730,67.33372,70.44630,112,15,75.50971,74.55817,78.69408,46,11,94.19510,99.45152,100.42390,44,9
22,64,70.68656,64.76598,78.70178,121,15,72.20778,64.34317,75.89043,80,12,78.52294,67.76968,86.78246,37,11
23,65,67.37058,64.12634,66.91451,134,15,71.33646,67.23707,69.73136,96,13,90.39049,86.06557,86.43923,91,14
24,66,70.88196,69.06828,65.71603,129,15,72.10438,70.17496,66.43600,97,13,75.51710,73.59037,70.25957,65,11
25,67,67.15712,82.66553,70.84772,127,15,69.25561,81.08514,69.35159,91,13,71.91762,82.85258,72.62114,74,12
26,68,69.60310,66.05721,76.49192,117,15,71.46114,67.56457,78.32327,91,13,99.36967,93.56245,103.23386,72,12
27,69,64.33060,72.58008,65.09174,127,15,65.32247,72.10145,64.92696,95,13,71.87132,81.44985,74.13763,78,11
28,70,65.09151,70.16136,60.63241,117,14,69.56168,77.59457,66.78283,85,12,71.62119,80.01511,70.24423,70,11
29,71,66.91384,59.44291,69.12004,130,15,69.90605,61.93299,71.55833,89,12,73.88792,67.23643,75.08603,74,11
30,72,69.52068,66.50387,75.15684,106,15,73.61105,68.93552,77.62121,65,12,89.92236,89.31340,98.65487,55,10
