run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,69.91246,76.70576,79.89479,186,15,82.02139,84.86585,87.53988,76,7,145.70796,152.00589,153.01025,63,6
2,44,73.56169,73.15900,71.32893,89,15,87.59451,87.56195,94.03072,16,7,160.32477,162.19562,173.56538,3,2
3,45,71.70209,72.19077,69.91742,140,15,79.14784,73.49826,73.30727,29,8,172.15707,151.98135,160.67639,3,2
4,46,70.67300,72.59166,74.95751,124,15,75.80797,76.75282,80.95210,18,7,106.89182,106.37926,117.53075,5,3
5,47,69.67845,73.86622,72.36938,128,15,85.72555,86.06838,82.66091,16,7,158.41238,157.29904,149.23216,3,2
6,48,65.59685,74.92953,75.76868,168,15,73.09952,83.22761,82.85928,31,8,162.08443,173.53053,170.23164,5,3
7,49,67.84639,71.52451,74.13243,144,15,89.64314,92.25297,89.68389,44,7,162.47951,163.00194,161.93233,31,5
8,50,72.71320,69.94750,68.11262,133,15,80.38493,73.76537,72.45535,41,8,166.68184,164.60240,157.70334,15,4
9,51,67.61034,70.11588,70.27290,166,15,77.00938,78.05196,76.67298,57,8,160.42169,172.91115,169.96141,31,5
10,52,68.30479,72.35109,75.01357,113,15,85.00821,88.16470,95.96429,16,7,158.58336,161.05557,171.16208,3,2
11,53,69.52110,70.99335,80.98566,91,15,78.97915,81.39417,97.41955,16,7,147.79114,149.95457,170.19942,3,2
12,54,71.58069,77.44756,77.51907,125,15,76.48640,78.51360,76.98951,31,8,165.73822,170.55789,162.41896,5,3
13,55,68.56033,72.29004,72.76099,125,15,77.51537,76.53899,78.89771,33,8,162.71622,168.21320,173.70827,7,3
14,56,73.79692,73.10313,68.43443,94,15,80.05255,77.39769,69.95783,28,7,97.55595,89.09071,84.16174,15,4
15,57,72.08762,69.71410,73.46071,95,15,91.86051,90.69761,87.64761,48,12,170.89500,170.37071,163.00552,16,7
16,58,71.50363,73.26698,73.77352,126,15,83.31582,80.48058,77.60535,16,7,151.88101,147.74776,139.31602,3,2
17,59,65.60329,74.61218,68.30852,154,15,76.77631,84.48563,75.81890,45,10,161.53346,170.84294,166.32587,15,4
18,60,71.49819,70.09492,73.23556,127,15,88.34218,86.35117,89.86757,28,7,163.63866,159.91635,161.77115,15,4
19,61,69.48696,73.82346,79.07304,134,15,86.38393,85.42238,96.97098,16,7,161.42912,156.89497,171.17070,3,2
20,62,68.94083,79.31915,76.94913,136,15,88.38403,96.72480,95.95932,44,7,164.89812,170.39424,174.06973,31,5
21,63,72.33861,70.43044,77.10427,187,15,87.37952,89.20263,94.13785,76,7,160.90836,166.69087,169.45312,63,6
22,64,72.96648,65.52061,79.35876,139,15,89.63020,76.54570,103.77605,20,7,164.18961,151.25293,184.72200,7,3
23,65,73.88396,69.60063,74.31377,146,15,87.58569,81.61877,83.14941,28,7,159.11728,154.35187,151.87985,15,4
24,66,72.31365,75.39240,69.02948,123,15,78.59300,76.31569,72.83829,29,8,166.14708,152.27849,156.91493,3,2
25,67,67.14689,76.34033,70.19308,134,15,74.80685,86.53840,74.81868,29,8,161.46359,182.57140,162.39896,3,2
26,68,70.91763,70.66585,79.62336,97,15,89.59642,79.64830,92.30446,16,7,164.51479,153.74341,165.04028,3,2
27,69,66.81498,74.33223,69.41506,127,15,83.44665,93.69123,82.96796,16,7,156.23447,163.04169,154.51405,3,2
28,70,69.32289,74.96579,67.26804,59,10,89.74264,102.04732,87.55294,18,7,164.62273,174.09639,162.05011,5,3
29,71,73.49097,65.90897,73.63201,134,15,78.48732,71.18229,79.36466,29,8,170.79794,149.23695,158.52785,3,2
30,72,69.62198,66.40726,75.08597,142,15,77.14848,74.00726,80.12380,29,8,161.40054,164.20702,172.84431,3,2
