run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,6.66600,6.44757,7.11651,49,15,6.94602,6.65698,7.40971,33,13,6.94602,6.65698,7.40971,33,13
2,44,9.19287,8.79245,9.18741,45,15,9.40837,9.03193,9.30754,39,14,9.74663,9.39451,9.60038,31,12
3,45,9.66996,9.86994,10.20826,51,15,10.13047,10.30780,10.67631,37,13,10.75133,10.91427,11.29513,29,13
4,46,8.29161,7.58041,8.44947,57,15,8.62827,7.86490,8.74229,35,14,8.81394,7.88876,8.91164,35,15
5,47,7.25500,7.21798,6.79085,49,15,7.40547,7.34712,6.95151,41,14,7.60133,7.59927,7.15953,35,14
6,48,3.68922,3.87865,4.02597,57,15,3.75474,3.96039,4.08771,41,13,3.90319,4.06734,4.10152,29,10
7,49,8.67146,8.84093,8.96402,45,15,9.38206,9.60703,9.70569,39,14,10.91749,11.22717,11.28547,27,12
8,50,3.95926,3.48350,3.59757,41,15,4.04888,3.64295,3.62649,21,11,4.24665,3.90396,3.71592,17,9
9,51,9.52605,10.24868,9.50604,47,15,9.98218,10.75640,10.08916,37,13,10.24150,11.04893,10.41224,35,12
10,52,8.58083,9.31784,8.50227,51,15,9.32463,10.06158,9.24065,43,14,10.10668,10.83913,10.01680,37,13
11,53,5.40056,5.49971,5.69051,45,15,5.73380,5.89424,6.03427,37,14,6.72252,6.97624,7.01578,31,12
12,54,5.94326,6.27414,6.37599,63,15,6.04509,6.32642,6.35470,49,14,6.14812,6.56198,6.43799,39,12
13,55,11.26925,11.33174,11.28735,67,15,11.54058,11.61451,11.54813,55,14,12.00960,12.22715,12.15021,45,12
14,56,8.92811,8.66730,8.69156,63,15,9.69503,9.48473,9.44730,43,14,10.87247,10.72300,10.61454,41,13
15,57,7.51086,7.66381,6.83169,65,15,7.54292,7.69361,6.79468,45,15,8.08557,8.16729,7.38021,25,12
16,58,4.13528,3.92904,3.58692,71,15,4.21525,3.99744,3.61646,51,15,4.58208,4.34851,3.93160,35,13
17,59,9.25489,11.63099,9.87206,41,15,9.82741,12.49277,10.41199,31,13,10.69149,13.57289,11.24537,27,12
18,60,10.13351,8.77661,10.56688,51,15,10.81969,9.29659,11.34084,37,14,10.81969,9.29659,11.34084,37,14
19,61,3.64155,3.95864,4.43446,57,14,3.76793,3.94877,4.69128,41,11,3.85778,4.04296,4.70879,39,11
20,62,3.98657,4.12142,3.43470,47,15,4.05791,4.17990,3.58408,39,14,4.29548,4.39934,4.00086,27,12
21,63,10.30268,11.05296,9.38421,49,15,10.50484,11.37245,9.57515,41,14,10.91108,11.84956,9.97467,35,12
22,64,4.53622,4.39368,4.18806,51,15,4.82237,4.67985,4.44995,41,13,5.01299,4.84362,4.63005,37,13
23,65,8.14626,8.87627,9.26476,49,15,8.79260,9.63822,10.06350,41,14,9.37844,10.27939,10.72112,31,12
24,66,4.94544,5.20308,4.96473,53,15,5.19455,5.55713,5.26117,45,14,5.45448,5.87215,5.57641,41,13
25,67,13.55467,13.90655,12.77318,41,15,14.30319,14.64435,13.49643,35,14,15.82106,16.14272,14.97814,23,10
26,68,3.72833,3.69954,3.92849,51,15,3.78091,3.73451,4.02383,37,13,3.84856,3.79182,4.11573,29,12
27,69,3.91028,4.18426,3.76091,45,15,4.12218,4.27418,3.91252,33,14,4.31096,4.55898,4.13636,27,11
28,70,10.19532,10.94725,9.99615,47,15,10.45434,11.16105,10.21359,39,14,11.14856,11.75102,10.83123,31,13
29,71,4.04546,3.94573,3.77863,53,15,4.11774,3.99073,3.82246,41,14,4.32770,4.32080,4.15173,29,12
30,72,9.66303,10.56833,10.02596,53,15,9.95061,10.91256,10.31871,41,14,10.40442,11.45953,10.86604,33,13
