run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,3.16290,3.21691,3.68793,43,15,3.47451,3.53134,3.97860,15,9,3.88728,3.55181,4.14682,5,3
2,44,3.11725,3.27334,3.16551,43,15,3.55586,3.79052,3.57664,11,8,3.95688,3.94057,3.93551,3,2
3,45,4.00535,3.58019,4.07951,59,15,4.00809,3.58385,4.08163,35,11,4.01450,3.59226,4.08662,3,2
4,46,3.20639,2.68635,3.19424,55,15,3.49490,2.70546,3.58324,13,8,4.04446,3.26197,4.36366,3,2
5,47,2.98146,3.67740,3.25397,41,14,3.17560,3.78569,3.30082,17,10,3.84133,4.32258,3.75765,3,2
6,48,3.38065,3.61011,3.81346,37,15,3.55154,3.72863,3.93864,11,8,3.85417,3.76674,4.07569,3,2
7,49,3.38746,3.17637,3.36789,41,15,3.55122,3.36241,3.56522,15,9,3.79681,3.65125,3.87484,5,3
8,50,4.00614,3.43457,3.54193,59,15,4.01634,3.44474,3.55024,35,11,4.03554,3.46410,3.56543,11,5
9,51,3.53807,3.26803,3.74346,35,15,3.59677,3.36210,3.86244,15,9,3.88101,3.85115,4.23724,3,2
10,52,3.28932,3.67603,3.33570,45,15,3.30280,3.69772,3.35390,25,11,3.54643,4.01752,3.64750,7,7
11,53,3.28824,2.89265,3.19732,53,15,3.38767,3.01401,3.28264,15,9,4.01567,3.64542,4.12239,3,2
12,54,3.92555,3.54296,4.02434,43,15,3.93088,3.54669,4.03046,27,11,3.93638,3.54943,4.03659,3,2
13,55,3.65347,4.08953,4.29023,45,15,3.65680,4.09121,4.29345,23,11,3.66258,4.09553,4.29942,3,2
14,56,3.93104,3.44525,3.84071,51,15,3.93790,3.45413,3.84766,23,11,3.94329,3.46025,3.85264,7,3
15,57,3.50554,3.10246,3.12186,43,15,3.88784,3.58755,3.41977,15,10,4.12578,3.78369,3.67895,3,2
16,58,3.48433,3.37642,3.09101,31,12,3.89462,3.82265,3.35045,7,7,4.09119,4.01312,3.49957,3,2
17,59,3.45114,4.28517,4.22545,49,15,3.66142,4.46217,4.32682,17,10,3.91452,4.65682,4.48566,7,3
18,60,3.36790,2.76928,3.48908,55,15,3.41326,2.86554,3.37862,21,10,3.45174,2.90585,3.47802,11,8
19,61,3.12737,3.78116,3.81746,51,15,3.46451,3.80234,4.25291,15,10,3.87350,4.11286,4.72611,3,2
20,62,3.53287,3.65797,3.00151,45,15,3.67303,3.78388,3.15581,25,10,3.87625,4.17577,3.92532,5,3
21,63,3.51547,3.41691,3.23476,57,15,3.65488,3.44368,3.28819,27,10,4.06669,3.90955,3.62310,3,2
22,64,3.18924,3.12842,3.36199,41,15,3.33374,3.25372,3.38493,13,9,4.03757,3.78124,3.71732,3,2
23,65,3.73748,4.10748,4.06525,39,15,3.73993,4.11055,4.06775,23,10,3.74414,4.11575,4.07228,7,3
24,66,3.39096,3.55488,3.40755,59,15,3.53314,3.66050,3.54995,21,12,4.13236,4.05048,4.07559,3,2
25,67,3.47459,3.26500,3.53411,31,14,3.65589,3.53627,3.79844,7,7,4.08008,4.07203,4.22791,3,2
26,68,4.03227,3.89785,3.71140,51,15,4.03443,3.90001,3.71332,25,12,4.03670,3.90199,3.71507,5,3
27,69,3.94764,3.93497,3.55519,55,15,3.95348,3.93820,3.55900,35,11,3.95886,3.94170,3.56286,13,4
28,70,3.44069,3.55306,3.89661,41,15,3.71411,3.81141,4.20250,7,7,4.12535,4.12758,4.60975,3,2
29,71,3.35756,3.30087,3.19017,47,15,3.55313,3.53424,3.49267,19,10,4.12023,4.21563,4.20731,5,3
30,72,3.48081,3.31186,3.91267,43,15,3.63230,3.48048,4.04954,15,10,4.20706,3.88743,4.59318,3,2
