run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,3.32855,3.41261,4.01791,126,15,3.43096,3.37667,4.01276,94,13,4.02863,3.93459,4.38646,70,11
2,44,3.27368,3.33973,3.29150,121,14,4.53387,4.78728,4.38859,95,12,25.41255,25.14179,25.19567,89,12
3,45,3.16616,3.01976,3.73635,134,15,3.36873,3.23373,4.06121,89,12,3.95620,3.44567,4.31200,74,11
4,46,3.41926,2.68460,3.36387,136,15,3.47494,2.63390,3.47200,104,13,4.02223,3.02589,4.03828,87,12
5,47,3.15136,3.86368,3.34124,185,15,3.43171,4.04429,3.56474,147,12,5.24066,5.80954,5.40638,121,11
6,48,3.29011,3.34770,3.59343,132,15,3.31658,3.43510,3.63631,100,13,3.49269,3.53518,3.63264,87,13
7,49,3.68953,3.37427,3.59837,132,15,4.20672,3.73158,4.20566,85,12,8.23206,8.10077,8.12146,81,12
8,50,3.61786,2.97876,3.39283,109,15,3.68511,3.08796,3.40340,70,12,4.38392,3.91168,4.11789,68,11
9,51,3.53287,3.30206,3.79866,144,15,3.56024,3.32925,3.84658,119,14,3.68197,3.44402,3.93791,83,12
10,52,3.19533,3.62566,3.27693,133,15,3.25182,3.70796,3.36370,107,13,3.53827,3.96452,3.61509,78,11
11,53,3.36295,3.01718,3.32616,128,15,3.67451,3.36651,3.67975,72,11,10.72688,10.73322,10.93946,44,9
12,54,3.58163,3.31585,3.69813,146,15,3.60785,3.36053,3.74811,116,13,4.00408,3.71928,4.13126,97,12
13,55,3.21965,3.95462,3.83040,95,15,4.09056,4.62732,4.63233,65,13,9.08837,9.11896,8.93355,46,9
14,56,3.41006,2.85880,3.21844,116,15,3.71595,3.16731,3.58892,80,12,4.00139,3.63802,3.98138,71,12
15,57,4.04673,3.84102,3.59534,127,15,4.23532,3.97463,3.66137,89,12,4.49133,4.18522,3.99978,33,8
16,58,3.27722,3.26206,3.08243,138,15,3.42687,3.32877,3.10970,91,12,3.81434,3.65338,3.41529,78,11
17,59,3.45705,4.57991,4.52594,113,15,3.52134,4.68677,4.61105,74,12,3.73571,5.01198,4.86191,61,11
18,60,3.50473,3.00186,3.65530,130,15,3.52842,3.02039,3.67978,100,13,3.75657,3.25870,3.99377,72,11
19,61,3.19263,3.80722,3.90508,126,15,3.26485,3.81750,3.96522,100,13,3.52004,4.09282,4.05290,85,12
20,62,3.37151,3.55593,2.78698,134,15,3.59577,3.85438,3.04744,83,12,4.37671,4.66028,4.18092,67,10
21,63,3.66071,3.54208,3.22873,136,15,3.81508,3.51185,3.45815,108,13,4.22086,4.06515,3.74485,100,13
22,64,3.18705,3.09715,3.33817,148,15,3.23203,3.08182,3.35893,108,13,3.36207,3.18580,3.47058,80,12
23,65,3.58700,4.15159,3.91073,119,15,3.62925,4.17642,3.94455,100,14,3.73805,4.15879,4.04840,59,11
24,66,3.50523,3.67085,3.51614,128,15,3.58814,3.77263,3.68878,102,13,3.80552,3.78201,3.81723,85,12
25,67,3.51809,3.35539,3.63471,140,15,3.63698,3.42059,3.56794,102,13,4.30468,4.12417,4.32490,74,11
26,68,3.30885,3.24834,3.30202,142,15,3.34286,3.32682,3.38046,116,15,3.41377,3.33496,3.43523,87,12
27,69,3.33344,3.69731,3.33790,136,15,3.39925,3.71917,3.37309,110,13,3.48267,3.84024,3.48307,74,11
28,70,3.41317,3.45154,3.86889,122,15,3.50939,3.56062,3.98836,94,13,3.87669,3.93527,4.33367,68,11
29,71,3.33370,3.26571,3.06526,130,15,3.38363,3.26980,2.96410,100,13,3.53369,3.42264,3.18497,72,11
30,72,3.36102,3.22326,3.83008,128,15,3.45063,3.28790,3.90303,100,13,3.57260,3.39605,4.05930,85,12
