run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,3.50905,3.59759,4.10060,140,15,4.54821,4.47102,5.01095,50,9,8.72785,7.90759,9.10558,5,3
2,44,3.54514,3.67392,3.59273,142,15,5.76522,5.67754,5.56880,33,9,25.82542,25.70756,25.11006,3,2
3,45,3.50259,3.33969,3.85099,117,15,7.73685,7.34015,8.42011,31,8,13.73226,13.84910,14.23007,3,2
4,46,3.64851,2.84276,3.60063,89,12,4.14118,3.42083,4.36054,33,8,9.90640,8.71588,9.94709,7,3
5,47,3.25362,3.97158,3.44247,125,15,3.81344,4.39610,3.95764,57,11,9.93062,10.29741,9.54230,3,2
6,48,3.36313,3.46283,3.69347,117,15,3.72607,3.85196,3.92053,31,9,4.50064,4.61983,4.61148,3,2
7,49,3.54081,3.21392,3.39239,113,15,5.91383,5.50980,5.80998,16,7,15.37465,15.78612,15.78305,3,2
8,50,3.46987,2.71142,3.33602,117,14,3.90125,3.35810,3.56062,16,7,4.71946,4.45174,4.08918,3,2
9,51,3.58584,3.34929,3.74635,130,15,4.22535,4.05948,4.52504,29,8,12.90654,13.79174,13.45263,7,3
10,52,3.62600,4.18019,3.82403,120,15,4.96679,5.43707,4.95487,16,7,15.41340,16.13382,15.30813,3,2
11,53,3.65029,3.32012,3.90700,70,11,4.18679,3.77565,4.56481,16,7,10.19431,10.56964,10.47254,3,2
12,54,4.09166,3.66424,4.23429,116,15,4.74524,4.19034,4.77583,45,10,7.03091,6.91116,7.30615,15,4
13,55,3.31551,4.13612,4.05855,121,15,7.44750,7.88605,7.44223,30,8,14.08491,14.61510,14.49946,15,4
14,56,3.70995,3.40095,3.73412,91,15,4.81809,4.26059,4.72673,16,7,15.59579,15.58391,15.32491,3,2
15,57,3.40422,3.00117,3.07804,119,15,4.58496,4.40996,3.97889,29,8,10.09327,10.06336,9.27573,3,2
16,58,3.53438,3.47930,3.12594,128,15,4.09777,4.11560,3.84672,16,7,5.94475,5.65730,5.20518,3,2
17,59,3.16471,4.21343,4.24624,95,15,4.92751,5.69401,5.46163,30,10,13.09611,16.18546,13.53843,3,2
18,60,3.69545,3.20856,3.99457,128,15,5.01648,4.29016,5.18349,16,7,22.16367,20.81722,21.89493,3,2
19,61,3.31574,3.85458,4.12325,112,15,3.56483,3.94653,4.35511,46,9,4.53800,4.52664,5.33996,5,3
20,62,3.53176,3.57377,3.11976,144,15,3.87644,4.03412,3.24214,29,8,5.80875,5.90598,5.38665,3,2
21,63,3.74110,3.49326,3.25202,104,15,4.09496,3.64724,3.60762,26,9,12.96326,14.23753,12.03064,3,2
22,64,3.25991,3.22095,3.43412,91,15,3.66875,3.66673,3.89643,33,8,7.07369,7.00847,6.67152,5,3
23,65,3.43638,3.79728,3.67074,117,14,4.64676,4.96488,5.06397,31,9,12.31046,13.23291,13.82079,3,2
24,66,3.32405,3.58259,3.36567,98,15,4.06230,4.20469,4.12896,20,7,9.30111,9.83541,9.67042,7,3
25,67,3.64742,3.54958,3.74312,142,15,4.46386,4.37359,4.47749,20,7,18.87877,19.04152,17.84737,3,2
26,68,3.46072,3.34965,3.53270,106,15,3.64478,3.54309,3.73959,42,9,4.46744,4.47103,4.85018,3,2
27,69,3.32756,3.62530,3.22084,136,15,3.71884,4.08699,3.61301,29,8,5.73987,5.89409,5.61732,3,2
28,70,3.45259,3.67880,3.95534,111,15,4.75242,4.63412,5.16972,16,7,13.01154,13.71261,12.47897,3,2
29,71,3.43606,3.29477,3.17129,112,15,4.19365,3.97317,3.76709,20,9,5.67743,5.90990,5.78916,3,2
30,72,3.41690,3.15336,3.92415,131,15,4.83255,4.61770,5.10745,54,9,13.46685,14.70712,14.12743,3,2
