run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,6.79570,6.25083,6.77433,43,15,7.13151,6.57277,7.11202,35,14,7.47279,6.93543,7.44794,27,12
2,44,9.35299,9.03600,9.21257,41,15,9.66417,9.29907,9.56700,33,14,9.92549,9.59742,9.75698,27,12
3,45,9.17263,9.41384,9.49712,55,15,9.37006,9.59853,9.67727,39,14,9.61658,9.81161,9.93029,31,13
4,46,7.79786,7.30480,8.18460,41,15,8.14426,7.65901,8.53831,29,12,8.74639,8.26061,9.09695,25,11
5,47,7.23206,6.92330,6.63881,45,15,7.48773,7.29247,6.90384,33,13,7.84247,7.64304,7.26837,27,12
6,48,4.10362,4.34262,3.99215,41,15,4.26692,4.46957,4.11371,31,13,4.48189,4.65066,4.27892,25,12
7,49,7.53396,8.28168,8.06181,55,15,8.10714,8.95784,8.69196,39,14,8.82072,9.70860,9.41174,35,13
8,50,4.03491,4.08027,3.73144,47,15,4.24274,4.31661,3.86795,37,13,4.60050,4.69254,4.18035,27,12
9,51,8.75874,9.66061,8.55052,49,15,8.93060,9.87160,8.80435,43,14,9.42632,10.45875,9.42376,37,12
10,52,7.84580,8.07267,7.22067,57,15,8.08028,8.31387,7.43915,41,15,8.88714,9.14077,8.23783,33,13
11,53,5.22293,5.61946,5.80758,59,15,5.47317,5.88229,6.07328,45,15,6.22037,6.70930,6.82094,29,11
12,54,5.54590,5.93416,5.47046,67,15,5.69499,5.97797,5.65703,47,13,5.81241,6.08186,5.74161,43,12
13,55,10.71448,11.24624,9.79124,53,15,10.77678,11.24905,9.80462,43,15,11.22624,11.91353,10.37578,37,13
14,56,7.88608,8.30859,7.68974,43,15,8.31783,8.80819,8.10220,39,14,8.81659,9.36310,8.58569,35,13
15,57,7.13090,7.28000,6.48133,61,15,7.31428,7.47916,6.64729,45,14,7.44833,7.50941,6.81040,37,13
16,58,3.94228,3.90982,3.76262,49,15,4.00728,3.95819,3.79757,43,14,4.21656,4.15099,3.94703,33,13
17,59,7.63863,8.80872,7.64903,67,15,7.92251,9.15995,7.97174,51,15,8.76111,10.12042,8.89027,41,13
18,60,9.25426,8.71855,9.54869,47,15,9.44510,8.88739,9.76144,39,14,10.03642,9.29416,10.49778,31,13
19,61,4.47920,4.13942,4.79709,41,15,4.70188,4.29773,5.00065,27,12,4.95129,4.46412,5.32294,19,10
20,62,4.07702,3.73051,3.88354,47,15,4.18951,3.86048,3.99925,33,13,4.48602,4.15548,4.33899,27,11
21,63,9.38227,9.87004,8.48000,53,15,9.55069,10.14659,8.61128,41,14,9.89850,10.76151,8.94527,37,13
22,64,4.88743,4.90264,4.46005,43,15,5.13487,5.11822,4.72250,33,13,5.29209,5.32295,4.84516,29,12
23,65,7.97504,8.66804,8.93095,55,15,8.40581,9.13995,9.40501,41,14,9.08833,9.92997,10.19861,33,12
24,66,5.16814,5.27473,5.14846,53,15,5.43758,5.55474,5.46427,37,13,5.86796,6.04900,6.03529,37,12
25,67,11.38084,11.94485,11.03712,61,15,11.90784,12.47240,11.50562,47,14,12.43038,12.99187,11.97711,41,13
26,68,4.04055,3.97263,4.19954,41,15,4.17325,4.14931,4.35921,29,13,4.24931,4.19974,4.43195,27,12
27,69,4.26189,4.17803,4.11452,53,15,4.54942,4.39607,4.42083,27,11,4.77214,4.54324,4.61817,19,10
28,70,10.44977,11.47505,9.93532,49,15,10.62107,11.70578,10.09932,39,14,10.94068,11.94062,10.35254,33,13
29,71,3.98922,3.95849,3.84173,39,15,4.01827,3.99832,3.90579,35,14,4.21686,4.26388,4.23046,31,13
30,72,9.18702,10.21623,9.06822,43,15,9.39355,10.45381,9.30206,35,14,9.63475,10.68244,9.57221,31,13
