run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,3.32428,3.06224,3.31104,45,15,3.66233,3.30932,3.65307,11,8,4.59245,4.04664,4.53336,3,2
2,44,4.02465,4.08723,4.18724,53,15,4.03498,4.10208,4.19906,21,9,4.04159,4.11283,4.20678,3,2
3,45,4.07680,3.87358,4.22293,41,15,4.09079,3.89243,4.23591,15,9,4.09646,3.90011,4.24103,3,2
4,46,3.28909,2.95173,3.47110,49,15,3.51016,3.14254,3.74210,19,10,4.23927,3.66146,4.76809,3,2
5,47,2.70513,2.92258,2.99230,41,15,3.01562,3.19268,3.18709,9,8,4.16974,4.22650,4.24723,3,2
6,48,3.36782,3.51995,3.24827,43,14,3.46230,3.62742,3.35143,29,11,4.16081,4.10545,4.20548,3,2
7,49,3.05706,3.31805,3.21420,55,15,3.28208,3.62307,3.49321,11,8,3.58248,3.96789,3.87505,5,3
8,50,4.01869,3.94313,3.80992,49,15,4.02933,3.95278,3.81843,35,12,4.06403,3.98516,3.84591,11,5
9,51,3.36458,3.48474,3.36861,55,15,3.55765,3.63422,3.61227,21,10,4.01563,3.99336,4.39264,3,2
10,52,3.16150,3.32335,2.88038,63,15,3.50081,3.70263,3.37389,17,11,4.50640,4.45567,4.40980,3,2
11,53,2.84171,2.83248,2.96522,45,14,3.15553,3.06985,3.19041,11,8,4.20323,4.13108,4.47127,3,2
12,54,4.24707,3.66099,4.29389,47,15,4.25489,3.66537,4.30214,23,10,4.26293,3.66988,4.31126,3,2
13,55,4.02667,3.96812,4.68009,45,15,4.03221,3.97145,4.68599,29,12,4.04453,3.97901,4.69921,3,2
14,56,4.01626,4.05911,3.85855,55,15,4.02524,4.06836,3.86759,27,11,4.03402,4.07726,3.87667,7,3
15,57,3.35239,3.21711,3.05456,51,15,3.73741,3.47734,3.42852,13,9,4.36809,4.06153,4.04955,3,2
16,58,3.29065,3.32848,3.44380,45,15,3.55565,3.57388,3.42321,15,9,4.35298,4.33602,3.76738,3,2
17,59,2.93506,3.35114,2.97705,51,15,3.02498,3.42077,3.02224,29,11,4.24116,4.41475,3.99804,7,3
18,60,2.99383,2.58113,3.35056,45,15,3.09407,2.67487,3.34923,25,11,3.61044,3.24095,4.17190,15,9
19,61,3.39028,3.68172,3.32468,47,15,3.58298,3.87367,3.55574,25,11,4.43133,4.25557,4.81850,3,2
20,62,3.40801,3.04896,3.34996,49,15,3.70233,3.30386,3.73819,17,8,4.06637,3.86799,4.36174,5,3
21,63,3.23701,3.45701,3.07306,53,15,3.49805,3.66796,3.29751,15,9,4.25243,4.45082,3.99817,3,2
22,64,2.79974,2.85162,2.98455,43,15,3.20799,3.20328,3.10838,7,7,4.32440,4.21987,3.75045,3,2
23,65,3.94847,4.48519,4.37317,51,15,3.95185,4.48963,4.37729,33,12,3.96142,4.50213,4.38886,7,3
24,66,2.99760,2.94434,2.93971,39,15,3.28035,3.27517,3.21709,19,10,4.51669,4.40294,4.42310,3,2
25,67,3.26008,3.42099,3.34198,49,15,3.73826,3.99104,3.88528,13,10,4.41548,4.67632,4.45125,3,2
26,68,4.15078,4.12190,3.81639,53,13,4.15321,4.12441,3.81904,31,11,4.15760,4.12879,3.82274,5,3
27,69,3.32475,3.54928,3.29952,79,15,3.64909,3.74219,3.60475,37,9,4.27643,4.01900,3.91865,13,4
28,70,3.23844,3.29244,3.17722,43,15,3.61347,3.61589,3.60740,15,9,4.66348,4.36724,4.68109,3,2
29,71,3.09049,3.07263,3.04223,49,15,3.39873,3.45049,3.47190,19,10,3.88874,4.03783,4.04462,5,3
30,72,3.01804,3.02056,3.00549,39,15,3.20347,3.01540,3.31188,27,12,3.35099,3.16237,3.62144,15,9
