run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,3.03799,2.73787,3.12117,135,14,3.07024,2.76852,3.13546,118,13,3.59308,3.33754,3.65087,89,12
2,44,3.18811,3.09808,2.99203,130,15,3.46762,3.48162,3.28053,96,13,5.21851,5.66393,5.09864,68,11
3,45,3.12398,3.08283,3.47301,142,15,3.59139,3.42129,3.91109,83,12,10.08658,9.59584,10.40942,74,12
4,46,3.38251,2.99794,3.54448,134,15,3.61874,3.13834,3.80841,87,12,4.13646,3.92705,4.56599,74,11
5,47,2.83415,3.03774,2.96231,204,15,3.31901,3.49990,3.33276,151,12,8.71045,9.06706,8.71523,147,12
6,48,3.15556,3.35030,2.96684,114,15,3.31843,3.55962,3.24456,88,13,3.61818,3.80094,3.52379,63,11
7,49,3.31735,3.60273,3.56236,108,15,3.50406,3.79038,3.71323,71,11,3.50406,3.79038,3.71323,71,11
8,50,3.13894,2.80005,3.17895,144,15,3.20878,2.88082,3.22857,98,13,3.45144,3.10316,3.42957,93,12
9,51,3.37524,3.44851,3.41989,130,15,3.49749,3.57162,3.54716,100,13,4.40427,4.39023,4.32207,96,13
10,52,3.09975,3.37748,2.99264,136,15,3.11430,3.40272,3.01905,95,12,4.43513,4.36790,4.33507,91,12
11,53,3.14159,2.99238,3.70486,118,15,3.39676,3.31508,4.01617,63,12,4.67023,4.98687,5.11849,48,11
12,54,4.21807,4.24014,4.14373,150,15,4.32395,4.48897,4.31022,108,13,4.77619,4.65371,4.62696,77,11
13,55,3.29573,3.54454,3.75999,95,15,3.94750,3.89940,4.07148,65,13,10.52855,10.19354,10.11669,46,9
14,56,3.21678,3.70696,3.14782,123,15,3.60599,3.92384,3.55227,80,12,12.75663,13.51203,12.74466,67,12
15,57,3.22184,2.97536,3.10005,129,15,3.54286,3.21263,3.35561,89,13,4.01905,3.69071,3.80239,72,12
16,58,3.08151,3.19700,3.23741,125,15,3.48628,3.59411,3.57077,80,12,4.83976,4.76747,4.30787,73,12
17,59,3.13140,3.49829,3.22138,128,15,3.32853,3.59314,3.35431,98,13,3.83502,4.01277,3.82438,70,11
18,60,3.40341,3.04314,3.65419,122,15,3.46754,3.07662,3.87716,96,13,3.76708,3.35561,4.24341,81,12
19,61,3.23809,3.77909,3.56604,126,15,3.34366,3.74495,3.64648,98,13,3.53339,3.95214,3.85472,85,12
20,62,3.30018,3.11646,2.96487,115,15,3.47612,3.27709,3.12254,89,13,3.65079,3.54868,3.22961,83,12
21,63,3.13799,3.43600,2.73438,156,15,3.30844,3.65836,2.85738,92,11,21.60784,22.30908,21.63292,88,12
22,64,2.73001,2.67580,2.98510,146,15,2.81047,2.75846,3.01320,101,12,3.06279,3.09389,3.00940,78,12
23,65,3.51975,4.18802,3.86413,130,15,3.68229,4.38966,4.10042,102,13,4.44835,5.14118,4.95020,89,12
24,66,3.42135,3.51522,3.49886,135,15,3.84819,3.84443,4.01891,80,12,15.01560,14.84046,14.96823,68,11
25,67,3.19101,3.33784,3.19462,134,15,3.63717,3.68660,3.58588,100,13,5.61148,5.56613,5.64866,93,12
26,68,3.19844,3.09511,3.23521,142,15,3.29273,3.14255,3.34997,104,13,3.89410,3.95289,4.10867,89,12
27,69,3.28994,3.49731,3.27187,142,15,3.31619,3.45202,3.28726,111,14,3.45383,3.67757,3.45241,93,12
28,70,3.28442,3.40947,3.27355,126,15,3.42699,3.54471,3.43425,96,13,5.26244,5.01417,5.23665,70,11
29,71,3.19727,3.23569,3.12223,133,15,3.23092,3.25527,3.14438,91,13,3.39335,3.43260,3.18567,59,11
30,72,3.10926,3.03885,3.17148,126,15,3.27291,3.08024,3.50482,98,13,3.48397,3.33724,3.76621,85,12
