run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,3.84715,3.65101,3.85064,121,15,5.14446,4.59936,5.02264,22,9,8.80714,7.96582,8.73082,5,3
2,44,3.14401,2.88883,3.22570,158,15,4.10641,3.84918,4.24447,57,8,11.00056,10.67006,10.77637,5,3
3,45,3.65078,3.57825,3.97414,136,15,5.26715,5.14836,5.15393,29,8,12.27310,12.24249,12.60151,3,2
4,46,3.45863,2.97822,3.62406,97,15,4.09421,3.54439,4.39980,48,9,9.79842,9.14963,10.16772,7,3
5,47,3.08942,3.24996,2.98641,129,15,4.51529,4.58519,4.27692,31,9,13.60084,14.48348,13.71208,3,2
6,48,3.14674,3.30606,2.97944,124,15,3.63331,3.86261,3.57928,16,7,6.15238,6.06008,5.82119,3,2
7,49,3.17624,3.53061,3.52915,128,15,5.40938,5.63671,5.54336,16,7,13.45443,14.51306,14.11004,3,2
8,50,3.29350,3.15942,3.13881,91,15,3.70994,3.60993,3.59587,29,8,6.14309,6.31519,5.57252,3,2
9,51,3.71974,3.74178,3.69765,126,15,5.40472,5.54217,5.55919,29,8,11.46946,12.64148,11.77244,7,3
10,52,3.04528,3.39989,2.98769,128,15,4.46404,4.44289,4.50891,18,8,13.86926,14.18573,13.20591,3,2
11,53,3.17925,3.16063,3.57503,154,15,4.62414,4.51737,4.86896,16,7,8.61667,9.14982,9.15922,3,2
12,54,3.17574,3.10770,3.13730,120,15,4.55479,4.77364,4.33849,58,11,6.34148,6.30061,6.22681,15,4
13,55,3.49872,3.54873,3.76162,112,15,5.59816,5.16561,5.98383,29,8,13.71184,14.80087,13.09033,3,2
14,56,3.45135,3.94009,3.42976,93,15,4.56170,4.84855,4.51817,22,10,13.70491,14.45275,13.42960,3,2
15,57,3.64198,3.36977,3.30907,136,15,5.20519,5.14955,4.75659,29,8,9.25528,9.33330,8.56949,3,2
16,58,3.20974,3.17209,3.33984,142,15,4.00907,3.89657,4.05159,16,7,5.33532,5.21500,4.63860,3,2
17,59,3.57134,3.95620,4.02823,124,15,5.13736,5.46151,4.92054,16,7,20.60304,22.63937,21.21385,3,2
18,60,4.54785,4.49026,4.84474,119,15,7.73185,6.69352,8.65265,33,8,12.54163,11.58400,13.18871,5,3
19,61,3.01658,3.47192,3.28922,125,15,3.56018,3.96820,3.71235,46,10,6.25541,5.79204,6.54713,5,3
20,62,3.31442,3.11115,3.04088,132,15,3.45981,3.26236,3.14270,55,10,5.24062,4.81408,5.34617,3,2
21,63,3.22443,3.49697,3.00053,104,14,3.70647,3.88502,3.53781,57,11,12.20785,13.62941,11.29133,3,2
22,64,2.88294,2.91852,3.06666,130,15,4.25738,3.94886,3.83231,31,8,6.41302,6.49800,5.97044,5,3
23,65,3.18519,3.33330,3.27248,124,15,4.38211,4.64971,4.73084,18,8,11.45506,12.32009,12.72509,3,2
24,66,3.14721,3.27414,3.32072,150,15,4.59256,4.44558,4.49900,46,9,8.00458,8.21374,8.37233,7,3
25,67,3.54690,3.71315,3.61842,104,15,7.38219,8.29680,8.00596,18,7,18.35409,19.08820,17.71689,3,2
26,68,3.26640,3.13833,3.25040,134,15,3.70277,3.55689,3.69165,16,7,5.96543,6.10624,6.33616,3,2
27,69,3.05211,3.13239,3.06808,144,15,3.35319,3.45661,3.34865,57,10,5.25068,4.99994,5.14078,3,2
28,70,3.52590,3.63765,3.47372,134,15,5.45020,4.97583,5.47236,80,13,12.44211,13.42524,11.69871,3,2
29,71,3.31640,3.35005,3.19257,132,15,3.66781,3.71319,3.62385,29,8,5.19046,5.17843,5.14718,3,2
30,72,4.08481,4.37355,3.75089,90,15,5.16024,5.40306,4.89980,30,11,12.03196,13.36155,12.14979,3,2
