run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,1.31999,1.48776,1.41712,43,15,1.32743,1.45555,1.44139,31,12,1.33631,1.44890,1.40868,25,12
2,44,1.41286,1.34722,1.21043,49,15,1.44544,1.34938,1.19811,31,10,1.53746,1.43662,1.30429,23,8
3,45,1.43755,1.21536,1.35001,43,14,1.44153,1.27283,1.38339,41,13,1.44957,1.24086,1.35625,23,10
4,46,1.43008,1.30214,1.27921,45,15,1.43865,1.31248,1.28421,27,12,1.56773,1.44319,1.34645,11,8
5,47,1.39122,1.48965,1.29142,43,15,1.40894,1.47221,1.26762,27,12,1.43278,1.41959,1.30656,15,9
6,48,1.31071,1.31827,1.61307,55,15,1.32155,1.35507,1.60592,35,11,1.34705,1.29544,1.63941,15,4
7,49,1.30688,1.47787,1.51231,41,15,1.31548,1.50170,1.51615,33,13,1.35480,1.47958,1.46242,13,9
8,50,1.33372,1.43841,1.46293,37,14,1.34855,1.45453,1.47115,25,12,1.36361,1.42010,1.47055,17,10
9,51,1.39720,1.41006,1.32349,41,15,1.40614,1.40110,1.33221,23,11,1.47351,1.40973,1.36453,11,8
10,52,1.34709,1.41317,1.40779,43,15,1.35548,1.40984,1.40240,27,11,1.37750,1.41866,1.36838,15,9
11,53,1.31494,1.57488,1.36674,41,15,1.33243,1.58828,1.32718,27,12,1.36870,1.60800,1.45534,17,10
12,54,1.34800,1.34000,1.51667,35,15,1.35539,1.32625,1.52000,27,13,1.37010,1.32118,1.49864,17,10
13,55,1.31076,1.32722,1.54014,43,15,1.31574,1.33632,1.54178,29,12,1.31854,1.32846,1.53881,23,11
14,56,1.38805,1.33156,1.43356,31,13,1.39231,1.33029,1.44024,27,12,1.41156,1.32776,1.42318,17,9
15,57,1.26197,1.46364,1.57742,35,14,1.27372,1.44472,1.60032,21,10,1.29425,1.47883,1.59079,3,2
16,58,1.35470,1.45172,1.35779,37,15,1.38402,1.46280,1.36543,25,12,1.41659,1.38086,1.33704,9,8
17,59,1.34948,1.37154,1.43305,37,14,1.35459,1.37031,1.43789,23,11,1.36650,1.38391,1.45137,15,9
18,60,1.38996,1.39952,1.30748,47,15,1.39342,1.39257,1.30743,35,13,1.40756,1.42417,1.30547,21,10
19,61,1.33879,1.36382,1.42258,41,15,1.35078,1.33108,1.41117,29,12,1.37341,1.39400,1.43905,23,11
20,62,1.35961,1.42013,1.42787,29,12,1.37413,1.38498,1.41282,21,10,1.40062,1.39358,1.40643,3,2
21,63,1.31677,1.50615,1.39748,63,14,1.33962,1.51420,1.44010,49,11,1.42510,1.54036,1.50486,39,9
22,64,1.40399,1.43735,1.27921,51,15,1.42419,1.39312,1.31150,29,11,1.45775,1.37393,1.32886,25,10
23,65,1.29890,1.48245,1.48387,51,14,1.30316,1.47816,1.48996,37,11,1.31797,1.49710,1.51509,33,11
24,66,1.39510,1.38155,1.22651,43,15,1.40492,1.39805,1.22794,31,12,1.44265,1.40583,1.25787,21,10
25,67,1.30090,1.35876,1.55501,41,15,1.32133,1.36333,1.55324,25,11,1.35916,1.38011,1.56756,7,7
26,68,1.33439,1.44949,1.44980,35,15,1.34688,1.43108,1.45252,19,11,1.38589,1.43761,1.40836,1,2
27,69,1.37420,1.44544,1.36605,27,12,1.38438,1.45809,1.35225,23,11,1.39632,1.41695,1.35068,15,9
28,70,1.29128,1.55320,1.47536,37,14,1.29970,1.59734,1.47417,29,13,1.32976,1.53187,1.46896,5,7
29,71,1.38183,1.32353,1.36940,45,15,1.38905,1.32484,1.37275,31,12,1.40750,1.32502,1.38182,19,9
30,72,1.29543,1.49951,1.45759,43,15,1.30060,1.49963,1.49201,33,13,1.31593,1.48098,1.46172,23,10
