run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,1.30630,3.17407,1.41019,43,15,1.31761,3.21214,1.42876,27,11,1.36018,1.44988,1.43258,7,3
2,44,1.39340,1.33545,1.25615,43,14,1.42925,1.34575,1.26786,13,8,1.44762,1.32415,1.23362,7,3
3,45,1.40902,1.35646,1.33554,41,15,1.42431,1.33472,1.31852,27,11,1.46632,1.28613,1.31021,7,3
4,46,1.39868,1.31567,1.28584,45,15,1.41935,1.29118,1.28708,11,8,1.44055,1.29040,1.29223,3,2
5,47,1.38709,1.45842,1.28011,41,15,1.41020,1.43575,1.23167,11,8,1.42833,1.40301,1.21200,3,2
6,48,1.28470,1.27042,1.60444,39,14,1.30018,1.26083,1.60404,15,9,1.32576,1.28455,1.62533,3,2
7,49,1.28828,1.44833,1.50386,39,15,1.30453,1.46708,1.47305,23,11,1.33589,1.44482,1.42504,3,2
8,50,1.33000,1.39009,1.51123,41,15,1.33790,1.37355,1.47822,23,11,1.36277,1.39614,1.44936,3,2
9,51,1.40160,1.40541,1.28971,99,15,1.40993,1.39520,1.27821,79,10,1.42536,1.37398,1.26426,63,6
10,52,1.31912,1.41073,1.38490,41,15,1.34571,1.45888,1.37545,13,8,1.38189,1.45292,1.35888,5,3
11,53,1.30342,1.58678,1.42695,39,15,1.31546,1.54274,1.39921,15,9,1.34095,1.56210,1.35013,3,2
12,54,1.32356,1.40343,1.56997,43,15,1.34076,1.39475,1.53611,17,9,1.37032,1.39144,1.50605,3,2
13,55,1.31120,1.35019,1.54665,67,15,1.32942,1.35076,1.55457,41,9,1.35231,1.35168,1.52323,31,5
14,56,1.35632,1.35746,1.40399,35,13,1.37588,1.29660,1.42549,15,9,1.40431,1.31120,1.40237,3,2
15,57,1.24110,1.50931,1.56034,35,14,1.25960,1.47884,1.56843,19,10,1.28089,1.47455,1.58852,3,2
16,58,1.40026,1.43396,1.35820,45,15,1.40028,1.43393,1.35819,31,12,1.40039,1.43375,1.35810,7,3
17,59,1.32772,1.38635,1.45169,45,15,1.34528,1.31493,1.46684,19,10,1.37832,1.31941,1.46574,3,2
18,60,1.36014,1.43729,1.36190,45,15,1.37726,1.40804,1.33536,21,10,1.39857,1.42026,1.35414,3,2
19,61,1.32600,1.34636,1.49637,47,15,1.35102,1.35487,1.47680,15,9,1.38050,1.35337,1.42727,3,2
20,62,1.33064,1.43480,1.45430,45,15,1.34409,1.42645,1.43765,23,11,1.37592,1.39488,1.39263,3,2
21,63,1.31521,1.53094,1.41423,41,15,1.32727,1.50573,1.39360,19,10,1.34565,1.47677,1.40358,3,2
22,64,1.37606,1.43838,1.34687,45,15,1.39416,1.46137,1.31841,15,9,1.41577,1.40777,1.30033,3,2
23,65,1.28814,1.52129,1.51932,53,15,1.30687,1.50788,1.52990,27,9,1.32034,1.49229,1.50121,15,4
24,66,1.38839,1.42239,1.22142,35,13,1.40456,1.40569,1.24927,15,8,1.43030,1.37149,1.25185,5,3
25,67,1.29255,1.36646,1.55535,45,15,1.30905,1.36972,1.52801,23,10,1.33396,1.38102,1.51611,7,3
26,68,1.31614,1.43821,1.45805,43,15,1.32139,1.42701,1.44506,27,11,1.35724,1.43377,1.40588,5,3
27,69,1.33143,1.44428,1.36785,41,15,1.36233,1.43132,1.35146,15,9,1.39596,1.39236,1.35404,3,2
28,70,1.31092,1.50911,1.45425,51,15,1.31164,1.50822,1.45390,31,10,1.31212,1.50779,1.45420,15,4
29,71,1.36053,1.39701,1.33941,39,15,1.37053,1.38178,1.34113,17,10,1.40037,1.34803,1.37235,1,3
30,72,1.28157,1.45584,1.48574,39,15,1.29100,1.50531,1.46078,23,11,1.32063,1.49270,1.45809,3,2
