run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,1.27833,2.12642,1.40541,124,15,1.28662,2.11527,1.39198,98,13,1.32325,2.10676,1.39336,85,12
2,44,1.39266,1.35976,1.21378,136,15,1.40426,1.35622,1.23185,93,12,1.41256,1.36376,1.21457,80,11
3,45,1.39265,1.23846,1.38570,126,15,1.39858,1.23846,1.34755,113,14,1.42837,1.28356,1.36455,85,12
4,46,1.38331,1.29478,1.28602,120,15,1.38865,1.30381,1.28762,94,13,1.79083,1.76872,1.62721,81,12
5,47,1.36972,1.50691,1.30552,122,15,1.38023,1.51969,1.29026,96,13,1.39680,1.52900,1.32914,83,12
6,48,1.27897,1.32633,1.63175,122,15,1.28714,1.34089,1.64753,94,13,1.30999,1.31992,1.63373,83,12
7,49,1.26211,1.44936,1.58102,122,15,1.28009,1.45647,1.52654,96,13,1.30658,1.48940,1.53507,68,11
8,50,1.29094,1.42868,1.46276,130,15,1.31063,1.42890,1.46090,87,12,1.33343,1.42217,1.48573,74,13
9,51,1.37192,9.02291,8.71218,134,15,1.37611,9.02377,8.71115,121,14,1.38490,9.00370,8.69485,95,12
10,52,1.30496,1.47732,1.42448,132,15,1.31280,1.46254,1.43136,106,13,1.32781,1.44922,1.45440,72,11
11,53,1.28273,1.61812,1.33765,122,15,1.29710,1.59467,1.31775,83,12,1.31783,1.60103,1.35076,70,11
12,54,1.30518,1.36357,1.56830,138,15,1.31596,1.35917,1.52056,97,13,1.34947,1.29090,1.47946,61,10
13,55,1.30115,1.32009,1.51547,122,15,1.31027,1.31758,1.54131,94,13,1.32394,1.32042,1.52254,83,12
14,56,1.33076,1.33534,1.50600,124,15,1.34387,1.33202,1.50233,98,13,1.36618,1.31227,1.46714,94,13
15,57,1.20206,1.51283,1.56274,128,15,1.21835,1.49232,1.54629,89,12,1.24544,1.50542,1.56514,87,12
16,58,1.33500,1.47342,1.36138,132,15,1.35361,1.47480,1.35854,93,12,1.38539,1.46410,1.34773,67,10
17,59,1.32282,1.31562,1.45586,117,15,1.32962,1.34382,1.45635,98,14,1.34097,1.32197,1.47632,85,13
18,60,1.33939,1.41076,1.33889,124,15,1.34447,1.39961,1.35410,98,13,1.36642,1.37434,1.29673,72,11
19,61,1.31313,1.35107,1.47960,124,15,1.32450,1.34490,1.45940,96,13,1.33784,1.33656,1.42937,81,12
20,62,1.32131,1.45401,1.42737,120,15,1.33830,1.44856,1.42472,94,13,1.75269,1.79897,1.77822,81,12
21,63,1.28445,1.44940,1.41619,156,15,1.29653,1.47021,1.42483,130,13,1.32827,1.46650,1.41980,115,13
22,64,1.36811,1.41690,1.27987,182,15,1.37657,1.43519,1.24992,156,13,1.41102,1.41461,1.27265,130,11
23,65,1.27874,1.47828,1.48304,132,15,1.28289,1.47973,1.47215,106,13,1.30233,1.45558,1.48347,93,12
24,66,1.36336,1.41601,1.23877,126,15,1.37352,1.40489,1.23923,100,13,1.40513,1.39686,1.21693,70,11
25,67,1.25977,1.36246,1.58398,111,15,1.27619,1.35731,1.58059,83,13,1.29673,1.36346,1.57337,55,10
26,68,1.29413,1.52941,1.78433,184,15,1.30673,1.52165,1.76974,143,12,1.32376,1.48562,1.72787,115,10
27,69,1.32596,1.41606,1.36013,130,15,1.34023,1.40704,1.36915,102,13,1.35714,1.41336,1.34397,85,12
28,70,1.26599,1.51573,1.46846,134,15,1.27013,1.49007,1.45203,106,13,1.29168,1.53007,1.47198,85,12
29,71,1.33087,1.42420,1.34975,128,15,1.34366,1.43188,1.36347,89,13,1.36366,1.38780,1.35987,76,13
30,72,1.26724,1.46380,1.49501,122,15,1.27325,1.46317,1.48555,107,14,1.29606,1.48112,1.49314,81,12
