run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,1.28921,2.12257,1.44436,115,15,1.32359,2.06150,1.42535,35,9,1.38244,1.41256,1.41810,3,2
2,44,1.38417,1.41293,1.26547,134,15,1.41191,1.39525,1.24395,69,10,1.47327,1.34246,1.23187,15,4
3,45,1.40660,1.27988,1.37657,113,15,1.45150,1.19781,1.32599,44,9,1.50571,1.17509,1.31678,7,4
4,46,1.39198,1.28599,1.30496,120,15,1.42064,1.30097,1.28995,55,10,1.46902,1.30055,1.28290,3,2
5,47,1.38985,1.42029,1.23113,120,15,1.41879,1.42301,1.20332,42,9,1.45108,1.41710,1.21021,3,2
6,48,1.28811,1.33737,1.60842,128,15,1.31613,1.32553,1.61581,33,9,1.34466,1.34200,1.63558,3,2
7,49,1.28959,1.45823,1.52991,122,15,1.31036,1.45996,1.49159,70,11,1.37204,1.47082,1.43530,3,2
8,50,1.30787,1.43906,1.49046,122,15,1.32839,1.40858,1.46766,68,11,1.37872,1.42925,1.47091,3,2
9,51,1.37983,9.02429,8.70875,136,15,1.41113,9.00484,8.70017,56,10,1.44812,9.00262,8.70004,15,4
10,52,1.31551,1.47161,1.40448,124,15,1.34825,1.48079,1.39068,46,9,1.38378,1.45070,1.35882,7,3
11,53,1.29319,1.54999,1.30945,122,15,1.30490,1.57919,1.33449,83,12,1.35719,1.60027,1.31234,3,2
12,54,1.32707,1.32944,1.52252,122,15,1.36746,1.33303,1.48118,29,8,1.40621,1.31959,1.48953,3,2
13,55,1.31642,1.33005,1.50969,122,15,1.34338,1.34278,1.49843,29,8,1.36189,1.35352,1.49350,3,2
14,56,1.34880,1.35808,1.41275,122,15,1.39630,1.35397,1.43412,42,9,1.43092,1.32367,1.40606,3,2
15,57,1.22054,1.48114,1.54474,124,15,1.24719,1.45440,1.55102,72,11,1.29425,1.47883,1.59079,3,2
16,58,1.34663,1.44946,1.34965,123,15,1.39878,1.44889,1.34150,42,9,1.43087,1.39022,1.32975,3,2
17,59,1.32613,1.35100,1.45681,128,15,1.36971,1.36496,1.45836,29,8,1.40433,1.36345,1.47042,3,2
18,60,1.34574,1.39259,1.37735,120,15,1.38306,1.39935,1.32995,42,9,1.41854,1.38534,1.34835,3,2
19,61,1.32518,1.42686,1.45596,124,15,1.35576,1.38682,1.45396,42,9,1.38319,1.36121,1.43077,3,2
20,62,1.32717,1.43273,1.40313,120,15,1.34841,1.40051,1.40801,68,11,1.40062,1.39358,1.40643,3,2
21,63,1.30326,1.47491,1.40426,120,15,1.31544,1.45476,1.37773,55,10,1.36511,1.49055,1.40711,3,2
22,64,1.38390,1.44437,1.27405,128,15,1.40519,1.37591,1.24199,48,10,1.44848,1.40975,1.23610,3,2
23,65,1.28667,1.44336,1.50171,121,14,1.31682,1.48980,1.50236,41,8,1.33460,1.49031,1.51510,15,4
24,66,1.37263,1.37231,1.25649,122,15,1.38811,1.38074,1.29519,83,12,1.44059,1.37085,1.25095,5,3
25,67,1.28818,1.36663,1.53269,128,15,1.31623,1.37268,1.55168,76,11,1.36327,1.38101,1.53196,3,2
26,68,1.29997,1.38454,1.40711,120,15,1.32938,1.43761,1.40836,42,9,1.38589,1.43761,1.40836,3,2
27,69,1.34619,1.42623,1.38452,122,15,1.38259,1.37953,1.34785,42,9,1.42650,1.35718,1.39357,3,2
28,70,1.27820,1.51743,1.42867,117,15,1.29336,1.49634,1.43761,61,11,1.32773,1.53187,1.46896,3,2
29,71,1.36249,1.37906,1.39936,126,15,1.37762,1.32422,1.40047,59,10,1.42300,1.33908,1.39450,7,3
30,72,1.29154,1.47956,1.49099,122,15,1.30304,1.51891,1.46239,57,10,1.33610,1.50612,1.47955,5,3
