run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,0.01359,0.01690,0.01325,7,7,0.01476,0.01759,0.01552,3,2,0.01476,0.01759,0.01552,3,2
2,44,0.01346,0.01472,0.01623,15,8,0.01377,0.01476,0.01648,11,7,0.01462,0.01526,0.01775,7,5
3,45,0.01517,0.01412,0.01629,7,7,0.01610,0.01531,0.01756,3,2,0.01610,0.01531,0.01756,3,2
4,46,0.01464,0.01390,0.01297,13,8,0.01476,0.01407,0.01311,7,7,0.01577,0.01578,0.01444,3,2
5,47,0.01450,0.01604,0.01677,9,8,0.01550,0.01646,0.01814,3,3,0.01550,0.01646,0.01814,3,3
6,48,0.01482,0.01596,0.01634,11,9,0.01651,0.01783,0.01803,5,3,0.01651,0.01783,0.01803,5,3
7,49,0.01413,0.01438,0.01564,17,10,0.01443,0.01468,0.01549,9,7,0.01507,0.01618,0.01556,5,3
8,50,0.01287,0.01512,0.01580,7,8,0.01408,0.01569,0.01755,3,2,0.01408,0.01569,0.01755,3,2
9,51,0.01350,0.01531,0.01398,7,7,0.01425,0.01723,0.01558,3,2,0.01425,0.01723,0.01558,3,2
10,52,0.01410,0.01641,0.01486,9,8,0.01500,0.01794,0.01626,7,7,0.01546,0.01907,0.01684,3,2
11,53,0.01379,0.01444,0.01416,7,7,0.01490,0.01681,0.01661,3,3,0.01490,0.01681,0.01661,3,3
12,54,0.01376,0.01487,0.01604,25,11,0.01502,0.01680,0.01722,7,8,0.01665,0.01919,0.01923,3,2
13,55,0.01568,0.01586,0.01366,11,9,0.01653,0.01719,0.01430,3,2,0.01653,0.01719,0.01430,3,2
14,56,0.01508,0.01767,0.01591,19,9,0.01527,0.01786,0.01623,9,8,0.01580,0.01849,0.01700,5,3
15,57,0.01510,0.01467,0.01642,13,8,0.01602,0.01541,0.01768,3,2,0.01602,0.01541,0.01768,3,2
16,58,0.01440,0.01421,0.01353,21,8,0.01508,0.01471,0.01420,19,8,0.01546,0.01499,0.01552,13,4
17,59,0.01403,0.01362,0.01318,13,10,0.01478,0.01361,0.01425,7,7,0.01545,0.01421,0.01518,3,2
18,60,0.01503,0.01446,0.01156,7,7,0.01572,0.01614,0.01419,3,2,0.01572,0.01614,0.01419,3,2
19,61,0.01544,0.01345,0.01178,15,9,0.01586,0.01433,0.01208,9,8,0.01631,0.01518,0.01322,3,2
20,62,0.01346,0.01479,0.01407,13,9,0.01428,0.01449,0.01534,7,7,0.01493,0.01472,0.01624,3,2
21,63,0.01537,0.01289,0.01613,15,8,0.01632,0.01295,0.01794,11,7,0.01826,0.01434,0.02064,7,3
22,64,0.01486,0.01355,0.01521,19,9,0.01504,0.01378,0.01582,11,7,0.01635,0.01422,0.01722,7,4
23,65,0.01425,0.01383,0.01233,9,8,0.01545,0.01611,0.01317,3,2,0.01545,0.01611,0.01317,3,2
24,66,0.01405,0.01389,0.01521,13,9,0.01406,0.01409,0.01534,9,8,0.01549,0.01474,0.01632,3,2
25,67,0.01426,0.01532,0.01302,7,8,0.01506,0.01773,0.01445,3,2,0.01506,0.01773,0.01445,3,2
26,68,0.01398,0.01475,0.01479,7,7,0.01532,0.01639,0.01518,3,2,0.01532,0.01639,0.01518,3,2
27,69,0.01491,0.01541,0.01527,11,8,0.01615,0.01621,0.01564,7,7,0.01641,0.01623,0.01578,3,2
28,70,0.01455,0.01244,0.01364,13,8,0.01631,0.01343,0.01499,3,2,0.01631,0.01343,0.01499,3,2
29,71,0.01411,0.01696,0.01562,13,9,0.01525,0.01694,0.01832,5,3,0.01525,0.01694,0.01832,5,3
30,72,0.01409,0.01407,0.01505,15,9,0.01419,0.01421,0.01497,7,7,0.01539,0.01567,0.01572,3,2
