run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,0.01294,0.01668,0.01316,35,12,0.01356,0.01728,0.01308,7,3,0.01442,0.01762,0.01530,3,2
2,44,0.01309,0.01430,0.01625,43,15,0.01353,0.01461,0.01615,7,7,0.01444,0.01539,0.01739,3,2
3,45,0.01356,0.01282,0.01458,33,13,0.01379,0.01278,0.01519,9,7,0.01386,0.01271,0.01535,5,3
4,46,0.01458,0.01375,0.01289,19,11,0.01469,0.01378,0.01296,9,8,0.01486,0.01404,0.01327,3,2
5,47,0.01357,0.01391,0.01537,49,15,0.01382,0.01398,0.01542,23,11,0.01481,0.01398,0.01692,3,3
6,48,0.01304,0.04423,0.02365,33,14,0.01325,0.01561,0.01461,17,11,0.01460,0.01612,0.01640,3,2
7,49,0.01377,0.01449,0.01456,57,14,0.01381,0.01463,0.01459,27,12,0.01412,0.01503,0.01458,3,3
8,50,0.01263,0.01523,0.01534,35,14,0.01269,0.01535,0.01496,9,8,0.01286,0.01523,0.01576,5,3
9,51,0.01324,0.01551,0.01374,63,15,0.01340,0.01518,0.01376,13,9,0.01346,0.01556,0.01386,3,2
10,52,0.01355,0.01502,0.01483,75,15,0.01365,0.01520,0.01477,47,11,0.01383,0.01507,0.01518,31,5
11,53,0.01361,0.01462,0.01415,47,15,0.01383,0.01496,0.01418,29,11,0.01447,0.01573,0.01604,15,4
12,54,0.01330,0.01424,0.01512,55,15,0.01339,0.01457,0.01511,21,10,0.01461,0.01683,0.01554,3,2
13,55,0.01390,0.01338,0.01325,57,15,0.01429,0.01395,0.01342,7,7,0.01542,0.01509,0.01377,3,2
14,56,0.01341,0.01506,0.01416,37,14,0.01435,0.01649,0.01522,7,7,0.01463,0.01682,0.01554,3,2
15,57,0.01372,0.01338,0.01463,25,11,0.01403,0.01392,0.01566,15,8,0.01427,0.01378,0.01536,7,3
16,58,0.01391,0.01411,0.01324,27,13,0.01428,0.01405,0.01354,9,8,0.01483,0.01465,0.01412,3,2
17,59,0.01387,0.01347,0.01320,27,12,0.01416,0.01367,0.01328,13,8,0.01423,0.01381,0.01328,3,2
18,60,0.01461,0.01513,0.01250,51,13,0.01466,0.01540,0.01255,39,11,0.01500,0.01460,0.01170,15,4
19,61,0.01474,0.01365,0.01162,37,12,0.01535,0.01357,0.01181,7,7,0.01542,0.01354,0.01185,3,2
20,62,0.01329,0.01484,0.01410,43,15,0.01346,0.01453,0.01392,13,8,0.01378,0.01427,0.01418,3,2
21,63,0.01397,0.01214,0.01434,47,15,0.01419,0.01226,0.01477,11,8,0.01533,0.01302,0.01608,3,2
22,64,0.01448,0.01342,0.01523,69,15,0.01468,0.01347,0.01528,43,10,0.01520,0.01394,0.01589,29,5
23,65,0.01401,0.01433,0.01210,39,15,0.01417,0.01399,0.01204,11,8,0.01447,0.01413,0.01221,3,2
24,66,0.01353,0.01376,0.01496,25,11,0.01371,0.01422,0.01535,19,10,0.01405,0.01437,0.01553,3,2
25,67,0.01385,0.01509,0.01325,43,15,0.01394,0.01516,0.01328,17,12,0.01425,0.01560,0.01355,3,2
26,68,0.01363,0.01443,0.01479,47,15,0.01373,0.01442,0.01489,15,9,0.01408,0.01482,0.01485,3,2
27,69,0.01299,0.01549,0.01422,47,15,0.01334,0.01576,0.01421,13,9,0.01403,0.01642,0.01487,3,2
28,70,0.01436,0.01268,0.01373,45,13,0.01448,0.01245,0.01368,27,12,0.01496,0.01299,0.01401,3,2
29,71,0.01301,0.01633,0.01487,45,13,0.01312,0.01681,0.01481,27,11,0.01344,0.01662,0.01487,13,4
30,72,0.01331,0.01332,0.01517,61,15,0.01343,0.01320,0.01531,39,11,0.01403,0.01329,0.01447,15,4
