run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,0.01308,0.01673,0.01308,99,15,0.01317,0.01674,0.01305,69,13,0.01350,0.01691,0.01315,50,11
2,44,0.01273,0.01472,0.01648,116,15,0.01290,0.01478,0.01603,84,13,0.01327,0.01494,0.01648,74,11
3,45,0.01361,0.01276,0.01507,113,15,0.01418,0.01300,0.01573,43,12,0.01622,0.01530,0.01756,18,8
4,46,0.01410,0.01355,0.01306,134,15,0.01421,0.01354,0.01303,100,13,0.01437,0.01373,0.01306,89,12
5,47,0.01351,0.01460,0.01614,106,15,0.01395,0.01349,0.01622,65,12,0.01439,0.01556,0.01696,59,10
6,48,0.01327,0.01588,0.01457,115,14,0.01350,0.01627,0.01471,87,12,0.01392,0.01567,0.01539,76,11
7,49,0.01391,0.01559,0.01435,130,15,0.01414,0.01564,0.01449,84,12,0.01449,0.01390,0.01565,50,11
8,50,0.01249,0.01526,0.01510,130,15,0.01253,0.01553,0.01519,98,13,0.01261,0.01509,0.01547,68,11
9,51,0.01310,0.01626,0.01454,125,15,0.01329,0.01569,0.01415,91,12,0.01408,0.01839,0.01582,84,13
10,52,0.01290,0.01457,0.01456,148,15,0.01300,0.01467,0.01455,114,13,0.01341,0.01531,0.01503,86,12
11,53,0.01331,0.01551,0.01480,123,15,0.01341,0.01560,0.01482,87,13,0.01365,0.01584,0.01526,63,11
12,54,0.01312,0.01501,0.01535,119,15,0.01325,0.01494,0.01543,85,12,0.01334,0.01419,0.01525,65,11
13,55,0.01405,0.01458,0.01399,111,15,0.01502,0.01500,0.01384,46,9,0.02146,0.01906,0.02233,16,7
14,56,0.01401,0.01651,0.01506,138,15,0.01418,0.01699,0.01510,104,13,0.01441,0.01757,0.01537,89,12
15,57,0.01369,0.01493,0.01765,133,15,0.01387,0.01497,0.01800,95,13,0.01472,0.01548,0.01642,48,10
16,58,0.01349,0.01464,0.01395,138,15,0.01377,0.01449,0.01440,95,12,0.01416,0.01435,0.01414,91,12
17,59,0.01342,0.01443,0.01341,134,15,0.01348,0.01437,0.01338,93,13,0.01394,0.01405,0.01375,74,11
18,60,0.01430,0.01632,0.01342,115,15,0.01441,0.01661,0.01452,77,13,0.01478,0.01489,0.01197,54,10
19,61,0.01448,0.01446,0.01215,133,15,0.01455,0.01448,0.01232,97,13,0.01499,0.01399,0.01195,82,12
20,62,0.01325,0.01467,0.01440,138,15,0.01332,0.01453,0.01396,102,13,0.01371,0.01438,0.01500,76,11
21,63,0.01409,0.01172,0.01561,133,15,0.01423,0.01200,0.01483,69,14,0.01492,0.01284,0.01496,39,12
22,64,0.01419,0.01339,0.01473,160,15,0.01433,0.01366,0.01470,116,13,0.01444,0.01368,0.01498,97,12
23,65,0.01367,0.01557,0.01330,132,15,0.01375,0.01514,0.01336,95,12,0.01383,0.01529,0.01327,91,12
24,66,0.01337,0.01410,0.01547,122,15,0.01386,0.01419,0.01517,78,12,0.01456,0.01456,0.01575,63,12
25,67,0.01391,0.01574,0.01271,138,15,0.01398,0.01563,0.01263,97,13,0.01443,0.01688,0.01334,48,11
26,68,0.01329,0.01509,0.01482,104,15,0.01346,0.01494,0.01480,61,12,0.01374,0.01459,0.01539,55,10
27,69,0.01286,0.01641,0.01554,135,15,0.01304,0.01648,0.01555,105,13,0.01388,0.01779,0.01597,85,13
28,70,0.01412,0.01291,0.01475,150,15,0.01421,0.01263,0.01503,110,13,0.01444,0.01259,0.01393,61,10
29,71,0.01321,0.02087,0.02014,135,15,0.01327,0.01590,0.01512,93,13,0.01350,0.01575,0.01550,78,12
30,72,0.01351,0.01412,0.01497,128,15,0.01357,0.01405,0.01488,100,13,0.01530,0.01632,0.01595,85,13
