run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,0.01305,0.01618,0.01315,120,15,0.01398,0.01745,0.01391,31,9,0.01476,0.01759,0.01552,3,2
2,44,0.01262,0.01449,0.01629,134,15,0.01353,0.01484,0.01601,48,9,0.01462,0.01526,0.01775,9,5
3,45,0.01424,0.01450,0.01583,82,15,0.01496,0.01551,0.01598,24,11,0.01610,0.01531,0.01756,3,2
4,46,0.01439,0.01383,0.01297,100,15,0.01452,0.01352,0.01279,47,12,0.01577,0.01578,0.01444,3,2
5,47,0.01346,0.01425,0.01537,136,15,0.01408,0.01436,0.01551,59,10,0.01550,0.01646,0.01814,5,3
6,48,0.01335,0.01591,0.01488,126,15,0.01370,0.01617,0.01474,80,11,0.01651,0.01783,0.01803,5,3
7,49,0.01334,0.01418,0.01471,114,15,0.01407,0.01403,0.01542,18,7,0.01507,0.01618,0.01556,5,3
8,50,0.01241,0.01583,0.01589,119,14,0.01287,0.01509,0.01580,29,8,0.01408,0.01569,0.01755,3,2
9,51,0.01314,0.01592,0.01422,113,15,0.01359,0.01543,0.01396,16,7,0.01425,0.01723,0.01558,3,2
10,52,0.01338,0.01531,0.01509,131,15,0.01374,0.01541,0.01486,44,10,0.01546,0.01907,0.01684,3,2
11,53,0.01327,0.01497,0.01455,139,15,0.01379,0.01451,0.01429,31,8,0.01490,0.01681,0.01661,5,3
12,54,0.01317,0.01485,0.01536,118,15,0.01366,0.01443,0.01571,22,9,0.01590,0.01593,0.01755,3,2
13,55,0.01424,0.01427,0.01359,91,15,0.01542,0.01506,0.01378,16,7,0.01653,0.01719,0.01430,3,2
14,56,0.01421,0.01667,0.01506,118,15,0.01502,0.01756,0.01569,20,8,0.01580,0.01849,0.01700,5,3
15,57,0.01364,0.01362,0.01440,135,15,0.01382,0.01332,0.01441,50,10,0.01602,0.01541,0.01768,3,2
16,58,0.01384,0.01383,0.01376,143,15,0.01429,0.01445,0.01406,69,11,0.01546,0.01499,0.01552,15,4
17,59,0.01372,0.01376,0.01334,132,15,0.01418,0.01384,0.01362,16,7,0.01545,0.01421,0.01518,3,2
18,60,0.01421,0.01590,0.01484,122,14,0.01500,0.01473,0.01163,46,10,0.01572,0.01614,0.01419,3,2
19,61,0.01464,0.01451,0.01272,127,15,0.01516,0.01374,0.01167,31,9,0.01631,0.01518,0.01322,3,2
20,62,0.01331,0.01490,0.01406,98,15,0.01341,0.01511,0.01366,46,11,0.01493,0.01472,0.01624,3,2
21,63,0.01417,0.01319,0.01735,125,15,0.01536,0.01272,0.01616,35,9,0.01826,0.01434,0.02064,7,3
22,64,0.01437,0.01357,0.01479,84,13,0.01444,0.01343,0.01471,41,12,0.01635,0.01422,0.01722,7,4
23,65,0.01403,0.01387,0.01264,106,15,0.01430,0.01436,0.01262,16,7,0.01545,0.01611,0.01317,3,2
24,66,0.01368,0.01446,0.01560,116,15,0.01397,0.01402,0.01525,16,7,0.01549,0.01474,0.01632,3,2
25,67,0.01390,0.01497,0.01269,129,15,0.01424,0.01548,0.01304,18,8,0.01506,0.01773,0.01445,3,2
26,68,0.01349,0.01461,0.01469,121,14,0.01384,0.01447,0.01503,29,8,0.01532,0.01639,0.01518,3,2
27,69,0.01331,0.01680,0.01535,130,15,0.01424,0.01720,0.01537,29,8,0.01641,0.01623,0.01578,3,2
28,70,0.01436,0.01345,0.01432,130,15,0.01475,0.01276,0.01429,29,8,0.01631,0.01343,0.01499,3,2
29,71,0.01304,0.01538,0.01455,114,15,0.01314,0.01518,0.01463,67,12,0.01525,0.01694,0.01832,7,3
30,72,0.01353,0.01410,0.01506,131,15,0.01401,0.01408,0.01510,29,8,0.01539,0.01567,0.01572,3,2
