run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,11.89386,11.73745,12.61548,49,15,12.08594,11.92306,12.82294,39,14,12.56711,12.40001,13.29645,27,13
2,44,16.70695,16.27207,16.26741,57,15,16.81337,16.37486,16.33833,41,14,17.07254,16.63989,16.55374,33,12
3,45,12.02914,11.60246,11.38529,67,15,12.17152,11.73532,11.43029,53,14,12.40768,11.96167,11.62355,41,11
4,46,10.48209,10.69734,10.49738,49,15,10.49034,10.71895,10.49727,41,14,10.52540,10.77115,10.52308,33,13
5,47,10.76385,10.72314,10.83557,45,15,11.15332,11.03500,11.26563,29,13,11.67377,11.50329,11.81211,23,11
6,48,12.81004,13.27188,13.53140,49,15,13.13946,13.57687,13.83817,39,14,13.78066,14.18798,14.44675,31,12
7,49,12.00001,12.50583,12.13323,57,15,12.12347,12.61406,12.24218,39,14,12.42927,12.87110,12.48801,29,11
8,50,10.01279,10.23419,10.41553,51,15,10.04708,10.22400,10.47273,33,13,10.04708,10.22400,10.47273,33,13
9,51,11.98794,11.86426,11.59579,47,15,12.22918,12.08471,11.86737,37,13,12.39244,12.23034,12.06060,33,13
10,52,11.30363,11.40082,11.41028,69,15,11.37619,11.47260,11.48641,61,13,11.43974,11.53749,11.55006,57,12
11,53,14.35511,14.99345,14.78471,45,15,14.72176,15.29723,15.18289,37,14,15.17481,15.69042,15.65504,31,12
12,54,10.69367,10.96739,10.67366,57,15,10.81172,11.17333,10.82101,49,14,11.22153,11.71733,11.28488,43,12
13,55,12.02898,11.95264,11.83547,39,15,12.26733,12.24260,12.09369,31,13,12.57447,12.60109,12.38967,25,11
14,56,17.48534,17.73632,17.86688,61,15,17.59682,17.71903,17.96714,49,14,17.88601,17.81649,18.23952,41,13
15,57,11.96803,11.98668,12.22557,49,15,12.07705,12.06155,12.33820,35,14,12.39155,12.33018,12.65792,29,12
16,58,11.30151,11.76343,11.57404,57,15,11.38522,11.86702,11.64561,43,14,11.49281,11.98227,11.76116,37,12
17,59,11.95720,11.76802,11.77830,55,15,12.16365,11.94514,11.97872,37,14,12.46123,12.26118,12.25759,29,12
18,60,12.00369,12.22304,12.05727,51,15,12.03880,12.26618,12.10955,41,14,12.34055,12.55009,12.44339,29,12
19,61,12.00909,11.51294,11.88926,47,15,12.21312,11.71661,12.08036,33,12,12.37955,11.88543,12.24244,29,12
20,62,11.82613,11.77834,11.64759,49,15,11.87881,11.84008,11.69055,41,14,12.19997,12.15282,11.96833,31,12
21,63,11.45918,11.33364,11.68677,39,15,11.50884,11.41747,11.66720,31,13,11.60390,11.53722,11.71474,27,12
22,64,11.35659,10.91045,11.02386,41,15,11.55805,11.08723,11.17200,35,14,11.79828,11.31645,11.36541,31,13
23,65,11.88666,12.10077,11.78642,57,15,11.92484,12.12488,11.81738,49,15,12.07201,12.31812,11.96495,41,13
24,66,11.48180,11.31605,10.85113,49,15,11.91757,11.75916,11.24982,39,14,12.26366,12.11108,11.58547,31,13
25,67,11.85690,11.87212,12.33235,45,15,12.00613,11.99694,12.49650,39,14,12.21128,12.11881,12.69040,33,13
26,68,12.02432,12.03397,11.57543,47,15,12.12651,12.10443,11.64141,37,14,12.69191,12.60912,12.14200,33,12
27,69,11.72220,11.96428,11.63067,103,15,11.79323,12.08544,11.77643,93,14,11.92442,12.26199,11.97272,89,13
28,70,15.32764,15.58183,15.38178,57,15,15.68903,15.93160,15.73734,43,13,15.90821,16.13338,15.92179,39,13
29,71,11.97972,12.11058,12.03268,45,15,12.18552,12.32337,12.23207,31,13,12.48242,12.61836,12.51716,25,12
30,72,10.12499,10.22548,10.00922,41,15,10.14008,10.22363,10.02585,33,13,10.18298,10.26691,10.07900,27,12
