run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,10.00154,9.89866,10.24856,39,15,10.01721,9.92244,10.27002,21,11,10.04206,9.95014,10.30138,7,4
2,44,10.04909,9.98761,10.04890,63,15,10.06308,10.00092,10.05935,31,10,10.11346,10.03235,10.09276,15,4
3,45,10.22470,9.82288,10.10867,41,15,10.24011,9.83823,10.11558,23,11,10.28349,9.88262,10.13214,3,2
4,46,10.02333,10.17381,9.87815,51,15,10.05312,10.18245,9.90949,17,10,10.08257,10.20040,9.94383,3,2
5,47,10.03885,10.10182,10.27375,47,15,10.07980,10.13982,10.29212,19,9,10.11604,10.17343,10.30875,5,3
6,48,10.04551,10.22186,10.19525,49,15,10.07580,10.26131,10.22256,25,10,10.10920,10.28524,10.24279,7,3
7,49,9.98727,10.35128,10.21146,45,15,9.99714,10.35734,10.22057,29,13,10.04753,10.42098,10.29360,3,2
8,50,9.98241,10.15753,10.42452,45,15,10.00526,10.17300,10.44903,21,10,10.04866,10.19886,10.50274,3,2
9,51,10.18034,10.08719,10.03678,75,14,10.19118,10.10549,10.04959,51,11,10.19861,10.11314,10.05803,47,11
10,52,9.93837,10.05956,10.21554,51,15,9.95842,10.07318,10.23112,27,14,9.99941,10.11021,10.27394,3,2
11,53,10.12622,9.95266,10.16383,63,15,10.15567,9.98081,10.18640,29,9,10.18895,10.00775,10.20443,15,4
12,54,9.70439,10.30744,9.98005,73,15,9.77602,10.39168,10.03719,55,11,9.99755,10.52433,10.18579,31,5
13,55,10.14414,10.06383,10.01210,47,15,10.17283,10.09984,10.04569,23,11,10.20823,10.14037,10.08012,3,2
14,56,10.13795,9.99191,10.12841,53,15,10.18107,10.03903,10.17421,19,10,10.20470,10.05688,10.19218,7,3
15,57,9.84908,9.86663,9.86677,41,13,9.90660,9.91675,9.93608,19,9,10.16242,10.18688,10.18381,3,2
16,58,10.02470,10.41026,10.08871,41,15,10.03537,10.41742,10.08918,23,11,10.08979,10.46479,10.11838,3,2
17,59,10.09495,10.14011,10.04023,49,15,10.12159,10.15824,10.06300,17,10,10.18522,10.18777,10.11307,3,2
18,60,10.04748,10.39921,9.95156,51,15,10.07462,10.43243,9.99588,21,10,10.11286,10.47357,10.03848,5,3
19,61,10.24082,9.75280,10.11392,45,15,10.25393,9.76966,10.12538,13,9,10.27073,9.81032,10.15665,3,2
20,62,10.10469,10.06444,10.26910,35,15,10.12170,10.08384,10.28063,21,11,10.14627,10.10946,10.29980,3,2
21,63,10.07892,9.85989,10.17175,53,15,10.11197,9.90767,10.18639,29,10,10.15843,9.97309,10.21756,15,4
22,64,9.91970,9.79120,9.94001,37,14,9.92046,9.78710,9.94608,23,11,10.14987,10.05886,10.38173,7,3
23,65,10.07529,10.20138,10.21277,43,14,10.09990,10.20051,10.21942,17,9,10.13504,10.21739,10.23406,5,3
24,66,10.17790,10.06205,9.87769,75,14,10.20177,10.09659,9.88987,55,11,10.24678,10.15553,9.93490,31,5
25,67,10.08017,10.13841,10.15658,41,15,10.08683,10.14738,10.15738,25,11,10.14840,10.22109,10.19688,5,3
26,68,10.09716,10.04417,9.87929,65,15,10.10771,10.06083,9.88925,45,10,10.13258,10.10118,9.92020,31,5
27,69,9.99743,10.29889,9.86521,27,11,10.07133,10.34647,9.88932,13,8,10.15698,10.43801,9.95473,3,2
28,70,10.08890,10.06913,10.22271,49,15,10.11142,10.09108,10.24213,21,10,10.15142,10.12724,10.27854,3,2
29,71,10.07267,10.20965,10.12353,39,13,10.10115,10.22420,10.14556,15,9,10.14486,10.25932,10.16663,3,2
30,72,10.13223,10.19141,9.95971,59,15,10.14970,10.21298,9.98649,25,8,10.17458,10.24044,10.01630,15,4
