run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,9.92949,9.87043,10.24047,134,15,9.97876,9.92962,10.29034,100,13,10.04103,9.98564,10.38670,81,12
2,44,10.24260,10.18687,10.23623,117,15,10.29804,10.28694,10.34013,96,14,10.35424,10.31942,10.38973,70,12
3,45,10.29688,9.87675,10.05949,124,15,10.33603,9.92974,10.13680,98,13,10.40289,10.01531,10.23740,81,12
4,46,10.20609,10.39742,10.09593,117,15,10.23405,10.43246,10.12862,91,13,10.37423,10.58274,10.29047,87,13
5,47,10.07492,10.10949,10.26753,119,15,10.17026,10.19388,10.31613,76,12,10.36115,10.42136,10.45195,52,10
6,48,10.17234,10.33136,10.26979,106,15,10.30186,10.46609,10.43722,50,11,31.37183,31.47444,31.48802,48,10
7,49,10.02624,10.42403,10.32470,126,15,10.09383,10.51809,10.41268,96,13,10.38837,10.85231,10.76573,85,12
8,50,9.87594,10.07816,10.31974,119,15,9.90782,10.12035,10.32946,89,13,9.97676,10.16535,10.38941,61,11
9,51,10.01339,9.87411,9.89910,136,15,10.09080,9.91660,9.96168,95,14,10.24637,10.09449,10.06623,72,11
10,52,10.18776,10.24550,10.48408,124,15,10.24734,10.29516,10.51608,96,13,10.29974,10.35811,10.55508,70,11
11,53,10.26318,10.34660,10.60099,126,15,10.27743,10.36912,10.62779,100,13,10.37512,10.49605,10.72657,61,12
12,54,9.99357,10.38478,10.13619,132,15,10.01621,10.41474,10.14744,98,13,10.07432,10.45130,10.19323,85,12
13,55,10.35835,10.23758,10.16777,124,15,10.41396,10.27285,10.23096,98,13,10.48417,10.36274,10.31217,85,12
14,56,10.23220,10.07725,10.18487,122,15,10.28751,10.19830,10.23684,81,12,10.32380,10.18477,10.28685,70,11
15,57,10.16837,10.26223,10.31523,115,15,10.25320,10.31440,10.40797,70,11,30.21966,29.91839,30.29183,50,12
16,58,10.08887,10.43718,10.18643,140,15,10.11401,10.46021,10.20125,115,14,29.61823,29.83279,29.59986,74,11
17,59,10.04069,10.13492,10.14454,132,15,10.06180,10.19704,10.18904,119,14,10.11015,10.16827,10.17252,91,12
18,60,10.02531,10.48020,10.00052,138,15,10.05753,10.50319,10.03365,108,13,10.17808,10.58675,10.09224,87,12
19,61,10.42760,9.74424,10.34890,108,15,10.74580,10.13255,10.71793,48,11,32.04099,31.91718,32.05527,46,10
20,62,10.08846,10.16963,10.32949,168,15,10.21867,10.28241,10.41745,128,13,15.26292,15.46359,15.03860,115,12
21,63,10.20993,10.03102,10.50013,113,15,10.28750,10.09379,10.58091,74,12,30.57673,30.07926,31.38307,72,11
22,64,10.20110,10.01206,10.16759,128,15,10.35984,10.15310,10.36858,74,11,27.71875,27.28201,26.97193,72,12
23,65,10.10168,10.33589,10.24170,121,14,10.16714,10.34790,10.26776,91,12,10.29255,10.45700,10.36524,74,11
24,66,10.26361,10.13838,9.97396,126,15,10.28291,10.15529,9.96436,98,13,10.62390,10.53079,10.22799,85,12
25,67,10.02646,10.03065,10.28341,111,15,10.12821,10.12646,10.42427,83,13,10.27250,10.30289,10.54924,59,11
26,68,10.31702,10.27861,9.95863,126,15,10.37223,10.39844,9.97989,98,13,10.59342,10.63811,10.17293,68,11
27,69,9.91307,10.22744,9.81776,124,15,9.94877,10.24312,9.82916,98,13,19.05908,18.89954,18.70524,83,12
28,70,10.13754,10.07859,10.27772,136,15,10.17852,10.10757,10.34196,108,13,10.27239,10.19486,10.39911,87,12
29,71,10.13091,10.25084,10.06152,111,15,10.20377,10.31264,10.06907,72,12,10.33676,10.48503,10.31792,70,12
30,72,10.04845,10.16311,9.93781,124,15,10.05803,10.18750,9.95745,111,14,10.07543,10.22711,9.98251,87,12
