run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,9.92161,9.86210,10.20553,120,15,10.21779,10.06144,10.56215,16,7,19.01335,19.09068,19.22730,3,2
2,44,10.36882,10.37283,10.41134,109,15,11.78455,11.62216,11.86305,31,8,18.53361,18.10257,17.90459,3,2
3,45,10.35057,9.95305,10.11198,111,15,10.67701,10.28005,10.30381,31,9,13.53523,13.09350,12.51186,15,4
4,46,10.10185,10.24546,9.97323,119,15,10.48930,10.68112,10.51469,20,7,11.45004,11.49972,11.36034,7,3
5,47,10.31236,10.39112,10.52612,104,14,10.39943,10.42019,10.49686,16,7,14.01003,13.72120,14.21181,3,2
6,48,10.23601,10.48196,10.32402,136,15,10.51592,10.72158,10.57167,42,9,16.89705,17.18964,17.43186,5,3
7,49,10.09168,10.46484,10.40117,113,15,10.54922,10.99747,10.85198,18,7,13.86771,14.10087,13.78417,5,3
8,50,9.91214,10.12889,10.37850,111,14,10.03543,10.16890,10.48134,16,7,10.66336,10.85046,11.02754,3,2
9,51,10.15117,10.04725,10.00674,104,15,10.34285,10.19176,10.16747,22,9,14.06155,13.83549,13.82605,3,2
10,52,10.20986,10.29724,10.57683,121,15,10.31462,10.34759,10.63848,48,11,10.42183,10.48985,10.66013,16,7
11,53,10.35219,10.33891,10.56910,110,15,10.86259,10.69806,10.84654,18,8,18.10399,18.36826,18.62709,3,2
12,54,10.11128,10.45616,10.20714,127,15,10.24267,10.55258,10.27804,30,8,13.94749,14.71950,14.13274,15,4
13,55,10.36155,10.23347,10.21898,120,15,10.69946,10.61331,10.58528,16,7,14.17943,14.30748,13.99455,3,2
14,56,10.31308,10.11271,10.25602,122,15,10.58945,10.41654,10.60520,16,7,19.10838,18.56156,19.44263,15,4
15,57,10.10413,10.14645,10.21686,125,15,10.45649,10.38072,10.56785,48,10,14.17736,14.01486,14.43663,3,2
16,58,10.12104,10.46991,10.21042,115,15,12.05674,12.57370,12.26034,7,3,30.13661,30.33390,30.01978,3,2
17,59,10.23658,10.32967,10.29257,130,15,11.11897,11.19580,11.08498,18,7,29.35398,29.70326,29.51244,3,2
18,60,10.11135,10.53437,10.09982,126,15,10.36426,10.72469,10.29080,16,7,14.11195,14.28120,14.27819,3,2
19,61,10.41817,9.70709,10.42236,134,15,10.78355,10.21134,10.74211,16,7,13.83193,13.36635,13.68125,3,2
20,62,10.35304,10.41336,10.19213,127,15,11.11845,11.02417,11.19885,20,7,13.49361,13.51470,13.17447,7,4
21,63,10.02107,9.75214,10.17639,106,15,10.19894,9.99272,10.27430,43,10,13.07832,13.14564,12.95528,3,2
22,64,10.01388,9.89191,10.01263,115,15,11.11945,10.80553,10.99108,16,7,15.27674,14.73746,14.59631,3,2
23,65,10.15199,10.30918,10.30114,126,15,10.51133,10.62931,10.51738,16,7,30.72896,31.14025,30.75690,3,2
24,66,10.31290,10.33441,10.20156,132,15,11.05303,10.84048,10.52619,16,7,15.19484,15.09924,14.48256,3,2
25,67,10.20635,10.27200,10.45408,130,15,10.34157,10.44716,10.52833,33,8,14.17103,13.83799,14.62466,3,2
26,68,10.27812,10.20877,9.85089,126,15,10.58018,10.58381,10.11092,29,8,14.33261,14.13821,13.69527,3,2
27,69,9.94168,10.23423,9.80035,126,15,10.21772,10.55080,10.05866,29,8,14.26319,14.20949,13.83819,3,2
28,70,10.01193,9.94675,10.13739,132,15,10.57485,10.37718,10.57414,16,7,18.48493,18.38691,18.22794,3,2
29,71,10.21006,10.27730,10.19717,89,13,10.34646,10.42178,10.34107,18,8,14.15348,14.27830,14.13268,3,2
30,72,10.01029,10.13182,9.94981,109,14,10.15141,10.25417,10.03801,16,7,10.79502,10.77267,10.71510,3,2
