run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,33.82045,51.69075,35.20492,51,15,34.41549,51.58844,35.97338,43,13,34.83736,51.54594,36.50849,39,12
2,44,40.11378,38.83183,47.90648,65,15,40.42585,39.24113,48.50189,57,13,40.74663,40.02331,49.22329,49,11
3,45,36.90158,39.01677,38.86764,43,15,37.73914,39.77738,39.80297,35,13,38.24886,40.23950,40.36839,31,12
4,46,32.48260,33.34094,35.99786,41,15,32.76138,33.93948,36.32685,37,14,33.04325,34.59451,36.78630,35,13
5,47,31.81804,28.64003,29.80647,39,15,32.04231,28.59697,29.62500,31,13,32.23530,28.54672,29.50015,27,12
6,48,40.05516,53.75088,36.98969,39,15,40.11960,53.38884,37.07425,35,14,40.37339,53.36834,37.19866,27,12
7,49,29.98879,34.65408,41.87495,43,15,30.36509,35.16216,41.70605,35,13,30.71327,35.66430,41.64211,31,12
8,50,38.19362,35.86517,39.69864,51,15,38.77530,35.81120,39.77874,43,13,39.17484,35.82505,39.87083,39,12
9,51,38.30543,52.01324,47.12418,39,15,38.51582,52.15916,47.08643,31,13,38.69167,52.37791,47.22524,27,12
10,52,37.54913,45.65411,48.84527,39,15,37.86606,45.55734,48.77699,31,13,38.08338,45.44133,48.65439,27,12
11,53,40.09685,35.21402,36.74949,39,15,41.04560,36.06569,37.20908,31,13,41.65304,36.68771,37.44854,27,12
12,54,35.53473,44.81021,37.69240,39,15,36.06481,45.07386,38.38525,31,13,36.48161,45.29568,38.89406,27,12
13,55,31.77124,35.94240,33.16997,39,15,31.84175,35.95003,33.27248,31,13,31.93465,35.77536,33.20413,27,12
14,56,41.11204,36.59084,39.58207,39,15,42.17435,37.52846,40.78847,31,13,42.78853,38.08092,41.50928,27,12
15,57,36.44466,39.81329,38.39183,39,15,36.64761,39.85831,38.95017,31,13,36.76432,40.01502,38.88321,27,12
16,58,32.47444,33.47300,33.18354,43,15,33.24807,33.53381,34.23722,35,13,33.72048,33.60889,34.92540,31,12
17,59,38.13035,40.93647,39.70536,41,15,38.43464,41.12132,40.07276,35,14,38.73686,41.31657,40.46954,31,13
18,60,42.03738,42.28779,45.31464,39,15,42.42355,42.38640,45.52011,31,13,42.65744,42.46912,45.65609,27,12
19,61,38.18720,40.40385,34.17748,39,15,38.58787,40.40805,34.63810,31,13,38.85355,40.44867,34.90315,27,12
20,62,39.14578,34.36840,39.68106,39,15,39.61880,35.36470,40.22531,31,13,40.17843,36.14784,40.82859,27,12
21,63,41.87523,41.65226,46.33165,43,15,43.01028,42.62754,47.57647,35,13,43.72192,43.24509,48.37283,31,12
22,64,31.76875,31.77669,34.15810,45,15,32.41561,32.16133,34.74035,35,13,33.04426,32.59219,35.39462,27,11
23,65,34.33022,33.40332,33.11764,39,15,35.20473,34.15949,33.89980,31,13,35.69528,34.53926,34.34125,27,12
24,66,36.62995,38.01650,38.45555,39,15,36.97757,38.32283,38.86948,31,13,37.34019,38.74724,39.28360,27,12
25,67,31.28943,27.78300,40.17804,37,15,31.38078,27.97727,40.48558,31,13,31.47148,28.15123,40.74644,27,12
26,68,38.49643,36.55956,37.20920,39,15,38.77255,37.13858,38.33279,31,13,38.97738,37.53323,38.99718,27,12
27,69,36.13636,37.93967,35.28923,63,15,36.25097,38.13784,35.35764,59,14,36.54514,38.29187,36.12499,51,12
28,70,49.70904,49.56282,51.53444,39,15,50.12865,49.95438,51.88919,31,13,50.41086,50.11159,52.15620,27,12
29,71,32.19643,32.10674,31.49871,39,15,32.86582,33.13266,31.86854,31,13,33.39217,33.80952,32.19081,27,12
30,72,37.01320,40.40814,37.26719,41,15,37.27509,40.56676,37.62469,37,14,37.80468,40.93158,38.33641,27,12
