run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,26.37176,34.41517,26.78597,39,15,27.14278,34.26495,26.73394,19,10,27.84194,34.42192,26.87307,3,2
2,44,21.92063,30.03782,34.15255,35,14,24.28819,21.23850,36.78909,11,8,27.53172,27.75783,33.44604,3,2
3,45,23.27214,30.24429,30.68823,41,15,26.12963,32.39650,34.00833,11,8,28.05514,33.58900,26.88971,3,2
4,46,26.61890,22.46462,32.57153,39,15,27.27702,23.20222,33.15600,23,11,29.85874,24.71571,31.54254,3,2
5,47,23.56377,24.27633,30.13375,39,15,25.01650,25.32806,30.42340,15,9,28.14246,27.98120,28.28449,3,2
6,48,21.10469,36.43027,37.78355,43,15,23.37892,33.84989,36.37715,23,10,28.35047,32.78352,35.21567,7,3
7,49,24.57875,35.08368,37.70608,39,15,26.37751,28.94726,36.27839,15,9,28.35347,28.98792,36.43320,3,2
8,50,20.90028,26.95609,37.98733,67,15,23.07356,31.83737,40.43748,39,8,25.80721,34.78484,37.55267,31,5
9,51,26.20903,48.48363,32.20500,39,15,27.93168,28.79408,29.72774,15,9,30.24317,27.77302,25.42113,3,2
10,52,21.21514,34.10393,30.96203,39,15,22.47791,32.97781,30.94309,23,11,24.73775,38.48732,34.23415,3,2
11,53,24.26630,24.90517,33.81850,39,15,24.57982,24.14320,34.05591,27,12,28.14969,26.64721,33.97118,3,2
12,54,21.89230,29.23983,28.80505,39,15,25.24518,30.70182,26.33633,19,10,28.16488,32.03470,22.37897,3,2
13,55,25.91796,30.91976,29.48603,39,15,26.53181,30.68481,28.95428,23,11,27.45830,31.26966,28.93138,3,2
14,56,24.88496,34.60711,34.82972,31,12,26.68340,31.83989,41.21981,11,7,29.40223,30.89344,40.12657,7,3
15,57,23.69501,29.77146,32.09811,51,15,24.70565,30.28589,30.98863,27,9,26.24491,30.86481,31.00342,15,4
16,58,21.45609,34.10210,21.49108,39,15,23.91221,37.11301,22.37107,15,9,26.16493,37.61347,18.75467,3,2
17,59,25.93416,32.86064,27.58036,39,15,26.83180,32.25240,27.13004,11,8,28.09305,32.59298,27.02371,3,2
18,60,24.31570,33.34711,35.93824,35,14,26.06102,32.41605,38.04265,19,10,28.96158,27.67006,34.53105,7,3
19,61,26.07429,30.23203,31.42460,39,15,26.56645,30.23377,31.25652,19,10,27.55367,30.28075,31.07792,3,2
20,62,30.32731,26.64964,23.52591,37,15,30.53137,26.72116,23.44095,17,10,30.73213,26.81251,23.45817,3,2
21,63,24.82945,30.83659,56.25441,51,15,25.42630,30.76812,48.66398,35,11,26.92358,31.79732,39.01562,15,4
22,64,26.22889,27.67092,30.87841,43,15,26.43707,27.65539,31.12350,23,10,26.68699,27.82000,31.43552,7,3
23,65,24.91164,29.52162,27.59958,39,15,26.68408,30.29776,28.07137,15,9,28.25152,30.56154,28.47187,3,2
24,66,22.48390,27.11025,34.63844,47,14,25.71804,26.97523,31.69748,23,8,28.58164,29.65419,30.16412,15,4
25,67,21.56577,29.87064,35.41924,39,15,23.42470,23.44559,41.59534,23,11,26.58036,24.19240,38.11529,3,2
26,68,24.70404,30.65412,25.73172,43,15,26.74552,29.48080,27.88767,27,11,29.93341,29.56798,31.80692,3,2
27,69,23.79668,30.63280,30.13810,49,15,26.00918,30.12889,27.51261,25,9,29.27245,34.03135,28.42474,13,4
28,70,24.75816,32.08245,38.71601,49,15,24.76161,32.08395,38.71207,29,10,24.76684,32.08702,38.71452,13,4
29,71,27.89760,24.90881,35.65120,97,15,27.98315,24.97445,35.74470,69,8,28.03919,24.98676,35.77172,61,6
30,72,23.26943,37.64775,35.62664,39,15,24.03958,38.40368,36.73058,15,9,25.34473,36.63216,35.14225,3,2
