run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,22.84559,28.59566,25.10559,120,15,24.06075,29.34761,24.99323,94,13,64.48373,61.81095,67.81430,81,12
2,44,22.36385,27.84871,32.61549,132,15,25.04031,28.57243,31.82726,93,12,76.70255,68.41464,70.19616,80,11
3,45,22.61824,28.84627,28.10614,120,15,23.59302,28.43030,27.89396,94,13,24.61966,29.33004,28.79901,81,12
4,46,23.01424,22.83585,31.55936,124,15,23.38349,23.67204,31.20029,98,13,24.28370,23.45602,32.49761,85,12
5,47,21.66167,31.26272,24.56284,120,15,23.08024,30.19026,23.26094,94,13,25.48739,30.20292,25.85859,68,11
6,48,20.81001,34.23685,32.18567,124,15,21.68567,34.81222,33.03120,98,13,22.91064,34.41263,32.94270,85,12
7,49,21.72842,32.45383,36.12332,124,15,23.39451,36.37622,34.57617,85,12,26.50755,34.40390,39.24657,59,10
8,50,21.41838,26.95590,37.37638,120,15,21.85036,27.05989,36.23178,94,13,23.21303,29.71723,36.81040,81,12
9,51,23.54040,25.12556,23.43414,122,15,24.54033,27.03551,24.81022,96,13,25.55624,27.90606,23.07564,81,12
10,52,19.75915,36.04141,31.30416,120,15,20.35815,34.66085,32.15008,94,13,21.79745,33.07012,30.51260,68,11
11,53,23.87792,26.12532,30.15468,120,15,24.55556,28.48413,28.03205,94,13,26.94840,30.11264,28.06867,68,11
12,54,22.13726,34.92334,27.11659,120,15,23.10915,35.63338,28.28713,94,13,48.47030,47.89053,49.82268,81,12
13,55,23.04062,25.93997,27.54259,120,15,23.20283,26.25175,28.07274,107,14,25.29112,28.25648,27.36234,81,12
14,56,23.31924,27.62794,21.26318,122,15,24.57779,25.75132,20.81841,96,13,26.24883,25.40037,21.90355,83,12
15,57,20.82157,482.47470,27.32485,148,15,22.27960,481.14108,27.82037,109,12,24.89869,484.69418,30.51687,96,11
16,58,21.76433,41.98627,20.47247,120,15,22.29048,37.29267,21.89771,94,13,24.93507,43.69213,23.28373,68,11
17,59,23.74719,36.55981,20.57436,120,15,23.86242,36.68429,20.35073,107,14,25.48597,37.13787,20.94440,94,13
18,60,21.13463,24.76054,31.68122,132,15,23.62335,20.65925,33.17842,93,12,27.48557,26.67850,30.93246,80,11
19,61,20.55498,23.61462,33.16557,124,15,22.01449,27.76164,31.59178,98,13,24.09521,25.46651,32.92025,85,12
20,62,22.80242,25.68865,22.50492,124,15,23.39375,29.15368,22.56833,111,14,24.65300,27.58408,23.06216,85,12
21,63,22.08231,33.48733,31.06607,120,15,22.62797,33.41401,31.08988,107,14,26.63240,36.61153,28.17684,81,12
22,64,21.86460,28.01119,34.33727,124,15,23.25410,26.78281,34.06807,85,12,26.28491,27.85435,35.30210,72,11
23,65,20.94725,26.83821,32.28717,120,15,21.87295,26.13819,30.43956,94,13,26.29632,26.65685,28.95932,81,12
24,66,21.39766,25.13370,33.53081,180,15,22.00042,24.09499,33.04370,154,13,26.50346,28.57301,28.34515,128,11
25,67,20.44223,30.22301,36.55894,120,15,21.27337,30.94445,35.37196,94,13,23.80964,27.77891,35.77609,81,12
26,68,22.83870,26.93926,26.00939,120,15,23.82810,26.50307,27.92570,94,13,26.54903,26.52014,26.67387,68,11
27,69,21.69598,32.09192,31.60972,180,15,23.17035,30.57310,32.46726,154,13,25.29855,33.58952,32.54723,128,11
28,70,20.06328,36.13807,37.06426,120,15,20.47519,36.93911,35.89788,107,14,21.49155,37.48674,35.10493,81,12
29,71,22.82505,29.77665,27.23505,120,15,23.03815,29.71029,27.89345,107,14,24.00391,29.89350,30.94243,81,12
30,72,20.34666,36.56383,33.35758,120,15,20.70471,34.54852,32.12374,94,13,71.05332,70.60668,71.94261,68,11
