run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,23.68310,45.88887,27.32680,120,15,27.44816,37.24116,27.30655,16,7,54.49643,51.79048,57.60160,3,2
2,44,24.18551,29.62701,36.61757,120,15,25.74304,30.17772,35.02870,81,12,28.63103,29.42781,31.11270,29,8
3,45,22.75428,32.05674,32.59795,126,15,30.96166,34.80307,30.96017,20,7,41.46408,43.22380,43.89033,7,3
4,46,23.88980,24.36798,30.77188,120,15,26.76480,24.26679,31.27198,55,10,35.68295,39.47986,40.16549,7,3
5,47,23.43640,23.55500,26.90271,120,15,28.01094,27.97752,33.04385,29,8,33.52169,29.03325,29.64801,3,2
6,48,21.38820,33.75817,35.56276,120,15,27.25010,32.37883,33.56654,29,8,76.36909,76.14577,71.52338,3,2
7,49,22.94678,37.20414,39.63282,124,15,25.96660,35.44099,42.17055,59,10,32.65687,37.52065,41.91826,7,3
8,50,23.67623,31.33390,32.40533,124,15,27.27636,34.20395,36.86566,20,7,72.42277,63.80369,66.28598,7,3
9,51,25.25605,31.12391,25.75661,120,15,28.15137,32.08372,24.23262,42,9,39.64285,53.02201,47.20635,3,2
10,52,21.52971,35.54995,30.32177,120,15,24.36375,38.93740,32.26147,29,8,39.64233,45.04694,48.02364,3,2
11,53,25.30460,23.05937,32.29724,120,15,27.93461,26.64681,32.41365,42,9,44.80755,39.60250,39.31294,3,2
12,54,21.99916,31.01424,23.84451,120,15,28.06549,31.94786,22.87099,42,9,38.72549,46.62560,41.52604,3,2
13,55,24.62909,30.33621,31.09093,126,15,26.56383,30.84350,30.61937,59,10,32.36649,35.87448,33.53528,3,2
14,56,23.77383,26.16681,31.92780,120,15,24.61768,28.27196,32.26662,107,14,74.74855,71.61344,74.53843,55,10
15,57,22.73066,27.72207,34.25616,107,14,29.51213,29.39517,31.00755,29,8,37.76808,40.74497,40.86674,3,2
16,58,21.50655,36.97985,18.60483,120,15,29.30761,36.17492,25.39453,20,7,36.57037,34.47608,38.64490,7,3
17,59,24.91353,28.57550,27.93596,120,15,28.85983,33.10008,26.35363,29,8,53.17513,51.81642,54.05307,3,2
18,60,22.88314,29.07402,36.67405,107,14,27.04838,30.44352,30.59433,42,9,44.42193,43.43144,46.62980,3,2
19,61,23.60682,30.39517,39.98231,124,15,26.16126,30.49228,39.95199,46,9,40.65900,41.06231,36.87597,3,2
20,62,26.01462,36.80360,28.47466,120,15,29.03292,35.48621,28.20657,29,8,42.07773,39.38304,42.84963,3,2
21,63,22.06463,34.51109,29.29473,124,15,28.61295,33.44442,29.71305,20,7,47.80548,46.85519,52.74833,7,3
22,64,21.68108,32.43343,32.30165,124,15,25.66578,28.94425,31.44637,33,8,34.95894,34.00027,37.17430,7,3
23,65,24.66027,28.15411,27.20386,120,15,28.26272,30.36083,29.89334,29,8,38.93742,37.22105,37.35911,3,2
24,66,22.23964,27.74549,33.76825,120,15,28.88900,27.50721,34.34099,42,9,39.05224,40.61433,41.18271,3,2
25,67,23.77957,28.23022,38.82814,120,15,26.27758,25.04831,37.95131,55,10,32.57748,29.78110,42.73651,3,2
26,68,25.02075,30.20766,25.95947,94,13,32.33863,24.83442,32.03975,29,8,40.43819,39.51402,42.27865,3,2
27,69,23.71883,31.10655,27.29645,124,15,28.97879,32.12388,29.37121,46,9,38.09590,39.60625,39.22805,31,5
28,70,20.99102,43.12572,32.38034,120,15,24.35266,46.20062,33.57244,29,8,52.18652,51.92952,53.78794,3,2
29,71,24.28858,25.02199,25.68382,107,14,27.80738,26.11071,31.47862,29,8,35.92583,37.29132,33.93576,3,2
30,72,22.01320,32.18359,32.40951,120,15,24.42376,31.98461,32.36124,42,9,39.92784,42.43102,40.90318,3,2
