run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,168.00549,185.21422,204.94910,39,15,168.78734,186.07205,205.64223,31,13,169.23758,186.56544,206.04105,27,12
2,44,73.35008,88.43676,119.78484,45,15,74.12170,89.24371,120.42698,37,14,74.82923,89.99084,121.02010,33,13
3,45,157.90019,176.61800,138.99294,41,15,158.22205,176.90723,139.21982,35,14,158.52881,177.18359,139.43915,31,13
4,46,88.68337,125.66862,130.84120,39,15,88.78481,125.53144,130.68146,31,13,88.94720,125.42509,130.54977,23,11
5,47,110.47744,125.21669,78.57520,39,15,110.80368,125.55627,78.74618,31,13,111.22008,125.99706,78.97870,23,11
6,48,104.80064,125.02408,173.09007,39,15,105.78262,126.04572,173.92188,31,13,106.50058,126.78500,174.52899,27,12
7,49,76.26482,106.74587,77.51904,39,15,76.86745,107.27963,78.17326,35,14,78.23230,108.49164,79.65600,27,12
8,50,111.51344,98.60066,145.87575,41,15,111.86539,98.98613,146.26111,35,14,112.84478,100.05831,147.32405,29,12
9,51,166.09065,146.25513,156.05202,77,15,166.38091,146.31720,156.30942,67,14,166.96965,146.45624,156.83577,57,12
10,52,145.27905,135.47475,117.95065,41,15,145.44464,135.90604,118.54376,33,13,145.50786,136.11151,118.90234,27,12
11,53,117.08597,132.70454,94.52837,39,15,117.19878,132.54570,94.88333,31,13,117.26445,132.75739,94.81807,25,12
12,54,127.71102,108.05798,134.09198,39,15,128.44958,108.53165,134.61693,31,13,128.87024,108.80866,134.92523,27,12
13,55,115.99659,117.26800,134.09822,41,15,116.50337,117.82181,134.58624,35,14,117.34821,118.74282,135.39586,27,12
14,56,111.54653,151.06683,147.35892,43,15,111.84879,151.48834,147.84071,39,14,112.15708,151.88263,148.30011,35,13
15,57,111.02142,81.32932,91.89972,39,15,111.04562,81.22151,91.93034,31,13,111.08701,81.19835,91.97965,27,12
16,58,103.41026,132.91507,132.24611,39,15,104.24776,133.81689,132.97459,31,13,104.70926,134.30890,133.37447,27,12
17,59,136.13428,163.74500,117.77525,43,15,136.24144,163.74384,118.08589,35,14,136.44902,163.75246,118.68453,27,12
18,60,115.76732,148.61478,139.51465,41,15,116.12349,149.02495,139.86568,35,14,116.85558,149.86011,140.58455,27,12
19,61,133.19438,185.35536,119.41188,47,15,133.55182,185.51627,119.64322,39,14,134.13988,185.78735,120.03179,33,13
20,62,99.03299,155.37328,128.39180,41,15,99.97003,156.23824,128.99010,31,13,100.92074,157.10893,129.60541,23,11
21,63,122.38796,108.44839,123.87084,39,15,122.83335,108.95610,124.27984,35,14,123.26241,109.44428,124.67426,31,13
22,64,125.76586,175.63394,195.97523,45,15,125.96390,175.70668,196.27950,37,14,126.35906,175.85878,196.87309,29,12
23,65,107.10828,119.78732,111.72633,43,15,107.67390,120.26096,112.20635,35,13,108.37184,120.86054,112.81006,27,11
24,66,122.56549,92.41531,159.02431,39,15,123.06175,92.76619,159.50945,35,14,123.64119,93.18285,160.07454,31,13
25,67,105.25436,86.42848,117.74677,39,15,105.51002,86.72158,117.75561,31,13,105.82835,87.09186,117.64253,23,11
26,68,89.21268,96.87936,79.35050,43,15,90.09270,97.79345,80.33940,35,14,91.37486,99.12170,81.77575,29,12
27,69,125.05157,119.04109,80.43254,39,15,125.15450,118.94511,80.42878,35,14,125.39994,118.75585,80.43881,27,12
28,70,100.10741,84.25499,120.20925,39,15,100.16502,84.28464,120.23496,35,14,100.44373,84.52691,120.45801,27,12
29,71,139.23288,121.31393,129.05716,51,15,139.72197,122.03488,129.89661,43,13,140.45352,123.10100,131.13770,35,11
30,72,198.33748,187.63643,142.14502,39,15,199.67445,188.89378,143.52820,31,13,200.46623,189.63815,144.34628,27,12
