run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,86.20028,115.79707,123.30629,39,15,86.51338,116.05644,123.63992,19,10,87.49690,116.84457,124.70782,3,2
2,44,32.97314,40.00552,70.54582,37,14,33.03046,40.10611,70.52096,21,10,33.22371,40.40526,70.59982,5,3
3,45,96.19836,87.87389,91.40340,33,14,96.19842,87.87392,91.40345,7,7,96.19843,87.87392,91.40346,3,2
4,46,82.89738,123.17943,128.21519,33,14,83.11650,123.34177,128.39606,11,8,83.69436,123.97897,128.93134,3,2
5,47,68.13893,83.97551,59.28557,39,15,68.13927,83.97543,59.28611,23,11,68.14098,83.97567,59.28747,3,2
6,48,78.48296,93.64156,151.95158,39,15,79.38971,94.53698,152.66466,23,11,80.40781,95.51308,153.52467,3,2
7,49,36.47772,64.56334,36.58659,41,15,36.65242,64.35744,36.67098,11,8,36.85291,64.45139,36.91397,3,2
8,50,98.06496,79.67293,121.76759,45,15,98.36848,79.95895,122.09686,23,11,99.65643,81.37965,123.66991,3,2
9,51,106.90479,99.86454,81.62169,41,15,107.02341,99.95353,81.70997,27,12,108.43076,101.00043,83.03654,3,2
10,52,99.80767,91.54650,101.01073,35,7,99.80767,91.54649,101.01075,29,5,99.80767,91.54649,101.01075,29,5
11,53,102.34869,118.52430,70.99657,31,13,102.56664,118.93955,71.23335,11,8,103.40981,125.69940,73.48434,3,2
12,54,95.28865,95.79901,117.21844,39,15,95.75317,96.12621,117.56525,19,10,97.38299,97.62850,118.82356,3,2
13,55,98.55611,94.11729,116.66952,39,15,98.64255,94.17982,116.74886,19,10,98.87098,94.42221,116.99232,3,2
14,56,86.16960,122.73274,105.71877,43,14,86.67181,123.20770,106.21021,21,9,90.27907,128.18901,111.34911,7,3
15,57,45.52869,37.89776,43.35080,39,15,45.59636,37.98734,43.52836,15,9,45.80035,38.00708,43.52366,3,2
16,58,75.96243,104.51449,113.75896,39,15,76.25965,104.59510,113.91357,15,9,77.10999,105.93230,114.66437,3,2
17,59,90.26632,147.11354,69.39355,37,14,90.66700,147.69006,69.75964,11,8,91.24294,148.15627,70.19588,3,2
18,60,88.30614,126.85566,117.06799,49,15,88.33404,126.87187,117.08091,29,10,88.38190,126.90961,117.11805,13,4
19,61,87.58778,137.14867,89.02946,43,15,87.68571,137.23999,89.09360,11,7,87.79450,137.29314,89.17443,7,3
20,62,78.56964,140.98459,128.73093,7,7,78.56966,140.98462,128.73097,3,2,78.56966,140.98462,128.73097,3,2
21,63,103.52812,78.33209,117.71825,53,15,103.53077,78.33118,117.72427,19,7,103.53265,78.33356,117.72556,15,4
22,64,41.07987,68.06413,58.59881,47,10,41.08211,68.06461,58.59887,35,7,41.08359,68.06594,58.60078,31,5
23,65,96.67039,112.34949,100.54587,41,15,97.40142,113.06245,101.21965,21,10,99.30661,110.71935,101.46322,3,2
24,66,95.07008,90.36383,128.41451,45,15,95.14155,90.42757,128.49530,13,8,95.30579,90.59389,128.67351,3,2
25,67,101.65589,82.93191,117.22309,27,12,101.80570,83.04560,117.38984,7,7,102.00531,83.28454,117.54591,3,2
26,68,48.71834,40.71788,25.68000,27,12,48.81923,40.79086,25.74774,7,7,49.03056,41.13615,25.85856,3,2
27,69,77.50526,88.36778,60.89520,55,15,77.50753,88.37139,60.89888,35,11,77.51336,88.37814,60.90354,15,4
28,70,91.29089,86.26414,97.84243,45,15,91.41547,86.35013,97.88042,19,9,91.66074,86.53105,98.02967,3,2
29,71,79.13053,60.97717,49.33142,61,6,79.13053,60.97717,49.33142,61,6,79.13053,60.97717,49.33142,61,6
30,72,99.88913,113.48825,82.98291,43,15,100.32101,113.90983,83.34126,19,9,101.04280,114.54710,83.75211,7,3
