run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,61.74053,92.88098,98.99907,124,15,69.88888,98.08185,101.14839,96,13,83.70263,105.06536,114.17328,85,12
2,44,32.15685,32.74656,72.51814,124,15,33.64051,35.64595,75.48760,87,12,37.47763,42.52015,85.64838,83,12
3,45,92.54225,84.55923,74.67640,111,15,102.04154,94.49856,86.88130,70,12,130.82335,129.04901,104.99259,55,10
4,46,57.63431,99.14372,103.58990,122,15,62.79263,97.94276,103.42591,83,12,70.62611,101.43111,106.86170,70,11
5,47,78.53427,91.67803,62.42923,120,15,79.51895,91.81467,62.77765,94,13,85.44034,97.28774,56.75791,81,12
6,48,60.39565,74.30119,130.66667,122,15,62.40049,77.73490,132.16209,96,13,65.14563,82.45183,132.41542,94,13
7,49,39.48635,72.12501,34.20786,122,15,39.93206,71.55852,35.32265,109,14,40.93526,74.49562,35.43030,81,12
8,50,74.97055,70.56445,99.34919,107,14,75.91380,69.95796,103.47785,81,12,77.53439,72.40698,104.40844,55,10
9,51,84.86522,98.87521,79.19086,120,15,89.33044,98.77099,74.19604,81,12,147.95729,135.99478,126.66901,68,11
10,52,82.91974,62.78328,43.41920,124,15,87.63556,65.48060,50.27715,83,12,104.10107,80.57526,63.67310,72,11
11,53,79.50025,98.10892,46.83531,115,14,82.70325,99.60204,46.36079,87,12,96.42119,116.64006,63.06237,74,11
12,54,69.74364,76.39412,95.61639,120,15,71.18311,75.59274,95.83658,94,13,84.10847,78.69083,104.08952,81,12
13,55,74.39995,65.95735,88.41297,120,15,74.73173,65.77675,87.99195,107,14,80.99983,77.98750,98.89717,81,12
14,56,65.73293,93.58859,76.91935,120,15,65.99934,93.13146,77.53723,94,13,96.00744,127.80624,118.17142,81,12
15,57,78.20146,58.71698,62.93711,122,15,82.55421,64.18955,65.26749,83,12,105.57481,79.79386,85.27431,57,10
16,58,67.39774,91.95547,105.61858,122,15,68.57858,94.51978,106.93233,83,12,82.22781,104.13065,115.81735,68,11
17,59,63.75462,105.61686,53.16287,122,15,66.79380,111.81304,50.65329,96,13,116.88308,155.91550,84.23535,70,12
18,60,65.73944,102.89075,87.28627,120,15,65.91100,103.03539,87.32503,107,14,103.92088,136.52019,123.30386,81,12
19,61,89.28835,150.67307,86.53636,124,15,89.38138,151.26208,87.10353,111,14,91.34855,153.87561,88.32888,85,12
20,62,58.00674,109.90995,101.35776,120,15,58.37826,110.08099,101.92429,94,13,64.08144,114.57466,104.16854,81,12
21,63,78.99983,68.67938,90.38585,122,15,81.92690,70.42011,93.99776,96,13,85.17908,74.99470,96.55103,70,11
22,64,66.38226,108.76998,127.18010,120,15,79.60009,115.84904,137.53760,81,12,103.25462,135.41130,157.87395,68,11
23,65,75.17426,89.52808,79.48428,124,15,79.95348,94.02118,81.83208,72,11,89.59000,105.99151,97.38185,59,10
24,66,76.04149,68.67841,97.18781,122,15,76.65250,67.47182,96.78671,94,13,79.31839,71.56808,101.80576,81,12
25,67,72.56243,54.19788,94.55936,120,15,75.63518,55.99712,95.05800,81,12,81.75843,60.60480,95.66709,55,10
26,68,49.76797,50.69223,27.57939,120,15,50.54690,52.34673,28.58264,94,13,53.56713,56.77724,33.55713,81,12
27,69,70.93628,89.95095,49.88838,122,15,74.34493,95.40112,57.80594,83,12,85.02618,106.77306,74.21780,81,12
28,70,73.73734,58.56355,95.51715,122,15,74.51431,58.53760,94.76138,81,12,82.30180,57.98964,100.45782,55,10
29,71,96.53545,63.15277,61.57566,136,15,99.36384,67.54712,67.30935,108,13,114.30490,90.67057,90.52406,95,13
30,72,84.76164,96.52488,63.18871,122,15,85.83662,97.45131,64.28822,109,14,117.63177,119.49567,92.68568,94,13
