run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,80.70483,100.24810,102.01969,120,15,107.00617,121.16506,115.96541,29,8,174.86154,170.90848,174.06346,3,2
2,44,36.08834,41.27237,82.13071,124,15,38.61254,43.85966,86.09469,31,8,80.13899,95.51712,125.46399,5,3
3,45,97.27704,99.52526,77.87736,122,15,123.43382,137.62418,109.78966,42,9,160.90532,179.32512,141.20572,3,2
4,46,65.61567,96.74397,101.94396,120,15,73.79150,110.05093,113.24855,29,8,89.46996,125.20435,130.27734,3,2
5,47,84.59859,88.89568,58.12214,120,15,90.50085,91.84296,64.29483,68,11,112.24279,127.09254,79.58157,3,2
6,48,58.64635,71.81417,133.47343,107,14,71.10074,86.94763,147.47350,42,9,109.50702,129.87180,177.03903,3,2
7,49,41.10226,73.47197,33.62270,120,15,51.78097,82.52420,47.09019,16,7,82.39713,112.18047,84.12708,3,2
8,50,79.09035,69.34379,101.89126,120,15,83.76649,71.11295,112.15909,42,9,115.06294,102.48486,149.68062,3,2
9,51,86.92712,88.02047,70.62085,120,15,124.21407,123.51512,107.30061,29,8,198.71704,175.20815,180.54085,3,2
10,52,88.46264,72.80376,49.89056,120,15,102.17764,85.08111,76.81919,55,10,145.98387,137.31830,120.93848,3,2
11,53,90.90504,105.37981,65.09231,124,15,94.71386,109.47086,68.14838,57,10,117.77312,132.51382,96.00419,3,2
12,54,83.91385,77.99224,102.82828,120,15,97.30331,87.42334,109.42393,29,8,131.32230,110.49951,136.73430,3,2
13,55,79.99108,75.02998,96.15677,107,14,90.75275,87.57780,106.17563,33,8,120.27092,121.90756,138.18777,3,2
14,56,73.53608,107.44849,93.83294,124,15,78.51101,115.42663,106.57859,46,9,114.41038,154.81177,151.62785,7,3
15,57,83.17224,72.18650,67.65803,120,15,94.97608,75.91371,76.77765,29,8,111.37023,81.27038,92.30795,3,2
16,58,63.24025,93.19037,100.38499,120,15,73.58248,100.74102,110.65219,29,8,107.48846,137.23352,135.78502,3,2
17,59,81.38664,139.59406,56.44900,120,15,102.87252,156.77431,65.86915,42,9,137.28912,163.91734,120.65466,3,2
18,60,70.15995,114.92673,95.77792,120,15,83.92371,123.23550,107.44453,42,9,119.13374,152.39694,142.80641,3,2
19,61,97.40825,160.52621,91.69725,124,15,112.90625,175.16806,106.03774,20,7,136.08235,186.71638,121.37741,7,3
20,62,57.44336,112.15305,104.11593,120,15,69.76963,122.04855,99.79057,42,9,103.36091,159.31770,131.21626,3,2
21,63,84.79414,66.31069,96.09975,109,15,95.97006,80.64026,102.73144,44,10,126.58920,113.21783,127.74657,3,2
22,64,68.25533,103.60279,125.79427,109,14,109.68161,138.05167,169.74826,29,8,181.61293,209.55888,240.55986,3,2
23,65,73.34643,86.75932,72.84497,100,13,78.43287,90.53125,77.15692,72,11,110.03234,122.27496,114.26032,7,3
24,66,82.58050,79.56664,115.09165,94,13,101.01524,90.95868,134.24878,16,7,127.44243,96.03677,163.75764,3,2
25,67,75.68807,53.57214,96.17265,120,15,84.15696,61.10939,105.65553,42,9,106.81714,88.24666,117.61259,3,2
26,68,50.05943,50.83230,32.10751,120,15,61.68095,67.39621,47.19238,16,7,95.47183,103.34840,86.33263,3,2
27,69,81.31824,93.95246,60.72322,122,15,92.80195,111.86071,71.34772,42,9,126.28659,118.25805,80.63632,3,2
28,70,72.09359,57.47654,89.28823,120,15,82.80804,62.30064,103.35281,42,9,101.11124,85.10000,120.88326,3,2
29,71,94.19059,59.57017,63.09951,132,15,101.86294,69.51164,64.93234,54,9,142.44981,125.96390,134.44481,15,4
30,72,89.85696,102.05614,69.84418,124,15,120.35620,136.11269,95.39188,33,8,204.33286,192.78641,147.30472,3,2
