individual,metric,mean,std,median,iqr,q1,q3
best_fitness,train_rmse,9.501948666666665,1.2270404782653297,9.52975,1.4911375000000007,8.665315,10.1564525
best_fitness,val_rmse,10.166477333333335,2.5399618942076923,9.803705,2.5235100000000017,8.547162499999999,11.0706725
best_fitness,test_rmse,10.398576,2.540304818319359,9.619745,1.2164824999999997,9.0208975,10.23738
best_fitness,nodes,51.8,7.0973525904454995,50.0,8.0,47.0,55.0
best_fitness,depth,14.966666666666667,0.18257418583505533,15.0,0.0,15.0,15.0
best_normalized,train_rmse,9.728212666666668,1.4031605134246128,9.640815,1.5207625,8.779035,10.2997975
best_normalized,val_rmse,10.328255333333335,2.5986217564459095,9.955955,2.6680349999999997,8.740115,11.40815
best_normalized,test_rmse,10.589020999999997,2.5708304342188466,9.805485000000001,1.766515,9.120845,10.88736
best_normalized,nodes,38.53333333333333,5.500679163918562,37.0,7.5,35.0,42.5
best_normalized,depth,13.7,0.651258728182957,14.0,0.75,13.25,14.0
smallest,train_rmse,10.042001333333335,1.5749196741831617,9.936309999999999,1.6212675,8.837915,10.4591825
smallest,val_rmse,10.622201333333331,2.691221967059642,10.352135,3.0271925,8.900895,11.9280875
smallest,test_rmse,10.928321666666667,2.546907071300788,10.057105,2.3944100000000006,9.4887175,11.8831275
smallest,nodes,31.0,5.2259300442683125,31.0,5.5,29.0,34.5
smallest,depth,12.3,0.8366600265340756,12.0,1.0,12.0,13.0
