individual,metric,mean,std,median,iqr,q1,q3
best_fitness,train_rmse,22.234818999999998,3.7409178828236795,22.37209,5.5474,19.000875,24.548275
best_fitness,val_rmse,22.028451333333336,3.4426968336553,22.466015,4.843642499999998,19.4825225,24.326165
best_fitness,test_rmse,21.726816333333332,3.8104667387916953,22.046235,4.849755000000002,18.707092499999998,23.5568475
best_fitness,nodes,54.86666666666667,7.161840128276287,54.0,11.0,49.5,60.5
best_fitness,depth,15.0,0.0,15.0,0.0,15.0,15.0
best_normalized,train_rmse,22.67885033333333,3.781519552688952,23.11172,5.481867499999996,19.32138,24.803247499999998
best_normalized,val_rmse,22.476626000000003,3.4875181255893835,22.833845,4.717812500000001,19.98618,24.703992500000002
best_normalized,test_rmse,22.204934666666666,3.846265064109761,22.727945,4.77271,19.171605,23.944315
best_normalized,nodes,41.333333333333336,3.7539251488260263,42.0,6.0,39.0,45.0
best_normalized,depth,14.066666666666666,0.5208304597621878,14.0,0.0,14.0,14.0
smallest,train_rmse,23.439178666666674,3.828408268428352,24.084110000000003,5.7264874999999975,20.224975,25.951462499999998
smallest,val_rmse,23.257093666666663,3.5654857377366325,23.581295,4.8977724999999985,20.6772775,25.575049999999997
smallest,test_rmse,23.00268066666667,3.8859064882691077,23.594775,5.461904999999998,19.8094125,25.2713175
smallest,nodes,32.53333333333333,4.717782451996681,33.0,7.0,29.5,36.5
smallest,depth,12.466666666666667,0.68144538746106,13.0,1.0,12.0,13.0
