individual,metric,mean,std,median,iqr,q1,q3
best_fitness,train_rmse,152.16616566666664,15.636702120286653,156.195015,5.623215000000016,153.7532,159.376415
best_fitness,val_rmse,152.15104266666668,18.096739989863277,156.63183500000002,14.81780999999998,146.71647000000002,161.53428
best_fitness,test_rmse,154.08918633333332,18.50688478455918,156.75501,14.309707500000002,150.9455225,165.25523
best_fitness,nodes,59.733333333333334,23.864464035007387,53.0,13.5,47.0,60.5
best_fitness,depth,15.0,0.0,15.0,0.0,15.0,15.0
best_normalized,train_rmse,153.03220933333336,15.751294402450721,157.45664499999998,5.856172500000014,154.3846375,160.24081
best_normalized,val_rmse,153.011628,18.265319087840496,157.44056,14.879419999999982,147.69394,162.57335999999998
best_normalized,test_rmse,154.95239333333336,18.610697569592887,157.944545,14.754212499999994,151.7349225,166.489135
best_normalized,nodes,47.0,21.763620388478408,40.0,13.5,35.0,48.5
best_normalized,depth,13.633333333333333,0.6149478998583779,14.0,1.0,13.0,14.0
smallest,train_rmse,154.11611466666665,15.834761502364247,158.604185,5.181519999999978,155.9645925,161.1461125
smallest,val_rmse,154.09991533333334,18.39387844917691,158.496675,15.136952500000007,149.0408625,164.177815
smallest,test_rmse,156.039821,18.711470534942546,158.990165,14.872770000000003,152.67523,167.548
smallest,nodes,38.0,20.52920543669601,29.0,16.0,25.0,41.0
smallest,depth,12.0,0.7878385971583354,12.0,0.75,11.25,12.0
