individual,metric,mean,std,median,iqr,q1,q3
best_fitness,train_rmse,6.974737333333333,2.330417193284962,7.3830100000000005,4.4879,4.5812574999999995,9.0691575
best_fitness,val_rmse,7.184094000000001,2.574274111240708,7.292400000000001,4.496554999999999,4.4826250000000005,8.97918
best_fitness,test_rmse,6.865374999999999,2.2809299981469295,6.9975000000000005,4.291532500000001,4.544309999999999,8.8358425
best_fitness,nodes,49.93333333333333,7.960823615913002,49.0,12.0,43.0,55.0
best_fitness,depth,15.0,0.0,15.0,0.0,15.0,15.0
best_normalized,train_rmse,7.215369666666666,2.3736843057931796,7.70512,4.450067499999999,4.8101275,9.260195
best_normalized,val_rmse,7.434897666666668,2.632748374258986,7.569085,4.632557500000001,4.6317325,9.26429
best_normalized,test_rmse,7.1108839999999995,2.336035148179127,7.2755849999999995,4.385595000000001,4.7920375,9.177632500000001
best_normalized,nodes,37.86666666666667,6.2075223183918835,39.0,9.5,33.0,42.5
best_normalized,depth,13.633333333333333,0.9278574999588487,14.0,1.0,13.0,14.0
smallest,train_rmse,7.606221,2.46623869646479,8.29443,4.532525,5.036490000000001,9.569015
smallest,val_rmse,7.844900666666666,2.7556128045361663,7.9518249999999995,5.0502375,4.8501425000000005,9.90038
smallest,test_rmse,7.519044333333334,2.4501354251321437,7.842885000000001,4.570492499999999,4.964605,9.5350975
smallest,nodes,31.466666666666665,5.95809118549831,31.0,9.5,27.0,36.5
smallest,depth,12.233333333333333,0.8976341829703132,12.0,1.0,12.0,13.0
